"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"5","P","Joao Barbosa","1","2:22.926","2:22.926","Green","Track","0.000","25.224","24.526","9.533","9.059","0.427","4.359","0.430","23.241","24.092","8.054","157.148","156.052"
"55","P","Jonathan Bomarito","1","2:27.075","2:27.075","Green","Track","0.000","26.624","25.747","10.424","9.075","0.424","4.452","0.494","24.094","24.630","8.117","158.260","135.835"
"10","P","Jordan Taylor","1","2:32.068","2:32.068","Green","Track","0.000","28.038","25.485","9.766","9.462","0.446","4.533","0.416","24.041","26.172","8.105","150.454","161.304"
"96","GTD","Jens Klingmann","1","2:35.416","2:35.416","Green","Track","0.000","26.306","26.052","9.963","9.879","0.466","4.737","0.492","24.556","26.097","8.689","143.996","136.387"
"7","PC","Jose Gutierrez","1","2:37.711","2:37.711","Green","Track","0.000","24.376","25.957","9.921","9.455","0.449","4.568","0.443","23.869","25.277","8.445","149.448","151.472"
"6","GTD","Robin Liddell","1","2:38.471","2:38.471","Green","Track","0.000","25.648","25.962","9.856","10.059","0.466","4.729","0.422","23.776","27.094","8.776","143.996","159.010"
"20","PC","Bruno Junqueira","1","2:38.599","2:38.599","Green","Track","6.604","25.019","25.262","9.614","9.241","0.434","4.476","0.470","24.424","25.013","8.193","154.614","142.771"
"9","GTD","Matt Bell","1","2:40.552","2:40.552","Green","Track","0.000","25.785","26.238","9.935","10.046","0.468","4.752","0.455","24.376","26.482","9.087","143.381","147.478"
"63","GTD","Alessandro Balzan","1","2:43.088","2:43.088","Green","Track","6.370","25.361","25.827","9.616","9.902","0.466","4.733","0.423","23.373","25.806","8.820","143.996","158.634"
"26","PC","Don Yount","1","2:45.072","2:45.072","Green","Track","6.268","25.619","25.874","10.325","9.561","0.443","4.501","0.438","23.883","24.808","8.366","151.472","153.202"
"31","P","Dane Cameron","1","2:47.463","2:47.463","Green","Track","0.000","23.759","24.371","9.693","9.188","0.430","4.478","0.496","23.120","23.827","8.179","156.052","135.287"
"8","PC","Renger van der Zande","1","2:50.079","2:50.079","Green","Track","0.000","24.209","23.698","9.354","9.396","0.445","4.558","0.446","23.228","24.781","8.401","150.792","150.454"
"007","GTD","David Calvert-Jones","1","2:55.150","2:55.150","Green","Track","6.805","26.630","27.312","10.366","10.219","0.476","4.859","0.489","24.908","26.921","8.944","140.971","137.223"
"4","GTLM","Tommy Milner","1","2:56.189","2:56.189","Green","Track","0.000","26.052","25.783","10.065","9.990","0.471","4.791","0.497","24.140","25.143","8.724","142.468","135.015"
"88","PC","Mark Kvamme","1","2:59.739","2:59.739","Green","Track","0.000","26.876","26.292","9.956","9.498","0.446","4.542","0.419","24.021","26.190","8.480","150.454","160.149"
"912","GTLM","Earl Bamber","1","3:00.500","3:00.500","Green","Track","6.126","26.625","26.234","9.976","9.976","0.469","4.751","0.435","23.897","25.515","8.644","143.075","154.258"
"90","P","Marc Goossens","1","3:01.332","3:01.332","Green","Track","6.062","26.750","26.360","10.296","9.237","0.434","4.509","0.495","23.965","24.324","8.012","154.614","135.560"
"911","GTLM","Nick Tandy","1","3:03.873","3:03.873","Green","Track","6.090","27.421","26.547","10.116","10.014","0.469","4.768","0.469","24.767","25.722","8.660","143.075","143.075"
"100","GTLM","John Edwards","1","3:05.148","3:05.148","Green","Track","5.990","26.336","26.441","10.139","9.830","0.460","4.688","0.434","23.814","25.301","8.681","145.875","154.614"
"25","GTLM","Bill Auberlen","1","3:05.655","3:05.655","Green","Track","5.992","26.650","26.519","9.933","9.850","0.480","5.184","0.476","24.269","25.048","8.802","139.796","140.971"
"52","PC","Robert Alon","1","3:06.529","3:06.529","Green","Track","6.325","26.004","25.525","10.587","9.414","0.445","4.851","0.507","24.385","26.071","8.224","150.792","132.352"
"38","PC","Nicholas Boulle","1","3:07.853","3:07.853","Green","Track","6.136","27.345","27.869","11.258","9.773","0.458","5.208","0.585","24.876","26.079","8.361","146.512","114.705"
"85","PC","Misha Goikhberg","1","3:08.032","3:08.032","Green","Track","6.097","25.755","25.720","10.669","9.393","0.445","4.742","0.564","24.425","25.567","8.256","150.792","118.976"
"62","GTLM","Giancarlo Fisichella","1","3:10.313","3:10.313","Green","Track","6.000","25.429","25.745","10.461","10.124","0.473","4.873","0.549","24.479","27.937","8.539","141.865","122.226"
"66","GTLM","Joey Hand","1","3:14.055","3:14.055","Green","Track","5.960","25.412","27.495","10.122","9.813","0.459","4.713","0.462","23.935","24.992","8.659","146.192","145.243"
"33","GTD","Jeroen Bleekemolen","1","3:16.018","3:16.018","Green","Track","6.043","32.981","29.296","10.178","9.883","0.460","4.660","0.436","25.636","26.351","8.565","145.875","153.904"
"23","GTD","Alex Riberas","1","3:16.728","3:16.728","Green","Track","6.104","27.180","29.682","10.203","10.024","0.470","4.881","0.540","25.075","26.259","8.790","142.771","124.263"
"73","GTD","Jorg Bergmeister","1","3:22.117","3:22.117","Green","Track","6.089","24.974","26.139","9.695","9.907","0.466","4.716","0.434","23.971","30.989","8.827","143.996","154.614"
"97","GTD","Markus Palttala","1","3:22.549","3:22.549","Green","Track","6.235","26.948","27.071","9.765","9.936","0.466","4.711","0.442","24.240","27.019","8.641","143.996","151.815"
"80","GTD","Mike Skeen","1","3:26.197","3:26.197","Green","Track","6.276","26.648","27.288","9.756","9.917","0.462","4.683","0.433","24.423","29.815","8.677","145.243","154.971"
"27","GTD","Paolo Ruberti","1","3:31.775","3:31.775","Green","Track","6.636","27.969","27.759","10.095","11.330","0.489","4.929","0.481","25.087","28.023","8.762","137.223","139.506"
"44","GTD","John Potter","1","3:38.044","3:38.044","Green","Track","7.204","29.304","30.209","10.796","10.197","0.472","4.773","0.479","24.889","26.677","8.871","142.166","140.088"
"48","GTD","Madison Snow","1","3:43.748","3:43.748","Green","Track","8.885","26.948","35.580","9.988","11.520","0.506","4.942","0.433","24.459","25.817","8.904","132.613","154.971"
"16","GTD","Corey Lewis","1","3:46.803","3:46.803","Green","Track","6.209","25.805","25.955","9.657","10.002","0.470","4.701","0.428","24.164","25.836","8.901","142.771","156.781"
"60","P","Oswaldo Negri Jr.","1","3:50.562","3:50.562","Green","Pit","0.000","25.391","25.686","9.870","9.055","0.429","4.486","0.507","24.585","25.841","84.716","156.416","132.352"
"3","GTLM","Antonio Garcia","1","4:00.565","4:00.565","Green","Track","0.000","27.483","26.562","10.189","9.979","0.470","4.816","0.506","24.225","26.073","8.862","142.771","132.613"
"67","GTLM","Ryan Briscoe","1","4:03.405","4:03.405","Green","Track","5.953","26.131","25.133","9.558","9.839","0.460","4.680","0.444","23.299","24.771","8.617","145.875","151.131"
"0","P","Katherine Legge","1","4:16.327","4:16.327","Green","Track","6.144","26.429","29.041","10.464","11.766","0.574","5.257","0.526","24.264","24.649","7.951","116.903","127.571"
"5","P","Joao Barbosa","2","2:03.608","4:26.534","Green","Track","1.374","20.228","23.849","9.374","8.992","0.423","4.321","0.404","22.831","23.829","7.983","158.634","166.095"
"70","P","Tom Long","1","4:26.326","4:26.326","Green","Pit","0.000","26.995","26.071","10.455","9.026","0.424","4.422","0.494","24.064","24.263","128.210","158.260","135.835"
"55","P","Jonathan Bomarito","2","2:02.017","4:29.092","Green","Track","1.380","19.942","22.973","9.190","9.072","0.426","4.381","0.408","22.802","23.387","8.056","157.517","164.466"
"10","P","Jordan Taylor","2","2:04.198","4:36.266","Green","Track","1.387","19.417","22.614","8.961","9.019","0.428","4.367","0.392","23.139","26.507","7.967","156.781","171.179"
"96","GTD","Jens Klingmann","2","2:09.901","4:45.317","Green","Track","1.484","20.601","25.025","9.572","9.784","0.464","4.678","0.422","23.796","25.399","8.676","144.617","159.010"
"7","PC","Jose Gutierrez","2","2:07.593","4:45.304","Green","Track","1.430","20.260","24.207","9.407","9.367","0.444","4.519","0.420","23.882","25.366","8.291","151.131","159.767"
"20","PC","Bruno Junqueira","2","2:07.010","4:45.609","Green","Track","1.411","20.503","23.633","9.402","9.251","0.436","4.500","0.470","24.225","25.021","8.158","153.904","142.771"
"6","GTD","Robin Liddell","2","2:11.760","4:50.231","Green","Track","1.495","21.305","25.405","9.546","10.008","0.466","4.710","0.422","23.686","25.847","8.870","143.996","159.010"
"31","P","Dane Cameron","2","2:02.852","4:50.315","Green","Track","1.376","19.307","23.547","9.357","9.076","0.430","4.324","0.410","23.529","23.478","8.018","156.052","163.664"
"63","GTD","Alessandro Balzan","2","2:11.143","4:54.231","Green","Track","1.495","20.902","24.804","9.588","9.842","0.461","4.681","0.421","24.480","25.698","8.771","145.558","159.388"
"8","PC","Renger van der Zande","2","2:04.724","4:54.803","Green","Track","1.444","19.652","23.150","9.315","9.403","0.447","4.554","0.416","23.106","24.656","8.581","150.117","161.304"
"9","GTD","Matt Bell","2","2:14.884","4:55.436","Green","Track","1.516","20.876","26.823","9.775","10.025","0.464","4.712","0.419","25.008","26.300","8.966","144.617","160.149"
