"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"63","GTD","Christina Nielsen","1","2:47.073","2:47.073","Green","Track","7.077","30.498","30.177","10.469","10.645","0.563","6.822","0.708","25.870","26.086","8.864","119.187","94.777"
"6","GTD","Andrew Davis","1","3:02.992","3:02.992","Green","Track","9.147","39.315","28.687","10.328","11.244","0.498","4.991","0.446","24.571","26.111","8.926","134.744","150.454"
"23","GTD","Alex Riberas","1","3:08.868","3:08.868","Green","Track","8.962","39.675","30.476","10.398","10.254","0.482","4.900","0.454","25.413","25.988","8.757","139.216","147.802"
"97","GTD","Michael Marsal","1","3:12.433","3:12.433","Green","Track","9.109","38.445","30.125","11.262","9.985","0.466","4.774","0.466","25.923","27.891","8.836","143.996","143.996"
"96","GTD","Bret Curtis","1","3:19.743","3:19.743","Green","Track","9.090","39.018","30.097","11.075","10.806","0.583","6.645","0.684","27.810","30.840","8.834","115.098","98.103"
"44","GTD","John Potter","1","3:24.493","3:24.493","Green","Track","5.981","28.057","29.705","10.462","10.183","0.474","4.798","0.462","25.572","27.778","9.014","141.566","145.243"
"16","GTD","Corey Lewis","1","3:28.632","3:28.632","Green","Track","6.232","28.730","30.082","11.411","11.039","0.526","5.114","0.456","24.718","26.340","8.767","127.571","147.154"
"007","GTD","David Calvert-Jones","1","3:40.811","3:40.811","Green","Track","6.751","28.634","29.003","10.948","10.229","0.474","4.903","0.509","27.229","29.004","8.701","141.566","131.832"
"48","GTD","Madison Snow","1","3:48.166","3:48.166","Green","Track","5.982","28.225","27.933","10.048","9.961","0.468","4.705","0.433","26.739","26.054","8.841","143.381","154.971"
"80","GTD","Dan Knox","1","3:54.034","3:54.034","Green","Track","5.975","28.667","28.607","10.364","10.003","0.463","4.710","0.471","26.027","27.515","8.748","144.929","142.468"
"27","GTD","Paolo Ruberti","1","4:10.183","4:10.183","Green","Track","6.140","27.125","27.039","9.845","10.022","0.463","6.104","0.519","24.635","26.384","8.809","144.929","129.291"
"9","GTD","Lawson Aschenbach","1","4:44.594","4:44.594","Green","Track","5.972","29.961","28.505","10.463","10.206","0.476","4.852","0.468","24.964","26.309","8.855","140.971","143.381"
"63","GTD","Christina Nielsen","2","2:12.009","4:59.082","Green","Track","1.492","21.235","25.636","9.731","9.883","0.463","4.700","0.424","24.109","25.626","8.710","144.929","158.260"
"73","GTD","Patrick Lindsey","1","5:04.109","5:04.109","Green","Track","8.369","28.014","28.327","10.371","11.568","0.501","5.003","0.495","25.652","27.569","8.870","133.937","135.560"
"6","GTD","Andrew Davis","2","2:10.317","5:13.309","Green","Track","1.501","20.922","24.983","9.621","10.007","0.465","4.710","0.423","23.401","25.450","8.834","144.306","158.634"
"23","GTD","Alex Riberas","2","2:09.077","5:17.945","Green","Track","1.493","20.377","24.896","9.471","9.867","0.468","4.711","0.423","23.360","25.341","8.670","143.381","158.634"
"97","GTD","Michael Marsal","2","2:13.646","5:26.079","Green","Track","1.476","21.969","25.844","9.790","9.884","0.461","4.682","0.421","24.257","26.006","8.856","145.558","159.388"
"96","GTD","Bret Curtis","2","2:12.733","5:32.476","Green","Track","1.475","21.458","26.022","9.717","9.777","0.461","4.675","0.418","23.772","26.214","8.744","145.558","160.532"
"44","GTD","John Potter","2","2:13.851","5:38.344","Green","Track","1.514","21.610","25.844","9.904","10.114","0.470","4.754","0.429","24.195","26.025","8.992","142.771","156.416"
"16","GTD","Corey Lewis","2","2:11.155","5:39.787","Green","Track","1.492","20.955","25.109","9.662","9.937","0.467","4.675","0.418","23.678","25.961","8.801","143.688","160.532"
"33","GTD","Ben Keating","1","5:48.940","5:48.940","Green","Track","5.995","26.781","27.549","10.134","9.794","0.456","4.624","0.426","25.151","27.530","8.717","147.154","157.517"
"007","GTD","David Calvert-Jones","2","2:14.370","5:55.181","Green","Track","1.507","21.323","26.147","10.186","10.011","0.467","4.768","0.436","24.511","26.229","8.785","143.688","153.904"
"48","GTD","Madison Snow","2","2:10.709","5:58.875","Green","Track","1.491","20.754","25.372","9.616","9.935","0.464","4.661","0.415","23.749","25.528","8.724","144.617","161.692"
"80","GTD","Dan Knox","2","2:17.024","6:11.058","Green","Track","1.476","22.560","27.487","10.054","9.813","0.461","4.663","0.418","24.685","26.662","8.745","145.558","160.532"
"27","GTD","Paolo Ruberti","2","2:10.293","6:20.476","Green","Track","1.484","20.711","25.180","9.504","9.865","0.456","4.653","0.414","23.431","25.827","8.768","147.154","162.083"
"9","GTD","Lawson Aschenbach","2","2:10.072","6:54.666","Green","Track","1.500","20.917","24.850","9.547","9.981","0.463","4.715","0.423","23.248","25.622","8.806","144.929","158.634"
"63","GTD","Christina Nielsen","3","2:10.126","7:09.208","Green","Track","1.481","20.523","25.199","9.544","9.859","0.462","4.690","0.420","23.863","25.244","8.841","145.243","159.767"
"73","GTD","Patrick Lindsey","2","2:11.445","7:15.554","Green","Track","1.485","20.912","25.230","9.713","9.870","0.468","4.732","0.432","24.087","25.904","8.612","143.381","155.329"
"6","GTD","Andrew Davis","3","2:10.241","7:23.550","Green","Track","1.494","20.638","24.946","9.685","9.961","0.463","4.710","0.422","23.601","25.506","8.815","144.929","159.010"
