"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"10","P","Ricky Taylor","1","2:01.355","2:01.355","Green","Track","1.396","19.500","23.306","9.090","9.075","0.430","4.400","0.397","22.515","23.231","8.014","156.052","169.023"
"55","P","Tristan Nunez","1","2:01.959","2:01.959","Green","Track","1.366","19.850","23.072","9.402","9.071","0.431","4.413","0.408","22.818","23.139","7.949","155.690","164.466"
"70","P","Joel Miller","1","2:03.070","2:03.070","Green","Track","1.357","20.169","23.546","9.333","9.050","0.428","4.398","0.401","22.850","23.321","8.053","156.781","167.337"
"5","P","Christian Fittipaldi","1","2:03.674","2:03.674","Green","Track","1.365","20.438","23.411","9.394","9.106","0.433","4.371","0.395","22.940","23.362","7.994","154.971","169.879"
"31","P","Eric Curran","1","2:04.215","2:04.215","Green","Track","1.388","20.712","23.535","9.380","9.117","0.434","4.373","0.408","22.915","23.427","8.096","154.614","164.466"
"90","P","Marc Goossens","1","2:05.900","2:05.900","Green","Track","1.369","20.548","24.118","9.423","9.223","0.435","4.432","0.408","23.136","23.892","8.073","154.258","164.466"
"0","P","Sean Rayhall","1","2:06.401","2:06.401","Green","Track","1.364","21.957","24.128","9.385","9.033","0.423","4.329","0.396","22.834","24.198","7.860","158.634","169.450"
"52","PC","Robert Alon","1","2:07.984","2:07.984","Green","Track","1.389","21.032","24.235","9.821","9.364","0.438","4.463","0.406","23.574","24.118","8.208","153.202","165.277"
"8","PC","Alex Popow","1","2:08.850","2:08.850","Green","Track","1.395","21.467","24.395","9.414","9.390","0.442","4.503","0.413","23.619","24.421","8.179","151.815","162.475"
"7","PC","Jose Gutierrez","1","2:09.218","2:09.218","Green","Track","1.408","21.739","24.459","9.575","9.415","0.445","4.538","0.408","23.485","24.328","8.221","150.792","164.466"
"38","PC","Nicholas Boulle","1","2:09.722","2:09.722","Green","Track","1.383","21.615","24.677","9.496","9.383","0.437","4.506","0.434","23.596","24.433","8.173","153.552","154.614"
"60","P","Oswaldo Negri Jr.","1","2:09.989","2:09.989","Green","Track","1.339","22.032","24.578","9.730","9.091","0.427","4.380","0.437","23.404","24.308","7.996","157.148","153.552"
"20","PC","Matthew McMurry","1","2:10.634","2:10.634","Green","Track","1.389","22.187","24.660","9.629","9.300","0.437","4.462","0.411","24.317","24.344","8.175","153.552","163.266"
"85","PC","Misha Goikhberg","1","2:12.079","2:12.079","Green","Track","1.369","22.200","24.760","10.155","9.418","0.448","4.565","0.456","24.105","24.640","8.204","149.782","147.154"
"26","PC","Don Yount","1","2:12.822","2:12.822","Green","Track","1.394","22.609","25.101","9.874","9.433","0.445","4.541","0.434","24.066","24.614","8.282","150.792","154.614"
"88","PC","Mark Kvamme","1","2:14.840","2:14.840","Green","Track","1.404","22.306","25.542","9.758","9.512","0.447","4.549","0.458","24.392","25.111","8.651","150.117","146.512"
"62","GTLM","Toni Vilander","1","2:30.730","2:30.730","Green","Track","1.465","20.788","24.249","9.359","9.892","0.465","4.716","0.424","22.953","24.373","8.601","144.306","158.260"
"911","GTLM","Patrick Pilet","1","2:31.364","2:31.364","Green","Track","1.486","20.883","24.416","9.378","9.764","0.458","4.649","0.437","23.040","24.559","8.619","146.512","153.552"
"912","GTLM","Frederic Makowiecki","1","2:32.260","2:32.260","Green","Track","1.485","21.110","24.738","9.568","9.763","0.463","4.682","0.422","23.077","24.596","8.688","144.929","159.010"
"67","GTLM","Ryan Briscoe","1","2:32.876","2:32.876","Green","Track","1.484","21.907","24.894","9.425","9.832","0.461","4.679","0.425","23.066","24.733","8.624","145.558","157.888"
