"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP4","SP5"
"5","P","Christian Fittipaldi","1","2:16.875","2:16.875","Green","Track","1297.048","25.002","24.784","9.835","9.265","0.437","4.485","0.453","23.588","24.258","8.220","153.552","148.129"
"70","P","Joel Miller","1","2:18.103","2:18.103","Green","Track","1213.385","24.759","25.338","9.899","9.054","0.424","4.401","0.439","23.887","23.486","8.146","158.260","152.853"
"60","P","Oswaldo Negri Jr.","1","2:24.107","2:24.107","Green","Track","398.883","25.430","25.699","10.110","9.233","0.438","4.503","0.474","24.469","23.951","8.096","153.202","141.566"
"73","GTD","Jorg Bergmeister","1","2:30.073","2:30.073","Green","Track","334.251","25.789","27.092","9.859","9.989","0.465","4.764","0.429","24.058","25.816","8.699","144.306","156.416"
"9","GTD","Lawson Aschenbach","1","2:36.563","2:36.563","Green","Track","813.880","28.842","29.534","11.713","10.671","0.482","4.872","0.463","25.003","26.429","8.815","139.216","144.929"
"007","GTD","David Calvert-Jones","1","2:43.795","2:43.795","Green","Track","59.847","26.798","27.573","10.621","10.216","0.477","4.901","0.521","26.098","27.245","8.803","140.676","128.795"
"4","GTLM","Oliver Gavin","1","2:46.079","2:46.079","Green","Track","656.114","25.717","27.324","10.187","10.546","0.485","4.897","0.508","24.775","25.847","8.776","138.355","132.091"
"88","PC","Richard Bradley","1","2:47.565","2:47.565","Green","Track","1064.438","27.409","26.329","10.226","9.487","0.452","4.650","0.486","24.351","25.220","8.242","148.456","138.071"
"3","GTLM","Antonio Garcia","1","2:47.735","2:47.735","Green","Track","1132.030","26.560","27.125","10.402","9.846","0.466","4.948","0.522","24.997","25.745","8.881","143.996","128.548"
"90","P","Marc Goossens","1","2:50.059","2:50.059","Green","Track","6.776","26.716","26.441","9.856","9.203","0.437","4.685","0.509","24.224","24.843","8.055","153.552","131.832"
"911","GTLM","Patrick Pilet","1","2:50.173","2:50.173","Green","Track","6.803","26.077","26.066","10.073","9.915","0.463","4.716","0.467","24.772","25.707","8.632","144.929","143.688"
