"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP3"
"73","GTD","Patrick Lindsey","1","2:31.556","2:31.556","Green","Track","10.569","32.921","29.093","11.948","0.479","9.896","5.584","7.287","142.579"
"60","P","John Pew","1","2:34.316","2:34.316","Green","Track","11.048","36.798","32.547","12.762","0.584","11.479","7.221","8.850","116.944"
"0","P","Katherine Legge","1","2:57.260","2:57.260","Green","Track","9.855","32.573","28.678","10.977","0.449","8.937","4.789","6.650","152.106"
"96","GTD","Jens Klingmann","2","1:28.989","3:15.858","Green","Track","3.588","24.153","25.312","13.757","0.660","10.386","4.410","6.723","103.478"
"4","GTLM","Oliver Gavin","2","1:23.896","3:18.163","Green","Track","3.462","23.934","25.086","11.821","0.442","8.230","4.315","6.606","154.515"
"25","GTLM","Dirk Werner","1","3:18.670","3:18.670","Green","Pit","0.000","28.421","29.867","11.899","0.444","9.497","8.607","14.084","153.819"
"9","GTD","Lawson Aschenbach","2","1:29.843","3:24.603","Green","Track","3.867","25.854","26.355","12.045","0.453","8.999","4.926","7.344","150.763"
"5","P","Joao Barbosa","2","1:42.179","3:27.978","Green","Pit","3.805","26.665","27.964","12.106","0.539","9.761","8.038","13.301","126.708"
"67","GTLM","Richard Westbrook","2","1:23.916","3:30.610","Green","Track","3.517","23.431","25.670","11.716","0.442","8.345","4.258","6.537","154.515"
"66","GTLM","Dirk Mueller","2","1:23.491","3:31.987","Green","Track","3.493","23.581","25.111","11.717","0.436","8.245","4.320","6.588","156.641"
"3","GTLM","Antonio Garcia","2","1:26.653","3:36.693","Green","Track","3.776","24.751","26.327","11.924","0.452","8.325","4.413","6.685","151.096"
"22","GTD","Leh Keen","2","1:28.557","3:39.689","Green","Track","3.769","24.971","27.285","11.853","0.441","8.623","4.773","6.842","154.865"
"85","PC","Stephen Simpson","2","1:25.166","3:41.657","Green","Track","3.860","24.358","25.519","11.208","0.441","8.761","4.472","6.547","154.865"
"16","GTD","Spencer Pumpelly","2","1:25.840","3:46.571","Green","Track","3.618","23.998","26.335","11.653","0.431","8.454","4.591","6.760","158.458"
"73","GTD","Patrick Lindsey","2","1:26.461","3:58.017","Green","Track","3.696","24.677","25.856","11.825","0.442","8.720","4.458","6.787","154.515"
"27","GTD","Fabio Babini","2","1:33.767","4:02.480","Green","Track","3.949","27.803","27.604","11.955","0.485","9.544","4.951","7.476","140.815"
"0","P","Katherine Legge","2","1:21.283","4:18.543","Green","Track","3.567","22.396","24.321","10.730","0.407","7.992","4.830","7.040","167.802"
"31","P","Eric Curran","1","4:18.851","4:18.851","Green","Track","0.000","32.011","29.748","11.638","0.512","9.795","4.985","7.677","133.390"
"96","GTD","Jens Klingmann","3","1:19.984","4:35.842","Green","Track","3.234","22.008","24.148","11.610","0.436","7.678","4.259","6.611","156.641"
"4","GTLM","Oliver Gavin","3","1:20.139","4:38.302","Green","Track","3.156","21.251","24.445","11.694","0.437","8.153","4.270","6.733","156.283"
"44","GTD","Andy Lally","2","2:31.281","4:38.355","Green","Track","58.909","31.026","27.759","12.940","0.477","8.637","4.391","7.142","143.177"
"48","GTD","Bryan Sellers","1","4:50.035","4:50.035","Green","Pit","10.094","35.507","34.465","13.073","0.565","11.246","10.606","147.392","120.877"
"67","GTLM","Richard Westbrook","3","1:19.798","4:50.408","Green","Track","3.225","21.367","24.589","11.692","0.439","7.928","4.115","6.443","155.571"
"66","GTLM","Dirk Mueller","3","1:19.647","4:51.634","Green","Track","3.226","21.351","24.449","11.654","0.436","7.888","4.169","6.474","156.641"
"3","GTLM","Antonio Garcia","3","1:20.911","4:57.604","Green","Track","3.313","21.809","24.674","11.793","0.441","7.927","4.364","6.590","154.865"
"22","GTD","Leh Keen","3","1:20.933","5:00.622","Green","Track","3.269","21.660","24.744","11.797","0.440","7.996","4.280","6.747","155.217"
"85","PC","Stephen Simpson","3","1:19.063","5:00.720","Green","Track","3.311","21.589","23.896","11.150","0.426","8.068","4.198","6.425","160.318"
"16","GTD","Spencer Pumpelly","3","1:23.072","5:09.643","Green","Track","3.420","22.971","25.484","11.589","0.429","8.047","4.413","6.719","159.197"
"33","GTD","Jeroen Bleekemolen","1","5:17.709","5:17.709","Green","Pit","13.610","36.262","33.998","13.270","0.554","11.031","9.534","180.181","123.277"
"73","GTD","Patrick Lindsey","3","1:21.125","5:19.142","Green","Track","3.234","21.875","24.455","11.780","0.440","8.360","4.359","6.622","155.217"
"27","GTD","Fabio Babini","3","1:27.182","5:29.662","Green","Track","3.578","24.797","25.953","11.834","0.442","8.730","4.585","7.263","154.515"
"52","PC","Tom Kimber-Smith","1","5:36.056","5:36.056","Green","Pit","11.564","33.329","30.643","11.570","0.521","10.587","9.260","184.264","131.085"
"0","P","Katherine Legge","3","1:19.289","5:37.832","Green","Track","3.342","22.184","23.988","10.695","0.406","7.965","4.502","6.207","168.215"
"97","GTD","Markus Palttala","1","5:39.775","5:39.775","Green","Track","9.837","36.864","31.438","12.358","0.490","10.109","5.705","7.660","139.378"
"90","P","Ryan Dalziel","1","5:43.328","5:43.328","Green","Track","0.000","33.858","30.645","12.284","0.507","9.868","5.256","7.486","134.705"
"31","P","Eric Curran","2","1:26.570","5:45.421","Green","Track","3.768","24.289","26.941","11.132","0.440","8.634","4.538","6.828","155.217"
"96","GTD","Jens Klingmann","4","1:19.064","5:54.906","Green","Track","3.171","21.367","23.965","11.715","0.439","7.608","4.165","6.634","155.571"
"4","GTLM","Oliver Gavin","4","1:18.048","5:56.350","Green","Track","3.158","20.719","23.811","11.724","0.440","7.675","4.028","6.493","155.217"
"9","GTD","Lawson Aschenbach","3","2:33.036","5:57.639","Green","Pit","3.466","26.825","28.798","12.048","0.481","9.961","8.279","63.178","141.986"
