"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP3"
"5","P","Joao Barbosa","1","1:28.408","1:28.408","Green","Track","0.000","27.329","24.966","11.065","0.439","8.228","4.252","6.483","155.571"
"60","P","Oswaldo Negri","1","1:32.433","1:32.433","Green","Track","679.015","26.155","24.599","11.110","0.424","7.693","4.398","6.454","161.074"
"90","P","Ryan Dalziel","1","1:36.980","1:36.980","Green","Track","678.087","27.376","25.669","11.099","0.424","8.102","4.420","6.466","161.074"
"10","P","Ricky Taylor","1","1:38.384","1:38.384","Green","Track","726.646","29.439","26.842","12.255","0.541","9.088","4.520","6.951","126.239"
"97","GTD","Markus Palttala","1","1:39.759","1:39.759","Green","Track","712.813","29.246","27.114","11.910","0.494","9.421","4.621","7.015","138.250"
"96","GTD","Jens Klingmann","1","1:44.928","1:44.928","Green","Track","595.580","27.732","26.267","11.971","0.455","8.231","4.474","6.786","150.100"
"73","GTD","Patrick Lindsey","1","1:46.406","1:46.406","Green","Track","677.536","29.427","28.012","12.299","0.506","9.190","4.624","7.144","134.971"
"31","P","Dane Cameron","1","1:47.400","1:47.400","Green","Track","0.000","26.613","24.710","10.968","0.415","7.767","4.273","6.352","164.567"
"6","GTD","Andrew Davis","1","1:47.434","1:47.434","Green","Track","473.144","27.433","26.433","11.956","0.445","8.581","4.510","6.861","153.473"
"63","GTD","Alessandro Balzan","1","1:50.666","1:50.666","Green","Track","637.243","29.643","29.839","12.157","0.480","9.760","5.042","6.993","142.282"
"4","GTLM","Oliver Gavin","1","1:53.041","1:53.041","Green","Track","673.972","28.122","25.449","11.908","0.446","8.578","4.419","6.788","153.129"
"8","PC","Renger van der Zande","1","1:53.248","1:53.248","Green","Track","677.959","27.507","25.964","11.271","0.426","8.115","4.478","6.645","160.318"
"3","GTLM","Antonio Garcia","1","1:54.332","1:54.332","Green","Track","723.625","27.994","25.956","12.027","0.446","8.480","4.546","6.828","153.129"
"88","PC","Richard Bradley","1","1:55.477","1:55.477","Green","Track","718.448","28.743","25.194","11.552","0.484","8.499","4.337","6.596","141.106"
"66","GTLM","Joey Hand","1","1:59.617","1:59.617","Green","Track","344.242","28.586","26.122","12.109","0.474","9.026","4.532","6.784","144.083"
"52","PC","Tom Kimber-Smith","1","2:00.848","2:00.848","Green","Track","12.961","28.370","25.257","11.363","0.431","7.557","4.310","6.473","158.458"
"22","GTD","Leh Keen","1","2:03.184","2:03.184","Green","Track","642.568","29.931","26.067","12.243","0.458","8.525","4.553","6.917","149.117"
"54","PC","Colin Braun","1","2:04.660","2:04.660","Green","Track","13.082","27.885","25.623","11.273","0.425","7.797","4.365","6.669","160.695"
"912","GTLM","Earl Bamber","1","2:05.663","2:05.663","Green","Track","12.297","28.671","26.643","12.036","0.488","8.712","4.403","6.809","139.950"
"911","GTLM","Nick Tandy","1","2:07.739","2:07.739","Green","Track","13.630","28.973","26.498","12.038","0.448","8.356","4.504","6.706","152.445"
"23","GTD","Mario Farnbacher","1","2:08.999","2:08.999","Green","Track","733.178","30.457","28.890","13.785","0.554","9.898","4.700","7.029","123.277"
"20","PC","Johnny Mowlem","1","2:10.496","2:10.496","Green","Track","11.059","27.596","26.162","11.207","0.432","8.287","4.320","6.691","158.091"
"9","GTD","Lawson Aschenbach","1","2:11.872","2:11.872","Green","Track","13.695","30.331","26.117","12.212","0.518","9.041","4.683","6.815","131.845"
"62","GTLM","Giancarlo Fisichella","1","2:12.409","2:12.409","Green","Track","12.462","29.568","26.209","12.112","0.509","9.200","4.612","6.842","134.176"
"16","GTD","Spencer Pumpelly","1","2:12.899","2:12.899","Green","Track","9.904","27.486","26.086","11.791","0.437","8.719","4.683","6.931","156.283"
"25","GTLM","Dirk Werner","1","2:16.043","2:16.043","Green","Pit","720.893","30.875","27.291","11.861","0.451","8.735","7.110","13.650","151.431"
"33","GTD","Ben Keating","1","2:15.964","2:15.964","Green","Track","14.064","32.450","30.336","11.966","0.468","9.295","4.860","7.035","145.930"
"100","GTLM","John Edwards","1","2:16.774","2:16.774","Green","Pit","713.704","29.612","26.676","11.690","0.448","8.663","7.237","13.790","152.445"
"27","GTD","Fabio Babini","1","2:17.725","2:17.725","Green","Track","9.950","28.771","27.518","11.931","0.463","9.000","4.894","7.035","147.506"
"85","PC","Stephen Simpson","1","2:20.090","2:20.090","Green","Track","12.715","32.589","28.817","11.795","0.514","9.805","4.943","6.973","132.871"
"48","GTD","Madison Snow","1","2:22.297","2:22.297","Green","Track","9.511","30.462","27.484","11.894","0.446","9.501","4.626","6.960","153.129"
"44","GTD","John Potter","1","2:29.822","2:29.822","Green","Track","670.210","32.264","28.767","12.145","0.505","9.989","4.951","7.261","135.239"
"38","PC","Kyle Marcelli","1","2:40.501","2:40.501","Green","Track","9.729","27.560","25.978","11.327","0.445","8.249","4.756","6.606","153.473"
"67","GTLM","Richard Westbrook","1","2:42.486","2:42.486","Green","Track","577.015","29.136","26.445","12.300","0.457","9.106","5.665","7.609","149.443"
"0","P","Katherine Legge","1","2:42.734","2:42.734","Green","Track","9.825","27.813","24.923","10.752","0.409","7.615","4.401","6.567","166.982"
"5","P","Joao Barbosa","2","1:15.127","2:43.535","Green","Track","3.018","20.483","22.623","10.830","0.410","7.401","4.054","6.308","166.574"
"60","P","Oswaldo Negri","2","1:13.766","2:46.199","Green","Track","2.869","19.387","22.864","10.930","0.417","7.080","4.086","6.133","163.778"
"90","P","Ryan Dalziel","2","1:14.379","2:51.359","Green","Track","2.921","19.272","23.024","10.949","0.412","7.295","4.086","6.420","165.766"
"55","P","Jonathan Bomarito","1","2:51.531","2:51.531","Green","Track","9.684","28.024","26.507","10.925","0.426","8.698","4.431","6.879","160.318"
"70","P","Tom Long","1","2:55.274","2:55.274","Green","Track","9.576","28.209","26.100","10.931","0.418","8.000","4.632","6.569","163.386"
"10","P","Ricky Taylor","2","1:18.317","2:56.701","Green","Track","3.282","20.983","23.822","11.290","0.431","7.800","4.240","6.469","158.458"
"97","GTD","Markus Palttala","2","1:20.793","3:00.552","Green","Track","3.327","21.745","24.364","11.673","0.439","8.098","4.323","6.824","155.571"
"31","P","Dane Cameron","2","1:13.696","3:01.096","Green","Track","3.021","19.671","22.761","10.911","0.414","6.898","3.915","6.105","164.965"
"96","GTD","Jens Klingmann","2","1:18.995","3:03.923","Green","Track","3.103","20.982","23.891","11.745","0.438","7.712","4.378","6.746","155.926"
