"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP3"
"23","GTD","Alex Riberas","1","1:43.240","1:43.240","Green","Track","0.000","32.284","25.665","12.238","0.646","9.407","4.409","6.859","105.721"
"63","GTD","Christina Nielsen","1","1:44.870","1:44.870","Green","Track","0.000","33.520","27.679","12.084","0.542","9.197","4.707","6.905","126.006"
"22","GTD","Cooper MacNeil","1","1:45.557","1:45.557","Green","Track","0.000","32.467","27.065","12.020","0.517","9.456","4.649","6.986","132.100"
"44","GTD","John Potter","1","1:47.869","1:47.869","Green","Track","0.000","34.252","28.508","12.003","0.448","9.017","5.245","7.335","152.445"
"33","GTD","Ben Keating","1","1:54.270","1:54.270","Green","Track","9.694","33.557","33.052","11.959","0.447","8.689","4.787","7.055","152.786"
"6","GTD","Andrew Davis","1","2:08.987","2:08.987","Green","Track","12.737","38.938","33.932","14.075","0.480","8.906","4.673","6.924","142.282"
"97","GTD","Michael Marsal","1","2:10.161","2:10.161","Green","Track","10.744","38.910","33.575","12.656","0.514","9.576","4.756","7.068","132.871"
"96","GTD","Bret Curtis","1","2:18.849","2:18.849","Green","Track","10.479","39.191","34.996","18.812","0.778","10.438","5.484","7.226","87.783"
"27","GTD","Cedric Sbirrazzuoli","1","2:32.956","2:32.956","Green","Track","9.791","28.400","27.621","12.561","0.536","9.455","4.714","7.030","127.417"
"48","GTD","Madison Snow","1","2:38.298","2:38.298","Green","Track","9.738","32.680","35.705","27.849","0.913","13.656","4.690","7.061","74.803"
"9","GTD","Matt Bell","1","3:00.003","3:00.003","Green","Track","9.612","25.361","25.534","12.037","0.447","8.046","4.502","6.927","152.786"
"23","GTD","Alex Riberas","2","1:23.486","3:06.726","Green","Track","3.250","22.376","26.349","11.971","0.448","7.881","4.332","6.879","152.445"
"63","GTD","Christina Nielsen","2","1:23.593","3:08.463","Green","Track","3.342","22.268","25.858","11.950","0.449","8.403","4.537","6.786","152.106"
"22","GTD","Cooper MacNeil","2","1:24.072","3:09.629","Green","Track","3.436","22.663","25.637","11.897","0.444","8.466","4.590","6.939","153.819"
"44","GTD","John Potter","2","1:24.005","3:11.874","Green","Track","3.466","22.427","26.137","11.926","0.443","8.198","4.495","6.913","154.166"
"33","GTD","Ben Keating","2","1:25.147","3:19.417","Green","Track","3.259","21.661","25.531","13.539","0.609","9.170","4.624","6.754","112.144"
"16","GTD","Spencer Pumpelly","1","3:23.643","3:23.643","Green","Track","9.712","26.677","29.428","15.834","0.645","10.060","4.652","6.821","105.884"
