"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP3"
"10","P","Ricky Taylor","1","1:14.372","1:14.372","Green","Track","3.089","19.730","22.616","10.961","0.417","7.287","4.106","6.166","163.778"
"55","P","Tristan Nunez","1","1:14.760","1:14.760","Green","Track","3.082","19.875","22.724","10.954","0.419","7.092","4.218","6.265","162.996"
"5","P","Christian Fittipaldi","1","1:15.120","1:15.120","Green","Track","3.117","20.182","22.888","10.911","0.412","7.212","4.108","6.134","165.766"
"70","P","Tom Long","1","1:15.918","1:15.918","Green","Track","3.205","20.578","22.785","10.888","0.417","7.316","4.158","6.183","163.778"
"90","P","Marc Goossens","1","1:16.848","1:16.848","Green","Track","3.186","20.908","23.397","11.031","0.417","7.260","4.017","6.230","163.778"
"31","P","Eric Curran","1","1:17.230","1:17.230","Green","Track","3.189","20.707","23.670","10.923","0.414","7.380","4.094","6.191","164.965"
"60","P","John Pew","1","1:18.147","1:18.147","Green","Track","3.165","21.164","23.686","10.948","0.417","7.412","4.244","6.205","163.778"
"85","PC","Stephen Simpson","1","1:18.764","1:18.764","Green","Track","3.314","21.016","23.803","11.322","0.433","7.462","4.060","6.321","157.726"
"38","PC","James French","1","1:19.379","1:19.379","Green","Track","3.344","21.484","23.869","11.239","0.426","7.477","4.176","6.474","160.318"
"52","PC","Robert Alon","1","1:19.703","1:19.703","Green","Track","3.251","21.701","23.854","11.148","0.423","7.608","4.205","6.431","161.455"
"0","P","Katherine Legge","1","1:20.141","1:20.141","Green","Track","3.419","22.040","23.871","10.699","0.417","7.764","4.464","6.272","163.778"
"8","PC","Alex Popow","1","1:20.712","1:20.712","Green","Track","3.364","21.715","24.088","11.241","0.425","7.801","4.342","6.508","160.695"
"54","PC","Jonathan Bennett","1","1:21.065","1:21.065","Green","Track","3.351","21.976","24.270","11.225","0.423","7.621","4.335","6.394","161.455"
"88","PC","Mark Kvamme","1","1:22.452","1:22.452","Green","Track","3.569","22.274","24.715","11.302","0.428","7.565","4.171","6.543","159.569"
