"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP3"
"90","P","Marc Goossens","1","1:37.550","1:37.550","Green","Track","0.000","28.525","26.777","11.166","0.452","8.793","4.722","6.806","151.096"
"60","P","Oswaldo Negri","1","1:39.883","1:39.883","Green","Track","792.569","27.027","26.974","11.656","0.530","9.702","4.729","6.855","128.859"
"0","P","Katherine Legge","1","1:40.391","1:40.391","Green","Track","0.000","29.168","27.435","12.745","0.531","9.544","4.917","6.774","128.617"
"9","GTD","Matt Bell","1","1:43.146","1:43.146","Green","Track","0.000","30.904","29.246","13.283","0.474","9.155","4.793","7.070","144.083"
"44","GTD","Andy Lally","1","1:43.298","1:43.298","Green","Track","607.156","26.945","27.593","12.009","0.449","8.700","4.780","6.888","152.106"
"5","P","Christian Fittipaldi","1","1:46.219","1:46.219","Green","Pit","0.000","29.873","27.825","11.332","0.443","8.746","7.208","13.527","154.166"
"96","GTD","Jens Klingmann","1","1:46.203","1:46.203","Green","Track","599.915","28.330","26.634","12.840","0.497","8.458","4.525","7.046","137.415"
"20","PC","Johnny Mowlem","1","1:46.355","1:46.355","Green","Track","724.121","28.083","28.995","11.769","0.494","9.142","5.489","8.086","138.250"
"8","PC","Renger van der Zande","1","1:49.613","1:49.613","Green","Track","516.980","28.189","26.605","11.436","0.433","8.613","5.089","6.921","157.726"
"22","GTD","Cooper MacNeil","1","1:53.156","1:53.156","Green","Track","537.184","29.815","27.398","12.035","0.455","9.590","5.346","7.276","150.100"
"4","GTLM","Oliver Gavin","1","1:56.776","1:56.776","Green","Track","0.000","28.392","26.781","12.053","0.454","8.577","4.717","7.038","150.431"
"31","P","Eric Curran","1","2:04.549","2:04.549","Green","Pit","0.000","27.156","27.528","11.224","0.468","9.072","6.960","14.173","145.930"
"67","GTLM","Ryan Briscoe","1","2:06.055","2:06.055","Green","Track","442.905","32.975","26.930","11.899","0.472","8.836","4.722","6.943","144.694"
"66","GTLM","Dirk Mueller","1","2:06.541","2:06.541","Green","Track","412.074","32.540","26.935","11.932","0.450","8.629","4.678","6.999","151.768"
"54","PC","Colin Braun","1","2:07.359","2:07.359","Green","Track","10.797","28.921","27.024","11.276","0.430","8.544","4.495","6.650","158.827"
"33","GTD","Jeroen Bleekemolen","1","2:09.459","2:09.459","Green","Track","10.808","31.775","27.268","11.829","0.445","8.751","4.694","6.958","153.473"
"911","GTLM","Nick Tandy","1","2:11.126","2:11.126","Green","Track","10.509","30.562","28.333","11.949","0.445","8.653","4.770","7.033","153.473"
"25","GTLM","Dirk Werner","1","2:12.021","2:12.021","Green","Track","0.000","32.751","29.534","12.164","0.478","9.340","5.009","7.183","142.878"
"97","GTD","Markus Palttala","1","2:15.300","2:15.300","Green","Track","10.671","29.969","26.785","11.811","0.469","8.915","4.702","6.861","145.619"
"48","GTD","Bryan Sellers","1","2:17.113","2:17.113","Green","Track","10.636","29.258","27.695","11.747","0.437","9.030","4.967","7.042","156.283"
"38","PC","Kyle Marcelli","1","2:17.677","2:17.677","Green","Track","11.612","28.780","28.256","11.505","0.443","8.772","4.766","6.831","154.166"
"73","GTD","Jorg Bergmeister","1","2:18.274","2:18.274","Green","Track","12.371","27.909","27.873","11.956","0.458","8.909","4.825","6.940","149.117"
"16","GTD","Spencer Pumpelly","1","2:18.833","2:18.833","Green","Track","11.664","27.517","27.807","11.805","0.503","9.084","4.929","6.879","135.776"
"85","PC","Stephen Simpson","1","2:20.139","2:20.139","Green","Track","10.845","32.220","29.478","11.699","0.514","9.644","4.935","6.939","132.871"
"6","GTD","Andrew Davis","1","2:22.097","2:22.097","Green","Track","10.892","32.865","30.984","13.983","0.520","9.384","4.958","7.668","131.337"
"23","GTD","Alex Riberas","1","2:23.314","2:23.314","Green","Track","0.000","29.061","28.238","12.286","0.531","9.477","5.003","7.370","128.617"
"100","GTLM","Lucas Luhr","1","2:23.972","2:23.972","Green","Pit","0.000","33.113","30.828","12.244","0.456","9.304","7.570","13.626","149.771"
