"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"25","GTLM","Dirk Werner","1","2:23.800","3:08.743","Green","Track","33.995","29.525","23.510","8.168","6.546","6.354","12.830","7.602","6.441","5.282","0.479","3.068","170.810"
"3","GTLM","Jan Magnussen","1","2:28.054","3:09.095","Green","Track","35.828","31.167","24.444","8.292","6.508","6.590","12.487","7.464","6.464","5.292","0.477","3.041","171.527"
"4","GTLM","Oliver Gavin","1","2:27.219","3:09.646","Green","Track","35.694","31.133","24.008","8.278","6.556","6.574","12.430","7.418","6.395","5.246","0.473","3.014","172.977"
"100","GTLM","John Edwards","1","2:22.893","3:09.730","Green","Track","33.352","30.425","23.561","8.048","6.480","6.389","12.445","7.303","6.284","5.157","0.467","2.982","175.200"
"67","GTLM","Ryan Briscoe","1","2:23.777","3:11.554","Green","Track","34.617","30.776","23.212","8.015","6.499","6.304","11.925","7.346","6.357","5.243","0.468","3.015","174.825"
"68","GTLM","Alessandro Pier Guidi","1","2:19.937","3:11.755","Green","Track","31.616","30.703","22.816","8.043","6.489","6.261","11.635","7.271","6.328","5.215","0.472","3.088","173.344"
"01","P","Andy Priaulx","1","2:28.422","3:15.972","Green","Track","34.184","32.461","26.224","8.234","6.225","6.552","12.861","7.277","6.060","4.977","0.449","2.918","182.223"
"54","PC","Mark Wilkins","1","2:30.159","3:28.431","Green","Track","31.950","33.645","27.013","8.341","6.692","6.724","13.079","7.448","6.425","5.303","0.478","3.061","171.168"
"96","GTD","Marco Wittman","1","2:32.060","3:29.338","Green","Track","31.882","33.703","26.599","8.821","7.085","6.622","13.257","7.794","6.920","5.644","0.000","3.231","0.000"
"31","P","Dane Cameron","1","2:28.362","3:48.904","Green","Track","30.787","34.211","26.660","8.272","6.558","6.899","13.098","7.105","6.088","5.091","0.473","3.120","172.977"
"38","PC","James French","1","2:36.069","4:05.324","Green","Track","33.443","34.044","27.928","8.846","6.979","7.391","14.204","7.720","6.527","5.392","0.485","3.110","168.697"
"52","PC","Robert Alon","1","3:20.156","4:15.922","Green","Pit","32.159","31.502","26.129","8.290","6.485","6.375","13.000","7.795","6.553","11.187","0.000","0.000","0.000"
"90","P","Ryan Dalziel","1","1:58.036","4:26.415","Green","Track","13.442","27.873","23.970","7.755","6.065","6.046","11.669","6.963","5.990","0.000","0.000","0.000","0.000"
"97","GTD","Maxime Martin","1","2:03.140","4:35.050","Green","Track","13.700","28.058","24.705","8.310","6.633","6.372","12.229","7.549","6.516","5.432","0.491","3.145","166.636"
"20","PC","Johnny Mowlem","1","2:03.574","4:38.836","Green","Track","13.662","28.827","25.558","7.987","6.457","6.353","12.156","7.305","6.366","5.338","0.483","3.082","169.396"
"23","GTD","Mario Farnbacher","1","2:06.387","4:40.632","Green","Track","13.936","30.126","25.465","8.366","6.566","6.388","12.666","7.489","6.471","5.359","0.483","3.072","169.396"
"10","P","Ricky Taylor","1","2:05.173","4:41.773","Green","Track","13.990","29.321","25.786","8.076","6.220","6.339","12.883","7.342","6.402","5.294","0.477","3.043","171.527"
"007","GTD","Lars Viljoen","1","2:08.063","4:41.902","Green","Track","13.830","29.907","25.863","8.551","6.607","6.650","13.485","7.652","6.509","5.404","0.487","3.118","168.004"
"28","GTD","Marc Basseng","1","2:04.980","4:50.168","Green","Track","14.486","29.154","25.222","8.099","6.530","6.212","0.000","7.369","6.322","5.178","0.000","0.000","0.000"
"85","PC","Stephen Simpson","1","2:08.630","4:52.158","Green","Track","13.880","29.842","25.791","8.521","7.020","6.864","0.000","7.687","6.753","5.513","0.492","3.184","166.297"
"73","GTD","Norbert Siedler","1","2:05.788","4:55.968","Green","Track","13.840","29.610","25.600","8.297","6.556","6.252","12.790","7.572","6.443","5.312","0.000","0.000","0.000"
"98","GTD","Richie Stanaway","1","2:04.578","4:56.569","Green","Track","13.626","28.642","25.511","8.301","6.590","6.287","0.000","7.569","6.494","0.000","0.000","0.000","0.000"
"62","GTLM","Giancarlo Fisichella","1","1:56.420","4:58.319","Green","Track","12.843","26.023","22.625","8.277","6.572","6.142","11.544","7.298","6.347","0.000","0.000","0.000","0.000"
"45","GTD","Pierre Kaffer","1","2:06.043","5:00.805","Green","Track","13.985","29.441","25.038","8.457","6.734","6.451","0.000","7.616","6.558","0.000","0.000","0.000","0.000"
"5","P","Joao Barbosa","1","2:04.847","5:01.016","Green","Track","14.378","29.810","25.524","7.933","6.125","6.296","12.999","7.238","6.072","0.000","0.000","0.000","0.000"
"25","GTLM","Dirk Werner","2","1:57.769","5:06.512","Green","Track","12.584","26.626","23.004","8.010","6.501","6.294","0.000","7.279","6.387","0.000","0.000","0.000","0.000"
"3","GTLM","Jan Magnussen","2","1:58.975","5:08.070","Green","Track","13.437","26.232","23.216","7.965","6.467","6.477","0.000","7.471","6.439","0.000","0.000","0.000","0.000"
"100","GTLM","John Edwards","2","1:58.479","5:08.209","Green","Track","13.415","26.621","23.231","7.926","6.444","6.275","0.000","7.440","6.399","0.000","0.000","0.000","0.000"
"51","GTD","Raffaele Gianmaria","1","2:05.909","5:08.465","Green","Track","13.678","29.051","25.131","8.346","6.574","6.600","0.000","7.574","0.000","0.000","0.000","0.000","0.000"
"02","P","Kyle Larson","1","2:01.627","5:08.702","Green","Track","13.278","28.015","25.172","7.831","6.423","6.692","0.000","7.031","0.000","0.000","0.000","0.000","0.000"
"67","GTLM","Ryan Briscoe","2","1:58.743","5:10.297","Green","Track","13.510","27.141","23.179","8.016","6.443","6.351","0.000","7.364","0.000","0.000","0.000","0.000","0.000"
"68","GTLM","Alessandro Pier Guidi","2","2:00.679","5:12.434","Green","Track","13.991","27.310","22.785","8.019","6.438","0.000","0.000","7.507","6.384","0.000","0.000","0.000","0.000"
"4","GTLM","Oliver Gavin","2","2:02.962","5:12.608","Green","Track","13.949","26.395","25.215","8.704","7.461","0.000","0.000","7.288","6.315","0.000","0.000","0.000","0.000"
"26","PC","Ryan Eversley","1","2:12.395","5:16.602","Green","Track","13.065","28.435","24.834","8.103","6.529","6.396","0.000","0.000","0.000","5.311","0.000","0.000","0.000"
"8","PC","Renger van der Zande","1","2:31.996","5:17.020","Green","Track","30.919","31.244","26.479","8.727","6.673","7.769","0.000","0.000","0.000","5.297","0.000","0.000","0.000"
"44","GTD","Andy Lally","1","2:11.310","5:19.876","Green","Track","15.237","31.139","26.157","8.428","6.702","0.000","0.000","0.000","0.000","5.402","0.000","0.000","0.000"
"01","P","Andy Priaulx","2","2:03.782","5:19.754","Green","Track","13.519","29.403","26.475","8.096","6.152","0.000","0.000","0.000","0.000","4.946","0.000","0.000","0.000"
"30","GTD","Sven Mueller","1","2:12.560","5:23.133","Green","Track","15.856","30.872","26.491","8.766","6.832","0.000","0.000","0.000","0.000","5.469","0.000","0.000","0.000"
"93","GTD","Damien Faulkner","1","2:09.229","5:25.004","Green","Track","14.744","29.626","26.290","8.555","6.810","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"9","GTD","Dion von Molke","1","2:36.138","5:28.699","Green","Track","30.354","35.194","28.019","8.919","7.385","0.000","0.000","0.000","0.000","5.749","0.000","0.000","0.000"
