"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SPI"
"63","GTD","Jeff Segal","1","2:43.110","2:56.738","Green","Track","31.802","39.877","28.419","8.617","6.710","8.257","15.270","8.293","6.657","5.419","0.489","3.300","167.317"
"007","GTD","James Davison","1","2:54.419","3:09.552","Green","Track","32.458","41.254","30.510","8.989","7.096","9.311","16.267","9.940","7.839","6.336","0.625","3.794","130.909"
"48","GTD","Bryce Miller","1","3:03.938","3:28.490","Green","Track","37.304","43.967","31.895","9.308","6.987","8.585","17.760","8.533","6.693","6.564","0.795","5.547","102.916"
"98","GTD","Richie Stanaway","1","2:12.679","4:50.272","Green","Track","14.589","31.668","27.232","8.730","6.695","6.534","13.680","7.816","6.599","5.485","0.495","3.156","165.289"
"30","GTD","Sven Mueller","1","2:16.295","4:58.678","Green","Track","15.839","32.454","28.495","8.695","6.720","6.471","14.097","7.872","6.595","5.431","0.490","3.136","166.976"
"44","GTD","Andy Lally","1","2:12.503","5:01.313","Green","Track","14.440","30.814","26.999","8.681","6.815","6.589","14.280","7.978","6.712","5.527","0.498","3.170","164.294"
"6","GTD","Andrew Davis","1","2:16.866","5:02.074","Green","Track","15.441","32.397","27.806","8.841","6.878","6.952","14.570","8.113","6.714","5.503","0.496","3.155","164.956"
"93","GTD","Damien Faulkner","1","2:12.736","5:06.862","Green","Track","14.444","31.782","27.458","8.531","6.583","6.569","13.915","7.860","6.577","5.420","0.488","3.109","167.660"
"33","GTD","Jeroen Bleekemolen","1","2:17.562","5:09.772","Green","Track","15.480","32.350","27.604","8.525","6.635","6.746","16.341","8.088","0.000","0.000","0.492","3.206","166.297"
"23","GTD","Mario Farnbacher","1","2:15.115","5:09.939","Green","Track","14.979","32.209","26.720","8.386","6.597","7.180","15.154","8.074","6.677","5.420","0.488","3.231","167.660"
"63","GTD","Jeff Segal","2","2:15.014","5:11.752","Green","Track","15.525","32.111","27.248","8.595","6.618","6.834","14.643","7.907","6.542","5.400","0.489","3.102","167.317"
"97","GTD","Markus Palttala","1","2:21.047","5:13.752","Green","Track","15.458","33.110","28.425","8.668","6.654","7.298","15.898","9.500","6.831","5.535","0.497","3.173","164.624"
"28","GTD","Marc Basseng","1","2:20.760","5:17.000","Green","Track","16.378","33.079","28.671","8.671","0.000","0.000","15.059","7.853","6.462","5.256","0.474","3.053","172.612"
"96","GTD","Jens Klingmann","1","2:13.123","5:18.178","Green","Track","14.494","31.175","27.514","8.743","6.690","6.688","14.223","7.902","6.582","5.468","0.493","3.151","165.960"
"11","GTD","Townsend Bell","1","2:31.538","5:23.609","Green","Track","17.361","39.285","32.386","8.664","6.584","7.531","16.540","7.852","6.498","5.315","0.481","3.041","170.100"
"540","GTD","Timothy Pappas","1","2:22.496","5:30.011","Green","Track","16.263","34.230","28.801","8.807","6.854","7.627","15.708","8.193","6.768","5.549","0.500","3.196","163.636"
"007","GTD","James Davison","2","2:23.107","5:32.659","Green","Track","16.329","35.768","30.291","8.733","6.692","6.981","14.979","7.734","6.540","5.436","0.490","3.134","166.976"
"73","GTD","Norbert Siedler","1","2:12.386","5:33.151","Green","Track","14.991","30.679","26.972","8.676","6.675","6.751","14.357","7.839","6.523","5.361","0.483","3.079","169.396"
"22","GTD","Leh Keen","1","2:09.407","5:36.381","Green","Track","14.257","30.126","26.181","8.411","6.714","6.549","13.517","7.892","6.636","5.471","0.494","3.159","165.624"
"21","GTD","Emanuele Busnelli","1","2:29.055","5:45.947","Green","Track","17.157","35.145","31.083","8.938","7.249","7.564","16.425","8.180","7.130","6.034","0.552","3.598","148.221"
"48","GTD","Bryce Miller","2","2:21.887","5:50.377","Green","Track","16.654","34.514","28.944","9.265","6.739","6.688","15.340","8.181","6.612","5.389","0.487","3.074","168.004"
"45","GTD","Tracy Krohn","1","2:42.564","6:30.410","Green","Track","30.119","35.067","29.818","9.683","7.424","7.134","16.286","9.035","7.929","6.142","0.539","3.388","151.796"
"98","GTD","Richie Stanaway","2","2:11.129","7:01.401","Green","Track","14.455","30.796","27.055","8.525","6.642","6.393","13.688","7.861","6.594","5.473","0.494","3.153","165.624"
"30","GTD","Sven Mueller","2","2:11.427","7:10.105","Green","Track","14.861","30.699","27.058","8.511","6.652","6.359","13.838","7.845","6.583","5.423","0.488","3.110","167.660"
"44","GTD","Andy Lally","2","2:10.615","7:11.928","Green","Track","14.409","30.240","26.422","8.557","6.748","6.522","13.987","7.918","6.685","5.486","0.494","3.147","165.624"
"6","GTD","Andrew Davis","2","2:13.830","7:15.904","Green","Track","14.653","31.691","26.993","8.666","6.756","6.725","14.324","8.125","6.723","5.515","0.497","3.162","164.624"
"93","GTD","Damien Faulkner","2","2:09.536","7:16.398","Green","Track","14.291","29.912","26.512","8.462","6.584","6.672","13.668","7.885","6.562","5.400","0.489","3.099","167.317"
"23","GTD","Mario Farnbacher","2","2:10.621","7:20.560","Green","Track","15.278","29.943","26.313","8.405","6.623","6.739","13.725","7.936","6.622","5.436","0.489","3.112","167.317"
"51","GTD","Raffaele Gianmaria","1","2:51.728","7:22.850","Green","Pit","30.079","34.259","28.909","8.911","6.666","6.647","15.236","7.973","6.593","12.216","0.000","0.000","0.000"
"33","GTD","Jeroen Bleekemolen","2","2:13.473","7:23.245","Green","Track","14.973","31.730","27.093","8.521","6.669","6.700","14.158","7.899","6.624","5.469","0.493","3.144","165.960"
"63","GTD","Jeff Segal","3","2:11.804","7:23.556","Green","Track","15.030","30.626","26.969","8.521","6.557","6.694","14.125","7.836","6.527","5.370","0.482","3.067","169.747"
"28","GTD","Marc Basseng","2","2:08.727","7:25.727","Green","Track","14.508","29.935","26.392","8.335","6.467","6.163","14.166","7.651","6.414","5.230","0.472","2.994","173.344"
"97","GTD","Markus Palttala","2","2:19.463","7:33.215","Green","Track","14.194","31.653","32.359","8.891","6.834","7.258","14.561","7.870","6.671","5.482","0.497","3.193","164.624"
"11","GTD","Townsend Bell","2","2:09.625","7:33.234","Green","Track","14.190","29.869","27.027","8.420","6.517","6.453","14.040","7.783","6.511","5.297","0.480","3.038","170.455"
"73","GTD","Norbert Siedler","2","2:10.104","7:43.255","Green","Track","14.469","31.531","26.343","8.375","6.591","6.270","13.311","7.716","6.533","5.388","0.485","3.092","168.697"
"22","GTD","Leh Keen","2","2:10.459","7:46.840","Green","Track","14.144","29.729","26.706","8.473","6.674","7.446","13.801","7.764","6.604","5.468","0.493","3.157","165.960"
"96","GTD","Jens Klingmann","2","2:31.741","7:49.919","Green","Pit","14.630","30.058","26.716","8.613","6.648","7.686","14.847","9.350","8.061","11.419","0.000","0.000","0.000"
"007","GTD","James Davison","3","2:19.030","7:51.689","Green","Track","14.680","32.508","28.349","8.560","6.653","7.961","16.830","7.860","6.555","5.445","0.490","3.139","166.976"
"540","GTD","Timothy Pappas","2","2:25.355","7:55.366","Green","Track","16.132","32.674","31.194","8.799","6.960","8.399","16.130","8.353","7.156","5.781","0.510","3.267","160.428"
"21","GTD","Emanuele Busnelli","2","2:20.647","8:06.594","Green","Track","16.905","33.800","28.621","8.541","6.863","6.646","14.546","8.040","6.929","5.732","0.528","3.496","154.959"
"48","GTD","Bryce Miller","3","2:16.346","8:06.723","Green","Track","15.522","32.072","28.263","8.729","6.623","6.859","14.732","7.928","6.522","5.342","0.481","3.273","170.100"
"45","GTD","Tracy Krohn","2","2:21.299","8:51.709","Green","Track","15.086","31.950","28.480","9.450","7.543","7.234","15.664","8.886","7.335","5.845","0.521","3.305","157.041"
"98","GTD","Richie Stanaway","3","2:09.176","9:10.577","Green","Track","14.290","29.679","26.779","8.405","6.617","0.000","0.000","7.830","6.598","5.482","0.495","3.149","165.289"
"30","GTD","Sven Mueller","3","2:08.502","9:18.607","Green","Track","14.137","29.823","26.245","8.365","6.607","6.328","13.545","7.834","6.574","5.434","0.490","3.120","166.976"
"44","GTD","Andy Lally","3","2:10.162","9:22.090","Green","Track","14.643","29.905","26.457","8.590","6.733","6.525","13.592","7.887","6.671","5.501","0.497","3.161","164.624"
"93","GTD","Damien Faulkner","3","2:09.051","9:25.449","Green","Track","14.457","29.454","26.338","8.397","6.588","6.521","13.808","7.936","6.559","5.400","0.487","3.106","168.004"
"6","GTD","Andrew Davis","3","2:13.579","9:29.483","Green","Track","15.075","31.432","26.911","8.631","6.739","6.671","14.217","8.048","6.691","5.502","0.496","3.166","164.956"
"23","GTD","Mario Farnbacher","3","2:09.203","9:29.763","Green","Track","14.287","29.605","26.380","8.396","6.606","6.714","13.815","7.823","6.581","5.407","0.487","3.102","168.004"
"33","GTD","Jeroen Bleekemolen","3","2:09.656","9:32.901","Green","Track","14.821","29.957","26.395","8.416","6.646","6.566","13.335","7.846","6.592","5.456","0.492","3.134","166.297"
"28","GTD","Marc Basseng","3","2:07.592","9:33.319","Green","Track","14.393","29.466","25.900","8.273","6.398","6.421","13.949","7.677","6.397","5.241","0.474","3.003","172.612"
"63","GTD","Jeff Segal","4","2:17.531","9:41.087","Green","Track","14.632","31.387","28.938","10.229","7.553","7.464","13.878","7.856","6.559","5.424","0.490","3.121","166.976"
"97","GTD","Markus Palttala","3","2:10.307","9:43.522","Green","Track","14.104","29.939","27.419","8.627","6.650","6.507","13.523","7.809","6.562","5.484","0.497","3.186","164.624"
"11","GTD","Townsend Bell","3","2:16.211","9:49.445","Green","Track","14.591","36.764","26.726","8.355","6.522","6.405","13.700","7.822","6.474","5.318","0.480","3.054","170.455"
"73","GTD","Norbert Siedler","3","2:07.101","9:50.356","Green","Track","14.063","28.995","25.514","8.326","6.551","6.429","13.846","7.893","6.539","5.374","0.484","3.087","169.046"
"22","GTD","Leh Keen","3","2:07.540","9:54.380","Green","Track","13.926","29.526","26.020","8.364","6.651","6.343","13.260","7.751","6.595","5.456","0.493","3.155","165.960"
"007","GTD","James Davison","4","2:12.243","10:03.932","Green","Track","14.510","31.026","27.063","8.455","6.587","6.483","14.280","8.017","6.672","5.478","0.495","3.177","165.289"
"51","GTD","Raffaele Gianmaria","2","2:41.138","10:03.988","Green","Track","30.173","42.578","27.692","8.942","6.658","6.520","14.634","8.074","6.662","5.475","0.488","3.242","167.660"
"540","GTD","Timothy Pappas","3","2:21.136","10:16.502","Green","Track","16.119","33.084","29.053","8.839","7.062","7.229","15.323","8.185","6.878","5.648","0.503","3.213","162.660"
"48","GTD","Bryce Miller","4","2:16.568","10:23.291","Green","Track","16.113","31.771","28.105","8.741","6.652","7.096","14.622","7.976","6.565","5.371","0.484","3.072","169.046"
"21","GTD","Emanuele Busnelli","3","2:18.720","10:25.314","Green","Track","16.879","32.677","28.072","8.546","6.850","6.732","14.718","8.019","6.746","5.534","0.511","3.436","160.114"
"45","GTD","Tracy Krohn","3","2:17.414","11:09.123","Green","Track","14.748","31.218","28.529","8.946","7.052","6.815","14.979","8.802","6.960","5.616","0.507","3.242","161.377"
"98","GTD","Richie Stanaway","4","2:08.098","11:18.675","Green","Track","14.078","29.564","26.363","8.424","6.633","6.331","13.237","7.775","6.576","5.471","0.494","3.152","165.624"
"30","GTD","Sven Mueller","4","2:07.751","11:26.358","Green","Track","13.831","29.457","26.273","8.394","6.623","6.289","13.451","7.833","6.560","5.428","0.490","3.122","166.976"
"44","GTD","Andy Lally","4","2:10.584","11:32.674","Green","Track","14.467","30.569","26.453","8.624","6.766","6.425","13.546","7.896","6.674","5.500","0.497","3.167","164.624"
"93","GTD","Damien Faulkner","4","2:07.616","11:33.065","Green","Track","13.955","29.465","26.114","8.380","6.609","6.390","13.356","7.812","6.546","5.390","0.488","3.111","167.660"
"23","GTD","Mario Farnbacher","4","2:08.845","11:38.608","Green","Track","14.565","29.172","26.180","8.363","6.618","6.616","13.905","7.801","6.581","5.431","0.490","3.123","166.976"
"28","GTD","Marc Basseng","4","2:08.643","11:41.962","Green","Track","14.806","29.427","25.864","8.257","6.470","6.620","14.070","7.781","6.562","5.290","0.476","3.020","171.887"
"6","GTD","Andrew Davis","4","2:12.780","11:42.263","Green","Track","14.973","30.902","27.099","8.567","6.730","6.652","13.914","8.057","6.700","5.517","0.500","3.169","163.636"
"33","GTD","Jeroen Bleekemolen","4","2:16.210","11:49.111","Green","Track","14.531","29.987","30.985","8.644","6.679","6.923","14.822","7.899","6.615","5.472","0.494","3.159","165.624"
"63","GTD","Jeff Segal","5","2:09.398","11:50.485","Green","Track","14.293","29.786","26.187","8.352","6.591","6.640","14.071","7.921","6.560","5.397","0.487","3.113","168.004"
"97","GTD","Markus Palttala","4","2:10.536","11:54.058","Green","Track","13.958","30.236","26.792","8.680","6.682","6.521","13.897","7.933","6.639","5.500","0.499","3.199","163.964"
"11","GTD","Townsend Bell","4","2:08.906","11:58.351","Green","Track","14.728","29.402","26.476","8.321","6.519","6.379","13.861","7.867","6.501","5.320","0.481","3.051","170.100"
"22","GTD","Leh Keen","4","2:14.018","12:08.398","Green","Track","13.930","30.002","26.749","8.409","6.695","8.653","15.989","7.774","6.630","5.497","0.497","3.193","164.624"
"73","GTD","Norbert Siedler","4","2:22.481","12:12.837","Green","Track","14.188","33.578","30.970","11.140","7.675","6.870","14.579","7.896","6.571","5.416","0.488","3.110","167.660"
"007","GTD","James Davison","5","2:09.466","12:13.398","Green","Track","14.194","30.021","26.679","8.570","6.644","6.475","13.548","7.795","6.521","5.406","0.489","3.124","167.317"
"51","GTD","Raffaele Gianmaria","3","2:14.076","12:18.064","Green","Track","15.207","31.243","27.015","8.919","6.645","6.599","14.972","7.930","6.531","5.346","0.483","3.186","169.396"
"540","GTD","Timothy Pappas","4","2:20.513","12:37.015","Green","Track","16.075","33.508","27.669","8.682","6.791","7.031","15.542","8.246","7.097","5.789","0.525","0.000","155.844"
"48","GTD","Bryce Miller","5","2:15.350","12:38.641","Green","Track","15.622","31.535","28.114","8.635","6.618","6.855","14.552","7.952","6.553","5.364","0.484","3.066","169.046"
"21","GTD","Emanuele Busnelli","4","2:20.289","12:45.603","Green","Track","16.323","32.729","28.114","8.420","6.604","6.388","16.452","8.290","7.295","5.760","0.515","3.399","158.870"
"45","GTD","Tracy Krohn","4","2:16.572","13:25.695","Green","Track","15.040","31.068","27.936","9.481","7.070","6.704","14.383","8.603","6.923","5.608","0.509","3.247","160.743"
"98","GTD","Richie Stanaway","5","2:07.982","13:26.657","Green","Track","14.165","29.510","26.431","8.350","6.646","6.368","13.105","7.717","6.568","5.473","0.494","3.155","165.624"
"30","GTD","Sven Mueller","5","2:13.191","13:39.549","Green","Track","17.981","30.357","26.531","8.438","6.641","6.326","13.461","7.806","6.575","5.443","0.492","3.140","166.297"
"44","GTD","Andy Lally","5","2:09.553","13:42.227","Green","Track","14.574","29.477","26.197","8.442","6.715","6.382","13.944","7.959","6.677","5.517","0.498","3.171","164.294"
"93","GTD","Damien Faulkner","5","2:12.867","13:45.932","Green","Track","14.753","31.339","28.105","8.652","6.653","6.447","13.474","7.822","6.562","5.431","0.491","3.138","166.636"
"23","GTD","Mario Farnbacher","5","2:07.985","13:46.593","Green","Track","14.168","29.285","26.045","8.342","6.608","6.718","13.510","7.740","6.545","5.410","0.489","3.125","167.317"
"28","GTD","Marc Basseng","5","2:07.434","13:49.396","Green","Track","14.841","29.463","25.678","8.222","6.460","6.181","13.825","7.624","6.407","5.249","0.474","3.010","172.612"
"6","GTD","Andrew Davis","5","2:12.792","13:55.055","Green","Track","15.168","30.906","26.822","8.550","6.741","6.674","14.029","8.015","6.688","5.518","0.500","3.181","163.636"
"33","GTD","Jeroen Bleekemolen","5","2:08.228","13:57.339","Green","Track","14.516","29.075","26.027","8.444","6.662","6.430","13.443","7.912","6.610","5.460","0.494","3.155","165.624"
"63","GTD","Jeff Segal","6","2:09.995","14:00.480","Green","Track","14.682","30.166","26.202","8.477","6.606","6.552","13.869","7.852","6.544","5.422","0.490","3.133","166.976"
"97","GTD","Markus Palttala","5","2:11.109","14:05.167","Green","Track","13.969","29.983","26.778","8.621","6.696","6.515","13.722","7.912","6.630","6.025","0.590","3.668","138.675"
