"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"20","PC","Johnny Mowlem","1","1:04.832","1:04.832","Green","Track","0.000","0.000","13.451","11.922","14.870","5.733","9.591","2.781","0.000"
"6","GTD","Robin Liddell","1","1:08.845","1:08.845","Green","Track","0.000","0.000","14.285","12.502","14.906","6.332","10.103","2.902","0.000"
"97","GTD","Markus Palttala","1","1:13.094","1:13.094","Green","Track","0.000","0.000","13.885","12.201","15.593","6.054","10.182","2.869","0.000"
"38","PC","Kyle Marcelli","1","1:13.084","1:13.084","Green","Track","0.000","0.000","13.695","11.937","14.403","5.429","9.296","2.719","0.000"
"44","GTD","John Potter","1","1:18.919","1:18.919","Green","Track","0.000","0.000","15.047","14.092","16.245","6.210","10.423","2.912","0.000"
"4","GTLM","Tommy Milner","1","1:20.936","1:20.936","Green","Track","0.000","0.000","13.821","11.770","15.173","5.883","9.924","2.894","0.000"
"23","GTD","Alex Riberas","1","1:24.064","1:24.064","Green","Track","0.000","0.000","14.319","12.076","14.589","5.966","9.948","2.914","0.000"
"63","GTD","Alessandro Balzan","1","1:24.605","1:24.605","Green","Pit","0.000","0.000","14.452","13.246","15.704","6.246","12.993","11.985","0.000"
"912","GTLM","Frederic Makowiecki","1","1:28.869","1:28.869","Green","Track","0.000","0.000","14.577","11.483","15.559","6.071","10.456","2.950","0.000"
"22","GTD","Leh Keen","1","1:29.228","1:29.228","Green","Track","0.000","0.000","14.734","12.610","16.521","6.304","11.034","2.948","0.000"
"67","GTLM","Richard Westbrook","1","1:29.720","1:29.720","Green","Track","0.000","0.000","15.039","12.086","16.512","6.117","10.642","2.892","0.000"
"52","PC","Robert Alon","1","1:29.882","1:29.882","Green","Track","0.000","0.000","15.641","12.183","15.725","6.066","10.696","2.795","0.000"
"85","PC","Stephen Simpson","1","1:30.063","1:30.063","Green","Track","0.000","0.000","13.341","11.801","15.411","5.891","10.342","2.756","0.000"
