"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"23","GTD","Mario Farnbacher","1","1:11.101","1:11.101","Green","Track","0.000","0.000","13.400","12.570","15.953","6.530","10.241","2.924","0.000"
"63","GTD","Christina Nielsen","1","1:11.916","1:11.916","Green","Track","0.000","0.000","14.781","13.317","16.197","6.372","10.478","3.049","0.000"
"44","GTD","John Potter","1","1:14.083","1:14.083","Green","Track","0.000","0.000","14.720","12.894","16.022","6.672","10.753","2.901","0.000"
"33","GTD","Ben Keating","1","1:16.260","1:16.260","Green","Track","0.000","0.000","15.579","13.216","16.144","6.490","11.080","2.887","0.000"
"22","GTD","Cooper MacNeil","1","1:18.152","1:18.152","Green","Track","0.000","0.000","15.705","13.072","17.590","6.218","10.764","3.197","0.000"
"6","GTD","Andrew Davis","1","1:29.662","1:29.662","Green","Track","0.000","0.000","14.086","13.374","21.327","8.692","14.239","3.978","0.000"
"96","GTD","Bret Curtis","1","1:33.926","1:33.926","Green","Track","0.000","0.000","14.145","14.373","21.819","11.024","13.179","4.289","0.000"
"16","GTD","Spencer Pumpelly","1","1:39.232","1:39.232","Green","Track","0.000","0.000","16.914","12.574","14.657","5.770","9.703","3.487","0.000"
"27","GTD","Cedric Sbirrazzuoli","1","1:41.336","1:41.336","Green","Track","0.000","0.000","15.865","12.359","15.666","6.182","10.098","2.862","0.000"
"540","GTD","Timothy Pappas","1","1:43.047","1:43.047","Green","Track","0.000","0.000","16.258","12.924","15.347","6.088","10.371","2.873","0.000"
"97","GTD","Michael Marsal","1","1:44.932","1:44.932","Green","Track","0.000","0.000","14.095","12.279","15.466","5.946","9.898","2.899","0.000"
"48","GTD","Madison Snow","1","1:48.904","1:48.904","Green","Track","0.000","0.000","22.837","17.583","15.973","6.477","10.085","2.863","0.000"
"73","GTD","Patrick Lindsey","1","1:56.254","1:56.254","Green","Track","0.000","0.000","16.268","12.844","16.517","6.086","10.085","2.918","0.000"
"23","GTD","Mario Farnbacher","2","54.890","2:05.991","Green","Track","0.495","0.880","10.288","10.973","14.136","5.815","9.466","2.837","140.152"
"63","GTD","Christina Nielsen","2","56.665","2:08.581","Green","Track","0.535","0.947","10.747","11.407","14.563","5.783","9.831","2.852","129.673"
"44","GTD","John Potter","2","56.595","2:10.678","Green","Track","0.486","0.868","10.716","11.723","14.659","5.707","9.607","2.829","142.747"
"33","GTD","Ben Keating","2","58.148","2:14.408","Green","Track","0.485","0.861","10.569","11.235","14.756","7.471","9.958","2.813","143.041"
"22","GTD","Cooper MacNeil","2","1:00.248","2:18.400","Green","Track","0.629","1.216","12.327","11.316","14.600","7.317","10.005","2.838","110.294"
"6","GTD","Andrew Davis","2","58.203","2:27.865","Green","Track","0.655","1.119","11.318","11.328","15.129","6.159","9.663","2.832","105.916"
"96","GTD","Bret Curtis","2","58.956","2:32.882","Green","Track","0.642","1.091","11.011","11.516","16.306","5.794","9.768","2.828","108.061"
"16","GTD","Spencer Pumpelly","2","57.871","2:37.103","Green","Track","0.609","1.063","11.258","12.115","15.187","5.549","9.320","2.770","113.916"
"27","GTD","Cedric Sbirrazzuoli","2","57.840","2:39.176","Green","Track","0.482","0.922","10.758","11.372","16.075","5.824","9.622","2.785","143.932"
"540","GTD","Timothy Pappas","2","57.113","2:40.160","Green","Track","0.482","0.893","11.234","11.285","14.633","5.832","9.933","2.821","143.932"
"97","GTD","Michael Marsal","2","1:00.022","2:44.954","Green","Track","0.489","0.872","10.677","12.146","17.279","5.858","9.827","2.874","141.871"
"48","GTD","Madison Snow","2","1:00.322","2:49.226","Green","Track","0.481","0.855","10.630","11.642","17.673","6.526","9.714","2.801","144.231"
"73","GTD","Patrick Lindsey","2","57.470","2:53.724","Green","Track","0.491","0.885","10.806","11.413","16.135","5.605","9.356","2.779","141.293"
"23","GTD","Mario Farnbacher","3","54.164","3:00.155","Green","Track","0.479","0.856","10.085","10.799","13.813","5.483","9.658","2.991","144.833"
"63","GTD","Christina Nielsen","3","54.286","3:02.867","Green","Track","0.481","0.857","10.333","10.938","13.780","5.512","9.572","2.813","144.231"
"44","GTD","John Potter","3","55.049","3:05.727","Green","Track","0.477","0.850","10.250","10.941","14.287","5.718","9.682","2.844","145.440"
"33","GTD","Ben Keating","3","54.898","3:09.306","Green","Track","0.474","0.846","10.142","11.038","13.875","5.487","10.105","2.931","146.361"
"22","GTD","Cooper MacNeil","3","54.501","3:12.901","Green","Track","0.477","0.855","10.283","10.791","14.047","5.651","9.578","2.819","145.440"
"6","GTD","Andrew Davis","3","53.655","3:21.520","Green","Track","0.478","0.853","10.041","10.765","13.871","5.486","9.362","2.799","145.136"
