"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"52","PC","Robert Alon","1","1:19.087","1:19.087","Yellow","Track","0.790","1.500","13.180","13.406","20.122","11.122","14.920","4.045","87.816"
"85","PC","Misha Goikhberg","1","1:19.410","1:19.410","Yellow","Track","0.887","1.584","15.137","13.746","18.624","10.654","14.213","3.855","78.213"
"7","PC","Jose Gutierrez","1","1:20.078","1:20.078","Yellow","Track","0.792","1.526","14.156","13.446","19.605","10.874","14.926","4.538","87.595"
"38","PC","James French","1","1:20.054","1:20.054","Yellow","Track","0.783","1.524","13.716","13.293","19.785","11.350","15.022","4.470","88.602"
"8","PC","Alex Popow","1","1:20.485","1:20.485","Yellow","Track","0.826","1.549","14.318","13.471","19.530","10.775","14.940","4.656","83.989"
"20","PC","Matthew McMurry","1","1:20.826","1:20.826","Yellow","Track","0.863","1.655","15.036","13.201","19.224","10.481","15.093","4.723","80.388"
"54","PC","Jonathan Bennett","1","1:21.621","1:21.621","Yellow","Track","0.852","1.554","15.156","14.402","18.887","9.551","14.611","4.957","81.426"
"88","PC","Mark Kvamme","1","1:22.350","1:22.350","Yellow","Track","0.895","1.705","15.455","14.184","18.882","9.886","15.486","4.932","77.514"
"67","GTLM","Richard Westbrook","1","1:28.274","1:28.274","Yellow","Track","0.713","1.316","12.204","14.377","20.778","10.569","14.291","5.464","97.300"
"25","GTLM","Dirk Werner","1","1:28.995","1:28.995","Yellow","Track","0.767","1.444","12.837","14.045","20.214","10.169","14.804","5.575","90.450"
"4","GTLM","Tommy Milner","1","1:29.439","1:29.439","Yellow","Track","0.833","1.494","12.572","13.868","20.107","10.156","14.924","5.681","83.283"
"62","GTLM","Toni Vilander","1","1:29.947","1:29.947","Yellow","Track","0.831","1.568","12.837","14.075","19.608","10.084","15.091","5.766","83.484"
"66","GTLM","Joey Hand","1","1:30.443","1:30.443","Yellow","Track","0.864","1.469","13.225","14.058","19.031","9.785","14.996","6.043","80.295"
"3","GTLM","Jan Magnussen","1","1:30.923","1:30.923","Yellow","Track","0.844","1.612","12.713","14.259","19.791","9.548","15.211","6.268","82.198"
"911","GTLM","Patrick Pilet","1","1:31.278","1:31.278","Yellow","Track","0.882","1.565","13.467","13.991","19.004","9.486","14.953","6.327","78.656"
"100","GTLM","John Edwards","1","1:31.696","1:31.696","Yellow","Track","0.807","1.376","13.513","14.249","18.909","8.678","15.204","6.413","85.967"
"912","GTLM","Frederic Makowiecki","1","1:31.979","1:31.979","Yellow","Track","0.907","1.588","13.620","14.262","18.890","8.318","15.011","6.616","76.488"
"16","GTD","Spencer Pumpelly","1","1:32.549","1:32.549","Yellow","Track","0.932","1.528","13.547","14.367","18.876","8.190","14.709","6.788","74.437"
"6","GTD","Andrew Davis","1","1:33.220","1:33.220","Yellow","Track","0.916","1.522","13.832","14.083","19.044","7.703","14.980","6.980","75.737"
"9","GTD","Matt Bell","1","1:33.691","1:33.691","Yellow","Track","1.014","1.564","14.196","13.496","19.031","7.579","14.868","7.195","68.417"
"63","GTD","Christina Nielsen","1","1:34.270","1:34.270","Yellow","Track","0.994","1.592","13.983","13.253","19.327","7.266","14.996","7.165","69.794"
"48","GTD","Madison Snow","1","1:34.867","1:34.867","Yellow","Track","1.043","1.745","13.763","13.440","19.453","6.702","15.551","7.041","66.515"
"23","GTD","Mario Farnbacher","1","1:35.528","1:35.528","Yellow","Track","0.960","1.575","13.644","13.693","19.349","6.475","15.338","7.310","72.266"
"96","GTD","Bret Curtis","1","1:36.453","1:36.453","Yellow","Track","0.947","1.642","13.321","13.444","20.054","5.971","15.104","7.483","73.258"
"73","GTD","Patrick Lindsey","1","1:37.488","1:37.488","Yellow","Track","0.891","1.913","12.923","13.298","21.342","6.298","14.059","7.431","77.862"
"97","GTD","Michael Marsal","1","1:38.842","1:38.842","Yellow","Track","0.999","1.856","12.884","13.303","20.881","6.508","14.391","7.292","69.444"
"44","GTD","John Potter","1","1:39.832","1:39.832","Yellow","Track","0.976","1.919","12.854","13.103","20.614","6.747","14.594","7.400","71.081"
"22","GTD","Cooper MacNeil","1","1:41.612","1:41.612","Yellow","Track","0.897","1.400","12.039","13.118","21.251","6.388","15.182","7.812","77.341"
"33","GTD","Ben Keating","1","1:42.276","1:42.276","Yellow","Track","0.929","1.437","12.307","12.651","21.600","6.677","14.758","7.616","74.677"
