"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPS"
"22","GTD","Cooper MacNeil","1","1:15.309","1:15.309","Green","Track","0.000","0.000","18.397","12.465","15.090","6.091","10.528","2.910","0.000"
"62","GTLM","Giancarlo Fisichella","1","1:16.411","1:16.411","Green","Track","0.000","0.000","13.174","11.596","14.751","5.676","9.541","2.823","0.000"
"48","GTD","Bryan Sellers","1","1:17.671","1:17.671","Green","Track","0.000","0.000","12.977","11.554","14.550","5.664","9.728","2.806","0.000"
"4","GTLM","Tommy Milner","1","1:28.983","1:28.983","Green","Track","0.000","0.000","13.457","11.803","15.052","5.753","9.805","2.855","0.000"
"97","GTD","Markus Palttala","1","1:29.877","1:29.877","Green","Track","0.000","0.000","14.143","12.950","15.113","5.840","9.857","2.820","0.000"
"3","GTLM","Jan Magnussen","1","1:31.080","1:31.080","Green","Track","0.000","0.000","13.817","12.160","15.148","5.760","9.851","2.851","0.000"
"67","GTLM","Ryan Briscoe","1","1:31.836","1:31.836","Green","Track","0.000","0.000","14.036","11.702","14.448","5.748","9.877","2.799","0.000"
"52","PC","Robert Alon","1","1:33.878","1:33.878","Green","Track","0.000","0.000","14.457","13.011","15.629","5.888","9.582","2.718","0.000"
"911","GTLM","Patrick Pilet","1","1:35.561","1:35.561","Green","Track","0.000","0.000","13.901","11.813","14.921","5.841","9.905","2.861","0.000"
"66","GTLM","Joey Hand","1","1:36.694","1:36.694","Green","Track","0.000","0.000","13.895","12.745","15.960","6.009","10.132","2.846","0.000"
"23","GTD","Mario Farnbacher","1","1:37.822","1:37.822","Green","Track","0.000","0.000","14.459","12.794","15.707","5.953","10.104","2.906","0.000"
"85","PC","Stephen Simpson","1","1:39.031","1:39.031","Green","Track","0.000","0.000","13.978","12.105","15.076","6.158","9.941","3.029","0.000"
"38","PC","James French","1","1:39.367","1:39.367","Green","Track","0.000","0.000","13.632","11.663","14.896","6.028","9.801","2.863","0.000"
"6","GTD","Andrew Davis","1","1:40.403","1:40.403","Green","Track","0.000","0.000","13.788","12.430","16.304","6.433","10.899","3.011","0.000"
"73","GTD","Jorg Bergmeister","1","1:40.739","1:40.739","Green","Track","0.000","0.000","13.709","11.705","14.922","5.970","10.150","2.831","0.000"
"96","GTD","Jens Klingmann","1","1:41.303","1:41.303","Green","Pit","0.000","0.000","13.760","12.014","15.376","6.217","14.251","12.283","0.000"
"540","GTD","Andy Pilgrim","1","1:46.638","1:46.638","Green","Track","0.000","0.000","13.615","11.994","14.953","5.894","9.939","2.869","0.000"
"20","PC","Matthew McMurry","1","1:51.969","1:51.969","Green","Track","0.000","0.000","14.053","11.890","14.879","5.692","9.205","2.692","0.000"
"27","GTD","Cedric Sbirrazzuoli","1","1:57.314","1:57.314","Green","Track","0.000","0.000","13.313","13.733","15.869","6.131","10.292","2.884","0.000"
"9","GTD","Matt Bell","1","1:59.743","1:59.743","Green","Track","0.000","0.000","13.640","12.899","17.802","6.442","10.292","2.903","0.000"
"33","GTD","Jeroen Bleekemolen","1","2:03.563","2:03.563","Green","Track","0.000","0.000","14.618","12.747","15.486","6.082","11.708","2.997","0.000"
"8","PC","Renger van der Zande","1","2:10.989","2:10.989","Green","Track","0.000","0.000","12.713","11.879","14.828","5.918","9.175","3.009","0.000"
"22","GTD","Cooper MacNeil","2","56.933","2:12.242","Green","Track","0.487","0.869","10.653","11.121","15.450","5.702","9.804","2.847","142.454"
"44","GTD","John Potter","1","2:13.681","2:13.681","Green","Track","0.000","0.000","15.039","12.805","16.760","6.209","10.120","2.893","0.000"
"88","PC","Mark Kvamme","1","2:18.368","2:18.368","Green","Pit","0.000","0.000","16.279","14.387","19.261","7.449","15.675","14.146","0.000"
"7","PC","Sean Rayhall","1","2:21.900","2:21.900","Green","Track","0.000","0.000","13.208","12.715","19.212","5.574","9.170","2.677","0.000"
"4","GTLM","Tommy Milner","2","53.845","2:22.828","Green","Track","0.481","0.893","10.265","10.690","13.997","5.472","9.274","2.773","144.231"
"62","GTLM","Giancarlo Fisichella","2","1:06.981","2:23.392","Green","Pit","0.476","0.849","10.084","11.105","15.596","5.579","11.552","11.740","145.746"
"97","GTD","Markus Palttala","2","55.202","2:25.079","Green","Track","0.474","0.847","10.524","11.167","14.253","5.628","9.530","2.779","146.361"
"48","GTD","Bryan Sellers","2","1:07.475","2:25.146","Green","Pit","0.471","0.839","10.150","10.931","15.231","5.959","12.285","11.609","147.293"
"3","GTLM","Jan Magnussen","2","54.287","2:25.367","Green","Track","0.479","0.869","10.319","10.747","14.003","5.495","9.574","2.801","144.833"
"67","GTLM","Ryan Briscoe","2","53.763","2:25.599","Green","Track","0.472","0.854","10.146","10.616","13.847","5.488","9.581","2.759","146.981"
"911","GTLM","Patrick Pilet","2","53.659","2:29.220","Green","Track","0.483","0.867","10.190","10.737","13.886","5.436","9.271","2.789","143.634"
"52","PC","Robert Alon","2","56.173","2:30.051","Green","Track","0.460","0.875","10.804","11.522","15.371","5.536","8.955","2.650","150.815"
"66","GTLM","Joey Hand","2","54.817","2:31.511","Green","Track","0.478","0.908","10.490","10.914","14.355","5.520","9.377","2.775","145.136"
"85","PC","Stephen Simpson","2","53.851","2:32.882","Green","Track","0.519","0.955","10.457","10.844","13.663","5.567","9.160","2.686","133.671"
"38","PC","James French","2","54.589","2:33.956","Green","Track","0.530","0.962","10.633","10.795","13.732","5.770","9.500","2.667","130.896"
"23","GTD","Mario Farnbacher","2","56.165","2:33.987","Green","Track","0.489","0.890","10.742","11.022","14.450","6.046","9.693","2.833","141.871"
"6","GTD","Andrew Davis","2","55.342","2:35.745","Green","Track","0.500","0.889","10.618","11.152","14.124","5.633","9.603","2.823","138.750"
"73","GTD","Jorg Bergmeister","2","55.882","2:36.621","Green","Track","0.477","0.872","10.862","11.133","14.565","5.657","9.537","2.779","145.440"
"540","GTD","Andy Pilgrim","2","55.903","2:42.541","Green","Track","0.483","0.863","10.576","11.180","14.398","5.624","9.876","2.903","143.634"
"912","GTLM","Frederic Makowiecki","1","2:43.946","2:43.946","Green","Pit","0.000","0.000","13.019","11.374","14.397","6.039","12.903","72.194","0.000"
"96","GTD","Jens Klingmann","2","1:03.166","2:44.469","Green","Track","0.000","0.000","13.335","11.263","13.959","5.498","9.432","2.749","0.000"
"20","PC","Matthew McMurry","2","52.503","2:44.472","Green","Track","0.456","0.811","9.927","10.780","13.770","5.281","8.836","2.642","152.138"
"16","GTD","Spencer Pumpelly","1","2:48.282","2:48.282","Green","Track","0.000","0.000","14.011","12.336","15.324","6.544","9.870","2.822","0.000"
"27","GTD","Cedric Sbirrazzuoli","2","55.302","2:52.616","Green","Track","0.483","0.857","10.509","11.276","14.040","5.596","9.733","2.808","143.634"
"9","GTD","Matt Bell","2","55.380","2:55.123","Green","Track","0.488","0.868","10.831","11.155","14.298","5.582","9.369","2.789","142.162"
"100","GTLM","Lucas Luhr","1","2:58.162","2:58.162","Green","Track","0.000","0.000","14.157","12.701","15.416","6.009","10.156","2.873","0.000"
"33","GTD","Jeroen Bleekemolen","2","56.002","2:59.565","Green","Track","0.496","0.881","10.978","11.362","14.191","5.638","9.642","2.814","139.869"
"8","PC","Renger van der Zande","2","54.067","3:05.056","Green","Track","0.505","0.985","10.257","10.686","14.704","5.717","8.620","2.593","137.376"
"22","GTD","Cooper MacNeil","3","54.726","3:06.968","Green","Track","0.479","0.853","10.416","10.779","14.150","5.625","9.613","2.811","144.833"
"44","GTD","John Potter","2","57.107","3:10.788","Green","Track","0.486","0.865","10.878","11.487","14.971","5.823","9.762","2.835","142.747"
"7","PC","Sean Rayhall","2","50.815","3:12.715","Green","Track","0.457","0.816","9.814","10.233","13.200","5.120","8.579","2.596","151.805"
"4","GTLM","Tommy Milner","3","51.862","3:14.690","Green","Track","0.470","0.840","9.753","10.281","13.568","5.239","8.993","2.718","147.606"
"3","GTLM","Jan Magnussen","3","53.925","3:19.292","Green","Track","0.473","0.844","10.035","10.727","14.216","5.474","9.376","2.780","146.670"
"67","GTLM","Ryan Briscoe","3","54.502","3:20.101","Green","Track","0.465","0.861","10.021","10.827","14.764","5.539","9.291","2.734","149.194"
"97","GTD","Markus Palttala","3","55.695","3:20.774","Green","Track","0.468","0.834","10.076","10.840","15.139","6.001","9.564","2.773","148.237"
"911","GTLM","Patrick Pilet","3","52.412","3:21.632","Green","Track","0.473","0.843","9.864","10.433","13.553","5.387","9.111","2.748","146.670"
"62","GTLM","Giancarlo Fisichella","3","1:01.474","3:24.866","Green","Track","0.000","0.000","12.318","11.457","14.046","5.408","9.059","2.724","0.000"
"52","PC","Robert Alon","3","55.377","3:25.428","Green","Track","0.451","0.839","10.144","11.882","15.109","5.490","8.842","2.620","153.825"
"85","PC","Stephen Simpson","3","53.440","3:26.322","Green","Track","0.455","0.836","10.111","10.742","13.996","5.680","8.982","2.638","152.473"
"66","GTLM","Joey Hand","3","55.708","3:27.219","Green","Track","0.469","0.844","10.135","11.267","14.681","6.061","9.479","2.772","147.921"
"38","PC","James French","3","53.273","3:27.229","Green","Track","0.453","0.807","9.953","10.750","14.004","5.610","9.034","2.662","153.146"
"23","GTD","Mario Farnbacher","3","55.151","3:29.138","Green","Track","0.486","0.902","10.556","11.147","14.182","5.668","9.415","2.795","142.747"
"6","GTD","Andrew Davis","3","54.427","3:30.172","Green","Track","0.476","0.846","10.116","10.881","14.126","5.625","9.538","2.819","145.746"
"48","GTD","Bryan Sellers","3","1:10.878","3:36.024","Green","Track","0.000","0.000","12.307","16.913","14.762","6.896","10.706","2.854","0.000"
"20","PC","Matthew McMurry","3","51.561","3:36.033","Green","Track","0.448","0.801","9.625","10.423","13.473","5.248","8.894","2.649","154.855"
"540","GTD","Andy Pilgrim","3","54.979","3:37.520","Green","Track","0.487","0.866","10.356","11.037","13.990","5.697","9.709","2.837","142.454"
"96","GTD","Jens Klingmann","3","53.633","3:38.102","Green","Track","0.466","0.829","10.185","10.870","13.773","5.446","9.331","2.733","148.873"
"73","GTD","Jorg Bergmeister","3","1:06.213","3:42.834","Green","Pit","0.468","0.831","10.321","10.870","13.877","5.589","12.409","11.848","148.237"
"16","GTD","Spencer Pumpelly","2","54.857","3:43.139","Green","Track","0.474","0.848","10.671","10.912","14.033","5.570","9.553","2.796","146.361"
"912","GTLM","Earl Bamber","2","1:02.295","3:46.241","Green","Track","0.000","0.000","12.500","11.084","14.637","5.537","9.225","2.761","0.000"
"27","GTD","Cedric Sbirrazzuoli","3","54.495","3:47.111","Green","Track","0.471","0.840","10.080","11.032","13.997","5.692","9.604","2.779","147.293"
"9","GTD","Matt Bell","3","53.587","3:48.710","Green","Track","0.471","0.839","10.028","10.857","13.902","5.475","9.245","2.770","147.293"
"100","GTLM","Lucas Luhr","2","54.314","3:52.476","Green","Track","0.482","0.860","10.291","11.017","14.131","5.474","9.297","2.762","143.932"
"33","GTD","Jeroen Bleekemolen","3","54.039","3:53.604","Green","Track","0.473","0.841","10.248","10.892","13.838","5.475","9.483","2.789","146.670"
"8","PC","Renger van der Zande","3","49.404","3:54.460","Green","Track","0.441","0.790","9.215","10.038","13.113","4.939","8.315","2.553","157.313"
"22","GTD","Cooper MacNeil","4","53.984","4:00.952","Green","Track","0.473","0.843","10.108","10.736","14.028","5.560","9.437","2.799","146.670"
"7","PC","Sean Rayhall","3","54.185","4:06.900","Green","Track","0.442","0.791","9.645","10.189","15.681","5.621","9.166","2.650","156.957"
"44","GTD","John Potter","3","56.346","4:07.134","Green","Track","0.477","0.850","10.587","11.771","14.433","5.722","9.660","2.846","145.440"
"4","GTLM","Tommy Milner","4","52.982","4:07.672","Green","Track","0.462","0.826","10.079","10.303","13.604","5.583","9.383","2.742","150.162"
"3","GTLM","Jan Magnussen","4","53.163","4:12.455","Green","Track","0.470","0.838","10.025","10.790","13.815","5.294","9.180","2.751","147.606"
"67","GTLM","Ryan Briscoe","4","52.515","4:12.616","Green","Track","0.461","0.824","9.881","10.621","13.615","5.338","9.075","2.700","150.488"
"911","GTLM","Patrick Pilet","4","53.912","4:15.544","Green","Track","0.465","0.830","9.717","11.207","14.059","5.622","9.252","2.760","149.194"
"97","GTD","Markus Palttala","4","55.399","4:16.173","Green","Track","0.466","0.830","10.252","11.305","14.129","6.127","9.518","2.772","148.873"
"62","GTLM","Giancarlo Fisichella","4","54.160","4:19.026","Green","Track","0.463","0.826","9.514","10.498","14.846","5.459","9.723","2.831","149.838"
"25","GTLM","Dirk Werner","1","4:19.150","4:19.150","Green","Track","0.000","0.000","14.170","12.478","14.832","5.965","10.868","2.930","0.000"
"85","PC","Stephen Simpson","4","53.463","4:19.785","Green","Track","0.447","0.802","9.781","10.487","13.858","5.716","9.623","2.749","155.201"
"38","PC","James French","4","52.633","4:19.862","Green","Track","0.452","0.809","9.944","10.388","13.677","5.425","9.233","2.705","153.485"
"66","GTLM","Joey Hand","4","53.519","4:20.738","Green","Track","0.465","0.835","10.214","10.655","13.864","5.572","9.197","2.717","149.194"
"88","PC","Mark Kvamme","2","2:04.537","4:22.905","Green","Pit","0.000","0.000","15.359","12.602","20.935","7.341","13.161","48.565","0.000"
"23","GTD","Mario Farnbacher","4","53.938","4:23.076","Green","Track","0.473","0.842","10.058","10.705","13.933","5.510","9.593","2.824","146.670"
