"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SPS"
"3","GTLM","Jan Magnussen","1","1:20.266","2:52.940","Green","Track","0.647","7.208","7.543","11.250","8.012","10.346","11.982","16.121","1.692","5.465","127.512"
"912","GTLM","Earl Bamber","1","1:21.750","2:55.920","Green","Track","0.647","7.145","7.345","11.168","8.062","10.250","12.693","17.260","1.703","5.477","127.512"
"62","GTLM","Giancarlo Fisichella","1","1:20.785","3:06.141","Green","Track","0.649","7.261","7.456","11.462","8.096","10.249","12.214","16.205","1.710","5.483","127.119"
"4","GTLM","Oliver Gavin","1","1:19.297","3:10.310","Green","Track","0.647","7.184","7.379","11.015","8.013","10.183","11.907","15.846","1.673","5.450","127.512"
"66","GTLM","Joey Hand","1","1:21.491","3:16.106","Green","Track","0.641","7.130","7.748","11.517","8.005","10.478","12.130","16.630","1.744","5.468","128.705"
"911","GTLM","Patrick Pilet","1","1:21.719","3:27.264","Green","Track","0.644","7.173","7.615","11.445","8.080","10.245","12.094","17.280","1.679","5.464","128.106"
"3","GTLM","Jan Magnussen","2","1:18.579","4:11.519","Green","Track","0.643","7.178","7.199","10.900","7.888","10.078","11.791","15.761","1.684","5.457","128.305"
"912","GTLM","Earl Bamber","2","1:20.542","4:16.462","Green","Track","0.643","7.121","6.953","12.114","8.355","10.091","12.044","16.024","1.713","5.484","128.305"
"62","GTLM","Giancarlo Fisichella","2","1:19.058","4:25.199","Green","Track","0.643","7.214","7.089","10.895","7.893","10.246","11.837","16.058","1.701","5.482","128.305"
"4","GTLM","Oliver Gavin","2","1:18.288","4:28.598","Green","Track","0.644","7.160","7.088","10.798","7.892","10.020","11.783","15.776","1.673","5.454","128.106"
"66","GTLM","Joey Hand","2","1:19.466","4:35.572","Green","Track","0.639","7.097","7.240","11.070","7.947","10.243","11.881","16.197","1.707","5.445","129.108"
"911","GTLM","Patrick Pilet","2","1:17.941","4:45.205","Green","Track","0.642","7.154","6.909","10.784","7.840","9.994","11.726","15.711","1.700","5.481","128.505"
"25","GTLM","Bill Auberlen","1","1:20.918","5:05.077","Green","Track","0.643","7.164","7.647","11.487","8.141","10.425","11.982","16.200","1.731","5.498","128.305"
"68","GTLM","Alessandro Balzan","1","1:20.246","5:06.480","Green","Track","0.644","7.161","7.466","11.293","7.955","10.285","12.001","16.294","1.702","5.445","128.106"
"3","GTLM","Jan Magnussen","3","1:17.773","5:29.292","Green","Track","0.642","7.144","7.052","10.709","7.864","9.954","11.634","15.608","1.701","5.465","128.505"
"62","GTLM","Giancarlo Fisichella","3","1:19.066","5:44.265","Green","Track","0.642","7.205","7.272","10.892","7.953","10.224","11.796","15.888","1.713","5.481","128.505"
"4","GTLM","Oliver Gavin","3","1:17.624","5:46.222","Green","Track","0.643","7.157","6.940","10.677","7.856","9.923","11.669","15.604","1.699","5.456","128.305"
