"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SPS"
"10","P","Ricky Taylor","1","1:18.902","1:19.208","Green","Track","0.603","6.766","7.753","11.166","7.930","9.982","11.518","16.450","1.620","5.114","136.816"
"70","P","Tom Long","1","1:19.031","1:19.938","Green","Track","0.591","6.683","7.769","11.327","7.767","10.052","11.526","16.554","1.684","5.078","139.594"
"5","P","Christian Fittipaldi","1","1:20.420","1:20.421","Green","Track","0.619","6.901","8.630","11.627","7.940","10.292","11.572","16.176","1.594","5.069","133.279"
"31","P","Eric Curran","1","1:20.045","1:21.960","Green","Track","0.604","6.775","7.641","11.474","7.900","10.171","11.525","17.256","1.608","5.091","136.589"
"0","P","Andy Meyrick","1","1:20.208","1:22.593","Green","Track","0.591","6.719","7.910","11.441","8.108","10.231","11.658","16.886","1.599","5.065","139.594"
"90","P","Marc Goossens","1","1:19.784","1:23.357","Green","Track","0.601","6.705","7.576","11.301","7.855","10.282","11.614","17.041","1.668","5.141","137.271"
"60","P","John Pew","1","1:20.751","1:25.397","Green","Track","0.604","6.830","7.845","11.774","7.999","10.252","11.704","16.968","1.643","5.132","136.589"
"55","P","Tristan Nunez","1","1:20.382","1:25.869","Green","Track","0.595","6.711","7.416","11.769","7.965","10.369","11.490","17.353","1.668","5.046","138.655"
"85","PC","Misha Goikhberg","1","1:21.504","1:27.379","Green","Track","0.619","6.939","7.821","11.685","7.990","10.561","11.815","17.071","1.710","5.293","133.279"
"8","PC","Alex Popow","1","1:21.407","1:28.020","Green","Track","0.622","6.925","7.812","11.539","8.091","10.572","11.945","16.921","1.708","5.272","132.637"
"20","PC","Tomy Drissi","1","1:22.477","1:29.858","Green","Track","0.614","6.936","8.185","11.956","8.246","10.392","12.150","17.024","1.704","5.270","134.365"
"54","PC","Jonathan Bennett","1","1:22.229","1:32.307","Green","Track","0.613","6.854","7.851","11.748","8.213","10.577","12.024","17.335","1.716","5.298","134.584"
"38","PC","James French","1","1:21.655","1:32.688","Green","Track","0.609","6.858","7.693","11.677","8.083","10.686","12.141","17.106","1.635","5.167","135.468"
"52","PC","Robert Alon","1","1:21.522","1:34.260","Green","Track","0.612","6.850","7.909","11.521","8.157","10.594","11.896","17.023","1.701","5.259","134.804"
"88","PC","Mark Kvamme","1","1:25.234","1:42.907","Green","Track","0.630","7.154","7.877","12.445","8.402","11.015","12.458","18.114","1.777","5.362","130.952"
"25","GTLM","Bill Auberlen","1","1:22.288","2:15.037","Green","Track","0.656","7.227","7.940","11.534","8.323","10.507","12.310","16.529","1.736","5.526","125.762"
"912","GTLM","Earl Bamber","1","1:22.509","2:15.393","Green","Track","0.653","7.237","7.995","11.757","8.139","10.488","12.203","16.807","1.717","5.513","126.340"
