"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"60","P","Oswaldo Negri","1","1:35.116","1:45.355","Green","Track","2.645","0.000","0.000","27.314","20.352","14.778","8.391","10.289","0.000"
"70","P","Tom Long","1","1:44.013","1:52.269","Green","Track","3.234","4.161","7.714","30.363","22.140","16.371","9.211","10.819","15.949"
"4","GTLM","Oliver Gavin","1","1:40.468","1:59.984","Green","Track","2.405","0.000","0.000","29.655","22.023","15.695","9.038","11.030","0.000"
"90","P","Marc Goossens","1","1:48.699","2:00.599","Green","Track","5.456","1.002","8.546","31.700","23.292","16.965","10.468","11.270","66.231"
"3","GTLM","Jan Magnussen","1","1:40.842","2:03.215","Green","Track","2.402","0.000","0.000","29.915","21.745","15.447","9.040","11.036","0.000"
"68","GTLM","Daniel Serra","1","1:40.717","2:04.183","Green","Track","2.457","0.000","0.000","29.645","21.608","15.652","9.096","11.022","0.000"
"25","GTLM","Bill Auberlen","1","1:40.337","2:04.777","Green","Track","5.329","0.000","0.000","29.320","21.471","15.831","8.995","11.067","0.000"
"100","GTLM","John Edwards","1","1:40.834","2:06.319","Green","Track","5.286","0.928","7.227","28.749","21.464","15.998","10.081","11.101","71.513"
"912","GTLM","Frederic Makowiecki","1","1:40.490","2:07.435","Green","Track","2.465","0.000","0.000","28.725","21.457","15.665","9.419","11.105","0.000"
"911","GTLM","Patrick Pilet","1","1:39.915","2:07.968","Green","Track","2.453","3.475","7.779","28.713","21.399","15.684","9.338","11.074","19.097"
"62","GTLM","Giancarlo Fisichella","1","1:38.576","2:09.950","Green","Track","4.949","0.908","7.285","28.841","21.989","15.305","8.597","10.702","73.088"
"0","P","Katherine Legge","1","1:44.454","2:14.405","Green","Track","2.494","0.000","0.000","29.190","22.358","18.505","9.720","10.884","0.000"
"66","GTLM","Dirk Muller","1","1:40.819","2:15.133","Green","Track","2.421","0.000","0.000","29.264","21.807","15.564","9.355","11.143","0.000"
"67","GTLM","Ryan Briscoe","1","1:43.078","2:16.345","Green","Track","2.398","0.000","0.000","29.743","22.597","16.424","9.442","11.101","0.000"
"60","P","Oswaldo Negri","2","1:22.573","3:07.928","Green","Track","1.624","0.466","3.889","24.629","19.210","14.414","8.224","10.117","142.411"
"5","P","Christian Fittipaldi","1","1:27.251","3:09.960","Green","Track","1.648","0.478","4.352","26.295","20.618","15.032","8.497","10.331","138.836"
"31","P","Eric Curran","1","1:26.005","3:16.125","Green","Track","1.631","0.467","4.148","26.199","19.562","15.040","8.552","10.406","142.106"
"10","P","Jordan Taylor","1","1:27.360","3:18.436","Green","Track","1.783","0.511","4.528","26.845","19.938","14.603","8.471","10.681","129.870"
"70","P","Tom Long","2","1:28.007","3:20.276","Green","Track","1.624","0.466","4.376","27.064","20.366","15.136","8.264","10.711","142.411"
"4","GTLM","Oliver Gavin","2","1:27.034","3:27.018","Green","Track","1.766","0.507","4.279","26.431","20.089","14.662","8.550","10.750","130.895"
"3","GTLM","Jan Magnussen","2","1:27.383","3:30.598","Green","Track","1.772","0.505","4.164","26.494","20.384","14.664","8.517","10.883","131.413"
"68","GTLM","Daniel Serra","2","1:27.642","3:31.825","Green","Track","1.750","0.495","4.147","26.212","20.176","14.617","8.947","11.298","134.068"
"25","GTLM","Bill Auberlen","2","1:27.824","3:32.601","Green","Track","1.739","0.492","4.188","26.418","20.142","15.089","8.733","11.023","134.885"
"100","GTLM","John Edwards","2","1:26.701","3:33.020","Green","Track","1.751","0.496","4.227","26.098","19.946","14.774","8.607","10.802","133.798"
"912","GTLM","Frederic Makowiecki","2","1:27.267","3:34.702","Green","Track","1.761","0.498","4.125","26.080","20.356","14.977","8.770","10.700","133.260"
"62","GTLM","Giancarlo Fisichella","2","1:25.990","3:35.940","Green","Track","1.743","0.499","3.998","25.524","19.867","14.837","8.622","10.900","132.993"
