"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"16","GTD","C.Lewis/Pumpelly ","1","1:45.730","1:55.379","Green","Track","3.115","3.974","10.168","30.234","22.073","15.914","9.198","11.054","16.699"
"96","GTD","Curtis/Klingmann ","1","1:42.869","1:55.758","Green","Track","5.760","1.030","8.290","29.873","21.798","15.809","9.192","11.117","64.431"
"11","GTD","Sweedler/Bell ","1","1:47.750","2:02.652","Green","Track","2.685","0.000","0.000","31.749","21.995","16.171","9.272","11.190","0.000"
"007","GTD","Davison/Davis ","1","1:49.592","2:09.834","Green","Track","5.450","1.074","9.244","32.336","23.260","16.676","9.884","11.668","61.791"
"44","GTD","Potter/Lally ","1","1:53.872","2:10.159","Green","Track","2.544","0.000","0.000","33.203","23.464","17.379","10.636","11.891","0.000"
"63","GTD","Nielsen/Balzan ","1","1:52.198","2:11.458","Green","Track","5.624","0.995","8.974","32.870","24.777","17.289","10.102","11.567","66.697"
"52","PC","Alon/Kimber-Smith ","1","1:40.919","2:13.414","Green","Track","2.450","0.000","0.000","29.575","21.358","15.393","9.096","10.566","0.000"
"85","PC","Goikhberg/Simpson ","1","1:48.143","2:16.410","Green","Track","2.450","0.000","0.000","31.339","21.976","16.072","9.412","11.117","0.000"
"33","GTD","Keating/J.Bleekemolen ","1","1:43.930","2:22.837","Green","Track","5.707","1.056","7.321","30.387","22.529","16.436","9.317","11.177","62.844"
"23","GTD","M.Farnbacher/Riberas ","1","1:43.062","2:23.378","Green","Track","2.424","3.648","7.483","30.432","22.433","16.233","9.276","11.133","18.192"
"22","GTD","C.MacNeil/L.Keen ","1","1:44.105","2:25.584","Green","Track","2.440","3.693","7.678","30.517","22.759","16.632","9.264","11.122","17.970"
"48","GTD","Sellers/Ma.Snow ","1","1:45.538","2:27.696","Green","Track","5.722","0.000","0.000","31.060","22.315","16.591","9.580","11.353","0.000"
"80","GTD","Knox/Skeen ","1","1:43.891","2:28.710","Green","Track","2.422","4.691","9.283","29.969","21.499","15.889","9.177","10.961","14.147"
"6","GTD","Liddell/Davis ","1","1:50.251","2:33.349","Green","Track","2.567","0.000","0.000","31.749","24.118","16.948","9.796","11.483","0.000"
"540","GTD","Pappas/Catsburg ","1","2:09.986","2:33.821","Green","Pit","2.459","4.183","8.990","36.214","24.022","18.579","12.275","23.264","15.865"
"9","GTD","Aschenbach/M.Bell ","1","1:50.116","2:34.040","Green","Track","2.478","0.000","0.000","31.304","23.916","17.171","9.917","11.501","0.000"
"27","GTD","DeGeorge/Sbirrazzuoli ","1","1:47.672","2:34.951","Green","Track","2.507","0.000","0.000","31.261","22.706","16.752","9.774","11.681","0.000"
"54","PC","Bennett/Braun ","1","1:42.173","3:07.996","Green","Track","2.454","0.000","0.000","29.938","22.023","16.577","9.467","11.020","0.000"
"73","GTD","Jorg Bergmeister","1","1:26.490","3:11.991","Green","Track","1.750","0.499","4.056","26.267","20.107","14.399","8.675","10.737","132.993"
"8","PC","Van DerZande/Popow ","1","1:41.146","3:19.150","Green","Track","5.451","0.980","7.792","29.453","21.781","15.576","9.182","10.931","67.718"
"38","PC","Kyle Marcelli","1","1:28.562","3:19.915","Green","Track","1.634","0.471","4.219","26.878","20.575","15.462","8.748","10.575","140.899"
"88","PC","Ashley Freiberg","1","1:30.030","3:20.711","Green","Track","1.641","0.469","4.380","27.159","20.638","15.914","9.154","10.675","141.500"
"97","GTD","Markus Palttala","1","1:28.406","3:21.764","Green","Track","1.728","0.495","4.014","26.817","20.557","14.927","8.873","10.995","134.068"
"16","GTD","C.Lewis/Pumpelly ","2","1:28.304","3:23.683","Green","Track","1.755","0.499","4.149","26.766","20.530","14.797","8.847","10.961","132.993"
"96","GTD","Curtis/Klingmann ","2","1:28.256","3:24.014","Green","Track","1.717","0.492","4.101","26.746","20.545","14.978","8.749","10.928","134.885"
"11","GTD","Sweedler/Bell ","2","1:28.186","3:30.838","Green","Track","1.761","0.503","4.126","26.645","20.401","14.943","8.914","10.893","131.936"
"007","GTD","Brandon Davis","2","1:30.489","3:40.323","Green","Track","1.760","0.500","4.425","27.627","20.672","15.439","9.093","10.973","132.727"
"52","PC","Tom Kimber-Smith","2","1:26.925","3:40.339","Green","Track","1.650","0.470","4.344","26.244","20.058","14.820","8.789","10.550","141.199"
"44","GTD","John Potter","2","1:34.013","3:44.172","Green","Track","1.777","0.504","4.650","28.466","21.873","15.964","9.490","11.289","131.674"
"85","PC","Misha Goikhberg","2","1:29.121","3:45.531","Green","Track","1.660","0.472","4.607","26.715","20.422","15.185","8.742","11.318","140.601"
"63","GTD","Alessandro Balzan","2","1:34.450","3:45.908","Green","Track","1.733","0.493","4.766","28.776","21.879","15.814","9.325","11.664","134.612"
"33","GTD","Jeroen Bleekemolen","2","1:28.481","3:51.318","Green","Track","1.738","0.497","4.103","26.964","20.296","15.074","8.990","10.819","133.528"
"23","GTD","Mario Farnbacher","2","1:28.337","3:51.715","Green","Track","1.752","0.499","4.193","26.687","20.496","15.018","8.826","10.866","132.993"
"22","GTD","Leh Keen","2","1:29.284","3:54.868","Green","Track","1.758","0.502","4.145","26.518","20.769","14.974","8.863","11.755","132.198"
"80","GTD","Mike Skeen","2","1:29.026","3:57.736","Green","Track","1.730","0.491","4.222","27.052","20.675","15.128","8.855","10.873","135.160"
"48","GTD","Madison Snow","2","1:31.181","3:58.877","Green","Track","1.775","0.504","4.283","27.579","21.589","15.409","9.021","11.021","131.674"
"6","GTD","Andrew Davis","2","1:30.438","4:03.787","Green","Track","1.791","0.505","4.309","27.532","20.993","15.394","8.871","11.043","131.413"
"27","GTD","Cedric Sbirrazzuoli","2","1:32.147","4:07.098","Green","Track","1.776","0.508","4.309","27.486","20.898","15.918","10.153","11.099","130.637"
"540","GTD","Timothy Pappas","2","1:40.032","4:13.853","Green","Track","2.436","3.200","6.658","28.803","22.234","16.162","9.383","11.156","20.739"
"54","PC","Jonathan Bennett","2","1:28.213","4:36.209","Green","Track","1.646","0.470","4.024","27.153","20.417","15.086","8.788","10.629","141.199"
"73","GTD","Jorg Bergmeister","2","1:26.267","4:38.258","Green","Track","1.742","0.496","3.930","26.180","20.079","14.440","8.649","10.751","133.798"
"8","PC","Renger Van DerZande","2","1:24.843","4:43.993","Green","Track","1.676","0.476","4.155","25.815","19.507","14.272","8.442","10.500","139.419"
"38","PC","Kyle Marcelli","2","1:24.632","4:44.547","Green","Track","1.636","0.470","4.039","25.492","19.590","14.504","8.404","10.497","141.199"
"88","PC","Ashley Freiberg","2","1:25.803","4:46.514","Green","Track","1.631","0.465","4.083","26.102","19.838","14.834","8.480","10.370","142.717"
"20","PC","Matthew McMurry","1","3:40.720","4:47.180","Green","Pit","5.411","1.202","7.648","32.554","25.088","17.560","12.935","118.322","55.211"
"97","GTD","Markus Palttala","2","1:27.227","4:48.991","Green","Track","1.720","0.494","3.961","26.354","20.200","14.756","8.782","10.960","134.339"
"96","GTD","Jens Klingmann","3","1:26.579","4:50.593","Green","Track","1.719","0.491","4.030","26.370","19.957","14.525","8.612","10.875","135.160"
"16","GTD","Spencer Pumpelly","3","1:28.877","4:52.560","Green","Track","1.753","0.498","4.134","27.520","20.458","14.800","8.852","10.862","133.260"
"9","GTD","Lawson Aschenbach","2","2:19.932","4:53.972","Green","Pit","1.784","0.503","4.292","27.372","20.921","15.446","10.450","59.164","131.936"
"11","GTD","Townsend Bell","3","1:27.662","4:58.500","Green","Track","1.747","0.502","4.050","26.381","20.253","14.915","8.792","11.022","132.198"
"52","PC","Tom Kimber-Smith","3","1:22.449","5:02.788","Green","Track","1.649","0.472","4.087","24.731","19.076","13.899","8.221","10.314","140.601"
"007","GTD","Brandon Davis","3","1:29.486","5:09.809","Green","Track","1.748","0.497","4.413","26.980","20.442","15.393","9.068","10.945","133.528"
"85","PC","Misha Goikhberg","3","1:26.787","5:12.318","Green","Track","1.671","0.475","4.300","26.061","20.612","14.655","8.493","10.520","139.713"
"44","GTD","John Potter","3","1:30.694","5:14.866","Green","Track","1.783","0.505","4.275","27.155","21.618","15.199","9.097","11.062","131.413"
"63","GTD","Alessandro Balzan","3","1:30.923","5:16.831","Green","Track","1.727","0.492","4.312","26.948","20.660","16.347","9.229","11.208","134.885"
"23","GTD","Mario Farnbacher","3","1:27.502","5:19.217","Green","Track","1.741","0.497","4.072","26.320","20.518","14.785","8.707","10.862","133.528"
"33","GTD","Jeroen Bleekemolen","3","1:30.522","5:21.840","Green","Track","1.719","0.493","3.925","26.276","20.341","14.911","11.519","11.338","134.612"
"22","GTD","Leh Keen","3","1:28.483","5:23.351","Green","Track","1.763","0.503","4.078","26.664","20.594","14.997","8.869","11.015","131.936"
"80","GTD","Mike Skeen","3","1:27.975","5:25.711","Green","Track","1.724","0.491","4.132","26.621","20.374","14.896","8.882","10.855","135.160"
"48","GTD","Madison Snow","3","1:28.744","5:27.621","Green","Track","1.756","0.499","4.172","26.642","20.865","14.918","8.923","10.969","132.993"
