"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SPS"
"44","GTD","John Potter","1","1:49.889","1:54.822","Green","Track","2.369","0.000","0.000","30.244","23.782","18.711","10.169","0.000","0.000","0.000","0.000"
"63","GTD","Christina Nielsen","1","1:45.566","1:55.287","Green","Track","5.450","1.007","7.262","31.004","23.123","17.100","9.379","0.000","0.000","0.000","65.902"
"33","GTD","Ben Keating","1","1:44.256","2:00.669","Green","Track","2.438","4.081","7.385","30.299","22.544","16.454","9.694","0.000","0.000","0.000","16.262"
"97","GTD","Michael Marsal","1","1:44.792","2:03.841","Green","Track","2.467","4.096","7.802","31.123","22.441","16.335","9.290","0.000","0.000","0.000","16.202"
"23","GTD","Alex Riberas","1","1:59.276","2:19.630","Green","Track","2.765","5.517","11.454","38.061","22.565","17.420","10.219","11.275","0.000","0.000","12.029"
"6","GTD","Andrew Davis","1","1:55.744","2:20.875","Green","Track","2.518","0.000","0.000","35.499","22.336","17.604","10.571","11.293","0.000","0.000","0.000"
"96","GTD","Bret Curtis","1","2:00.227","2:22.390","Green","Track","2.467","5.349","11.474","38.303","23.565","16.991","10.494","0.000","0.000","0.000","12.407"
"11","GTD","Bill Sweedler","1","2:01.969","2:25.651","Green","Track","2.490","0.000","0.000","37.714","24.657","17.781","10.405","0.000","0.000","0.000","0.000"
"22","GTD","Cooper MacNeil","1","1:41.119","2:32.844","Green","Track","2.424","3.370","6.735","28.902","21.937","15.470","10.484","0.000","0.000","0.000","19.692"
"007","GTD","Brandon Davis","1","2:09.411","2:39.977","Green","Track","5.977","0.000","0.000","44.189","24.734","22.171","10.932","0.000","0.000","0.000","0.000"
"80","GTD","Dan Knox","1","2:05.515","2:42.062","Green","Track","2.457","4.206","9.308","42.273","24.708","19.428","11.599","0.000","0.000","0.000","15.778"
"27","GTD","Cedric Sbirrazzuoli","1","1:43.597","2:42.805","Green","Track","2.503","0.000","0.000","29.416","22.364","17.615","10.137","11.599","0.000","0.000","0.000"
"9","GTD","Matt Bell","1","1:52.050","2:44.510","Green","Track","2.544","0.000","0.000","31.869","24.906","18.587","12.081","0.000","0.000","0.000","0.000"
"48","GTD","Madison Snow","1","1:46.744","2:49.702","Green","Track","2.722","0.000","0.000","29.342","21.858","16.315","12.669","11.347","0.000","0.000","0.000"
"16","GTD","Corey Lewis","1","1:39.526","2:52.283","Green","Track","2.495","0.000","0.000","29.144","21.680","16.020","9.298","0.000","0.000","0.000","0.000"
"540","GTD","Timothy Pappas","1","1:50.408","3:08.113","Green","Track","2.457","4.110","8.969","32.950","23.547","16.970","10.100","11.305","0.000","0.000","16.147"
"73","GTD","Patrick Lindsey","1","1:43.134","3:16.315","Green","Track","2.469","0.000","0.000","30.863","21.944","16.317","9.856","11.417","0.000","0.000","0.000"
"63","GTD","Christina Nielsen","2","1:32.094","3:27.381","Green","Track","1.759","0.501","4.469","28.072","21.635","15.785","8.910","10.963","0.000","0.000","132.462"
"44","GTD","John Potter","2","1:35.804","3:30.626","Green","Track","1.811","0.512","4.474","29.140","22.254","16.553","9.766","11.294","0.000","0.000","129.616"
"33","GTD","Ben Keating","2","1:33.285","3:33.954","Green","Track","1.747","0.499","4.081","27.824","21.035","16.884","10.117","11.098","0.000","0.000","132.993"
"97","GTD","Michael Marsal","2","1:31.779","3:35.620","Green","Track","1.746","0.501","4.236","27.704","21.011","15.671","9.577","0.000","0.000","0.000","132.462"
"23","GTD","Alex Riberas","2","1:28.071","3:47.701","Green","Track","1.794","0.513","4.285","26.795","20.308","14.748","8.819","10.809","0.000","0.000","129.364"
"6","GTD","Andrew Davis","2","1:29.835","3:50.710","Green","Track","1.790","0.507","4.136","27.243","20.921","15.009","8.922","11.307","0.000","0.000","130.895"
"96","GTD","Bret Curtis","2","1:31.885","3:54.275","Green","Track","1.762","0.505","4.082","27.857","21.231","15.758","9.361","0.000","0.000","0.000","131.413"
"11","GTD","Bill Sweedler","2","1:33.679","3:59.330","Green","Track","1.831","0.522","4.548","29.036","21.165","16.048","9.304","0.000","0.000","0.000","127.133"
"007","GTD","Brandon Davis","2","1:31.058","4:11.035","Green","Track","1.773","0.506","4.164","27.513","20.740","15.904","9.282","0.000","0.000","0.000","131.153"
"27","GTD","Cedric Sbirrazzuoli","2","1:31.848","4:14.653","Green","Track","1.784","0.509","4.359","28.282","21.245","15.379","9.098","0.000","0.000","0.000","130.380"
"9","GTD","Matt Bell","2","1:31.660","4:16.170","Green","Track","1.794","0.506","4.120","28.031","21.176","15.555","9.136","0.000","0.000","0.000","131.153"
"22","GTD","Cooper MacNeil","2","1:43.968","4:16.812","Green","Track","1.768","0.507","4.192","28.169","21.286","15.191","8.825","24.030","0.000","0.000","130.895"
"80","GTD","Dan Knox","2","1:36.675","4:18.737","Green","Track","1.758","0.503","4.517","30.983","21.659","16.621","9.278","11.356","0.000","0.000","131.936"
"48","GTD","Madison Snow","2","1:34.657","4:24.359","Green","Track","1.791","0.508","4.129","27.395","20.734","16.303","12.625","0.000","0.000","0.000","130.637"
"16","GTD","Corey Lewis","2","1:34.688","4:26.971","Green","Track","1.767","0.501","4.067","27.428","20.690","15.915","12.990","0.000","0.000","0.000","132.462"
"540","GTD","Timothy Pappas","2","1:30.433","4:38.546","Green","Track","1.771","0.504","4.323","27.117","20.654","15.642","9.220","11.202","0.000","0.000","131.674"
"73","GTD","Patrick Lindsey","2","1:30.300","4:46.615","Green","Track","1.800","0.510","4.408","27.198","20.965","15.540","8.897","10.982","0.000","0.000","130.125"
"63","GTD","Christina Nielsen","3","1:30.981","4:58.362","Green","Track","1.754","0.498","4.919","27.732","20.765","15.517","8.803","10.993","0.000","0.000","133.260"
