"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"55","P","Tristan Nunez","1","1:20.379","1:23.527","Green","Track","1.645","0.469","3.814","24.134","18.398","13.655","7.993","10.271","141.500"
"70","P","Tom Long","1","1:21.666","1:24.917","Green","Track","1.654","0.470","3.949","24.868","18.681","13.905","7.981","10.158","141.199"
"5","P","Christian Fittipaldi","1","1:23.300","1:26.913","Green","Track","1.646","0.474","3.980","25.328","19.006","14.176","8.148","10.542","140.008"
"10","P","Ricky Taylor","1","1:23.859","1:27.379","Green","Track","1.763","0.495","4.193","25.653","18.966","14.301","8.097","10.391","134.068"
"31","P","Dane Cameron","1","1:24.774","1:28.224","Green","Track","1.659","0.471","4.010","25.647","19.150","14.942","8.392","10.503","140.899"
"0","P","Sean Rayhall","1","1:24.714","1:28.446","Green","Track","1.677","0.480","4.260","25.867","19.149","14.518","8.462","10.301","138.258"
"60","P","John Pew","1","1:25.284","1:29.631","Green","Track","1.685","0.488","4.512","25.563","19.441","14.766","8.451","10.378","135.991"
"68","GTLM","Daniel Serra","1","1:27.074","1:45.171","Green","Track","1.780","0.501","4.228","26.329","20.218","14.586","8.624","10.808","132.462"
"67","GTLM","Ryan Briscoe","1","1:27.764","1:45.952","Green","Track","1.793","0.517","4.454","26.600","20.276","14.637","8.634","10.853","128.363"
"66","GTLM","Dirk Muller","1","1:27.989","1:46.356","Green","Track","1.757","0.501","4.515","26.936","20.044","14.756","8.672","10.808","132.462"
"62","GTLM","Toni Vilander","1","1:28.800","1:47.411","Green","Track","1.741","0.494","4.435","27.449","20.154","14.928","8.474","11.125","134.339"
"4","GTLM","Tommy Milner","1","1:29.889","1:48.301","Green","Track","1.759","0.499","4.231","27.459","20.341","14.810","8.653","12.137","132.993"
"3","GTLM","Jan Magnussen","1","1:29.710","1:48.579","Green","Track","1.754","0.497","4.595","27.660","20.416","15.173","8.676","10.939","133.528"
"912","GTLM","Earl Bamber","1","1:29.744","1:49.269","Green","Track","1.757","0.495","4.322","27.527","20.331","15.554","8.838","10.920","134.068"
"25","GTLM","Dirk Werner","1","1:30.125","1:49.558","Green","Track","1.736","0.491","4.357","27.879","20.478","15.270","8.883","11.031","135.160"
"100","GTLM","Lucas Luhr","1","1:29.362","1:49.882","Green","Track","1.752","0.495","4.228","27.090","20.723","15.125","8.834","11.115","134.068"
"911","GTLM","Nick Tandy","1","1:30.060","1:50.036","Green","Track","1.739","0.495","4.173","27.362","21.665","14.873","8.911","10.842","134.068"
"90","P","Ryan Dalziel","1","1:34.425","1:57.218","Green","Track","126.335","3.350","7.020","27.319","20.679","15.040","8.542","10.433","19.810"
"55","P","Tristan Nunez","2","1:19.906","2:43.433","Green","Track","1.602","0.461","3.783","24.245","18.259","13.471","7.843","10.242","143.956"
"70","P","Tom Long","2","1:19.915","2:44.832","Green","Track","1.597","0.460","3.784","24.153","18.344","13.561","7.871","10.145","144.269"
"5","P","Christian Fittipaldi","2","1:21.871","2:48.784","Green","Track","1.639","0.468","3.876","24.672","18.786","13.835","8.069","10.526","141.803"
"10","P","Ricky Taylor","2","1:21.819","2:49.198","Green","Track","1.632","0.467","3.924","24.688","18.789","13.898","8.117","10.304","142.106"
"31","P","Dane Cameron","2","1:21.765","2:49.989","Green","Track","1.617","0.465","3.819","24.660","18.639","14.026","8.138","10.401","142.717"
"0","P","Sean Rayhall","2","1:22.115","2:50.561","Green","Track","1.580","0.458","3.846","25.085","18.648","14.068","8.308","10.122","144.899"
"60","P","John Pew","2","1:22.873","2:52.504","Green","Track","1.617","0.463","4.003","24.753","18.945","14.199","8.424","10.469","143.334"
"68","GTLM","Daniel Serra","2","1:25.748","3:10.919","Green","Track","1.757","0.495","4.119","25.886","19.928","14.431","8.450","10.682","134.068"
"67","GTLM","Ryan Briscoe","2","1:25.477","3:11.429","Green","Track","1.761","0.501","4.158","25.605","19.834","14.375","8.543","10.700","132.462"
"66","GTLM","Dirk Muller","2","1:25.619","3:11.975","Green","Track","1.748","0.498","4.221","25.754","19.786","14.395","8.570","10.647","133.260"
"62","GTLM","Toni Vilander","2","1:25.468","3:12.879","Green","Track","1.762","0.501","4.090","25.760","19.847","14.343","8.415","10.750","132.462"
"4","GTLM","Tommy Milner","2","1:25.212","3:13.513","Green","Track","1.810","0.514","4.279","25.794","19.652","14.090","8.488","10.585","129.112"
"3","GTLM","Jan Magnussen","2","1:26.191","3:14.770","Green","Track","1.763","0.502","4.323","25.987","19.910","14.471","8.531","10.704","132.198"
"912","GTLM","Earl Bamber","2","1:26.114","3:15.383","Green","Track","1.740","0.491","4.194","25.833","19.785","14.846","8.586","10.639","135.160"
"25","GTLM","Dirk Werner","2","1:26.311","3:15.869","Green","Track","1.730","0.489","4.141","26.159","19.786","14.494","8.717","10.795","135.713"
"911","GTLM","Nick Tandy","2","1:26.433","3:16.469","Green","Track","1.728","0.491","4.081","26.400","19.812","14.418","8.738","10.765","135.160"
"100","GTLM","Lucas Luhr","2","1:26.957","3:16.839","Green","Track","1.732","0.491","4.156","26.712","19.849","14.663","8.514","10.840","135.160"
"90","P","Ryan Dalziel","2","1:36.088","3:33.306","Green","Pit","1.631","0.467","3.877","24.777","19.259","14.236","9.891","21.950","142.106"
"55","P","Tristan Nunez","3","1:19.872","4:03.305","Green","Track","1.599","0.460","3.771","24.106","18.373","13.475","7.953","10.135","144.269"
"70","P","Tom Long","3","1:20.007","4:04.839","Green","Track","1.590","0.460","3.743","24.238","18.482","13.583","7.835","10.076","144.269"
"5","P","Christian Fittipaldi","3","1:21.165","4:09.949","Green","Track","1.633","0.469","3.789","24.378","18.642","13.896","7.998","10.360","141.500"
"10","P","Ricky Taylor","3","1:21.546","4:10.744","Green","Track","1.622","0.465","3.851","24.583","18.726","14.009","8.040","10.250","142.717"
"31","P","Dane Cameron","3","1:21.575","4:11.564","Green","Track","1.620","0.464","3.787","24.399","18.826","13.999","8.150","10.330","143.025"
"0","P","Sean Rayhall","3","1:22.389","4:12.950","Green","Track","1.576","0.454","3.815","25.283","18.762","14.131","8.263","10.105","146.175"
"60","P","John Pew","3","1:22.374","4:14.878","Green","Track","1.615","0.463","3.970","24.530","18.736","14.428","8.255","10.377","143.334"
"68","GTLM","Daniel Serra","3","1:24.900","4:35.819","Green","Track","1.748","0.496","4.057","25.655","19.667","14.279","8.406","10.592","133.798"
"67","GTLM","Ryan Briscoe","3","1:25.014","4:36.443","Green","Track","1.749","0.497","4.183","25.423","19.743","14.279","8.499","10.641","133.528"
"66","GTLM","Dirk Muller","3","1:24.973","4:36.948","Green","Track","1.748","0.496","4.169","25.629","19.493","14.254","8.566","10.618","133.798"
"62","GTLM","Toni Vilander","3","1:24.802","4:37.681","Green","Track","1.751","0.498","4.104","25.525","19.639","14.257","8.405","10.623","133.260"
"4","GTLM","Tommy Milner","3","1:24.590","4:38.103","Green","Track","1.744","0.497","4.095","25.446","19.464","14.249","8.525","10.570","133.528"
"3","GTLM","Jan Magnussen","3","1:25.132","4:39.902","Green","Track","1.742","0.495","4.026","25.633","19.755","14.348","8.485","10.648","134.068"
"912","GTLM","Earl Bamber","3","1:25.170","4:40.553","Green","Track","1.741","0.493","4.038","25.426","19.760","14.493","8.564","10.655","134.612"
"25","GTLM","Dirk Werner","3","1:25.341","4:41.210","Green","Track","1.736","0.491","4.083","25.779","19.654","14.336","8.514","10.748","135.160"
"911","GTLM","Nick Tandy","3","1:25.238","4:41.707","Green","Track","1.740","0.495","4.031","25.598","19.662","14.408","8.711","10.593","134.068"
"100","GTLM","Lucas Luhr","3","1:25.402","4:42.241","Green","Track","1.742","0.492","4.045","25.672","19.671","14.442","8.490","10.848","134.885"
"90","P","Ryan Dalziel","3","1:26.708","5:00.014","Green","Track","2.434","3.224","5.428","24.278","18.841","14.193","8.129","10.181","20.584"
"55","P","Tristan Nunez","4","1:19.328","5:22.633","Green","Track","1.596","0.458","3.759","23.865","18.145","13.497","7.896","10.112","144.899"
"70","P","Tom Long","4","1:19.499","5:24.338","Green","Track","1.590","0.458","3.722","24.001","18.346","13.564","7.708","10.110","144.899"
"5","P","Christian Fittipaldi","4","1:21.077","5:31.026","Green","Track","1.624","0.463","3.762","24.420","18.606","13.901","7.977","10.324","143.334"
"10","P","Ricky Taylor","4","1:21.145","5:31.889","Green","Track","1.621","0.463","3.831","24.543","18.599","13.808","8.043","10.237","143.334"
