"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"52","PC","Robert Alon","1","1:26.037","1:30.300","Green","Track","1.735","0.491","4.305","26.227","19.546","14.379","8.578","10.776","135.160"
"8","PC","Alex Popow","1","1:25.966","1:30.582","Green","Track","1.740","0.491","4.218","26.366","19.551","14.442","8.582","10.576","135.160"
"38","PC","James French","1","1:26.981","1:31.519","Green","Track","1.757","0.496","4.319","26.702","19.861","14.571","8.635","10.640","133.798"
"85","PC","Misha Goikhberg","1","1:27.408","1:32.143","Green","Track","1.760","0.506","4.472","26.767","20.249","14.416","8.669","10.569","131.153"
"20","PC","Matthew McMurry","1","1:28.568","1:33.219","Green","Track","1.754","0.497","4.327","28.135","19.942","14.583","8.710","10.620","133.528"
"88","PC","Mark Kvamme","1","1:31.978","1:37.204","Green","Track","1.783","0.501","4.563","28.587","21.145","15.466","9.165","10.768","132.462"
"23","GTD","Alex Riberas","1","1:27.938","2:09.141","Green","Track","1.798","0.514","4.284","26.468","20.318","14.662","8.887","11.007","129.112"
"63","GTD","Christina Nielsen","1","1:29.198","2:10.378","Green","Track","1.797","0.509","4.405","27.240","20.495","14.906","8.881","10.965","130.380"
"007","GTD","Brandon Davis","1","1:30.021","2:11.463","Green","Track","1.790","0.507","4.364","27.498","20.783","15.019","8.991","11.069","130.895"
"6","GTD","Andrew Davis","1","1:30.367","2:12.150","Green","Track","1.811","0.509","4.306","27.699","20.840","15.086","9.107","11.009","130.380"
"96","GTD","Bret Curtis","1","1:31.288","2:13.212","Green","Track","1.781","0.510","4.400","28.094","21.088","15.151","9.073","11.191","130.125"
"16","GTD","Corey Lewis","1","1:31.350","2:13.507","Green","Track","1.792","0.509","4.452","28.180","20.944","15.282","8.829","11.362","130.380"
"48","GTD","Madison Snow","1","1:31.403","2:14.034","Green","Track","1.796","0.509","4.402","28.156","21.018","15.306","9.062","11.154","130.380"
"540","GTD","Timothy Pappas","1","1:31.905","2:14.504","Green","Track","1.802","0.510","4.349","28.459","21.381","15.195","9.141","11.068","130.125"
"9","GTD","Matt Bell","1","1:31.705","2:14.948","Green","Track","1.807","0.510","4.324","28.185","21.280","15.431","9.045","11.123","130.125"
"11","GTD","Bill Sweedler","1","1:31.797","2:15.501","Green","Track","1.781","0.510","4.305","28.213","21.202","15.528","9.151","11.107","130.125"
"33","GTD","Ben Keating","1","1:32.736","2:16.002","Green","Track","1.746","0.496","4.226","29.109","21.148","15.799","9.231","10.981","133.798"
"73","GTD","Patrick Lindsey","1","1:31.961","2:16.946","Green","Track","1.757","0.501","4.203","27.669","21.080","15.744","9.675","11.332","132.462"
"80","GTD","Dan Knox","1","1:32.599","2:17.178","Green","Track","1.743","0.498","4.641","27.910","21.786","15.724","9.132","11.165","133.260"
"22","GTD","Cooper MacNeil","1","1:31.864","2:17.587","Green","Track","1.760","0.506","4.413","27.194","21.771","15.755","9.102","11.363","131.153"
"97","GTD","Michael Marsal","1","1:33.301","2:17.573","Green","Track","1.782","0.514","4.366","28.170","21.548","15.685","9.280","11.956","129.112"
"27","GTD","Lawrence DeGeorge","1","1:35.287","2:20.735","Green","Track","1.930","0.549","5.105","28.684","21.823","16.365","9.464","11.367","120.881"
"54","PC","Jonathan Bennett","1","1:53.780","2:45.166","Green","Pit","53.907","0.000","0.000","28.111","21.320","15.959","12.029","23.762","0.000"
"44","GTD","John Potter","1","1:56.604","2:46.212","Green","Pit","257.278","0.000","0.000","30.362","22.241","16.299","11.757","22.277","0.000"
"52","PC","Robert Alon","2","1:23.373","2:53.673","Green","Track","1.655","0.474","4.123","25.034","18.994","14.236","8.320","10.537","140.008"
"8","PC","Alex Popow","2","1:24.172","2:54.754","Green","Track","1.643","0.469","4.146","25.412","19.525","14.068","8.389","10.520","141.500"
"38","PC","James French","2","1:24.300","2:55.819","Green","Track","1.642","0.471","4.156","25.264","19.375","14.401","8.495","10.496","140.899"
"85","PC","Misha Goikhberg","2","1:24.173","2:56.316","Green","Track","1.642","0.469","4.157","25.296","19.480","14.196","8.470","10.463","141.500"
"20","PC","Matthew McMurry","2","1:24.240","2:57.459","Green","Track","1.639","0.470","4.274","25.255","19.481","14.322","8.395","10.404","141.199"
"88","PC","Mark Kvamme","2","1:29.145","3:06.349","Green","Track","1.679","0.480","4.239","26.742","20.924","15.303","8.986","10.792","138.258"
"23","GTD","Alex Riberas","2","1:27.183","3:36.324","Green","Track","1.762","0.503","4.098","25.997","20.371","14.764","8.807","10.881","131.936"
"63","GTD","Christina Nielsen","2","1:27.897","3:38.275","Green","Track","1.743","0.496","4.066","26.337","20.465","15.044","8.830","10.916","133.798"
"007","GTD","Brandon Davis","2","1:28.400","3:39.863","Green","Track","1.765","0.503","4.152","26.574","20.520","15.074","8.938","10.874","131.936"
"6","GTD","Andrew Davis","2","1:28.770","3:40.920","Green","Track","1.770","0.503","4.089","26.651","20.656","15.051","8.935","11.115","131.936"
"96","GTD","Bret Curtis","2","1:28.628","3:41.840","Green","Track","1.761","0.505","3.991","26.743","20.549","15.103","8.940","11.036","131.413"
"16","GTD","Corey Lewis","2","1:28.749","3:42.256","Green","Track","1.765","0.504","4.162","26.827","20.511","14.958","8.917","11.105","131.674"
"48","GTD","Madison Snow","2","1:28.897","3:42.931","Green","Track","1.777","0.505","4.140","26.745","20.687","15.035","8.962","11.046","131.413"
"540","GTD","Timothy Pappas","2","1:29.330","3:43.834","Green","Track","1.755","0.502","4.284","26.868","20.646","15.115","9.075","11.085","132.198"
"9","GTD","Matt Bell","2","1:29.551","3:44.499","Green","Track","1.769","0.501","4.210","26.958","20.732","15.154","9.071","11.156","132.462"
"11","GTD","Bill Sweedler","2","1:29.630","3:45.131","Green","Track","1.764","0.508","4.178","27.280","20.651","15.071","9.085","11.093","130.637"
"73","GTD","Patrick Lindsey","2","1:29.014","3:45.960","Green","Track","1.755","0.499","4.106","26.463","20.605","15.414","9.248","10.924","132.993"
"33","GTD","Ben Keating","2","1:30.325","3:46.327","Green","Track","1.722","0.493","3.979","27.367","20.567","15.656","9.645","10.896","134.612"
"80","GTD","Dan Knox","2","1:29.610","3:46.788","Green","Track","1.726","0.492","4.188","26.952","20.669","15.311","9.284","10.988","134.885"
"22","GTD","Cooper MacNeil","2","1:29.588","3:47.175","Green","Track","1.742","0.508","4.232","26.727","20.838","15.114","9.356","11.071","130.637"
"97","GTD","Michael Marsal","2","1:30.256","3:47.829","Green","Track","1.805","0.513","4.188","27.249","20.745","15.335","9.143","11.278","129.364"
"27","GTD","Lawrence DeGeorge","2","1:34.304","3:55.039","Green","Track","1.819","0.521","4.619","27.748","22.142","16.659","9.400","11.396","127.377"
"54","PC","Jonathan Bennett","2","1:33.043","4:18.209","Green","Track","2.450","0.000","0.000","26.587","19.962","14.697","8.706","10.389","0.000"
"52","PC","Robert Alon","3","1:25.034","4:18.707","Green","Track","1.655","0.471","4.040","24.874","20.057","14.643","8.641","10.653","140.899"
"38","PC","James French","3","1:23.927","4:19.746","Green","Track","1.642","0.471","4.085","25.343","19.212","14.323","8.395","10.456","140.899"
"85","PC","Misha Goikhberg","3","1:24.574","4:20.890","Green","Track","1.642","0.469","4.020","25.778","19.440","14.182","8.380","10.663","141.500"
"8","PC","Alex Popow","3","1:26.893","4:21.647","Green","Track","1.650","0.469","3.963","25.287","21.695","14.858","8.432","10.539","141.500"
"20","PC","Matthew McMurry","3","1:24.518","4:21.977","Green","Track","1.637","0.469","4.021","25.102","19.645","14.527","8.669","10.448","141.500"
"44","GTD","John Potter","2","1:41.080","4:27.292","Green","Track","2.399","0.000","0.000","29.116","22.362","15.851","9.349","11.164","0.000"
"88","PC","Mark Kvamme","3","1:28.614","4:34.963","Green","Track","1.678","0.480","4.536","26.341","20.805","15.059","9.035","10.680","138.258"
"23","GTD","Alex Riberas","3","1:26.740","5:03.064","Green","Track","1.762","0.503","4.134","25.979","20.133","14.544","8.775","10.910","131.936"
"63","GTD","Christina Nielsen","3","1:27.429","5:05.704","Green","Track","1.739","0.495","4.025","26.351","20.329","14.808","8.815","10.867","134.068"
"007","GTD","Brandon Davis","3","1:28.003","5:07.866","Green","Track","1.739","0.495","4.077","26.506","20.371","14.968","8.960","10.887","134.068"
"6","GTD","Andrew Davis","3","1:28.552","5:09.472","Green","Track","1.778","0.503","4.076","26.774","20.729","14.909","8.764","11.019","131.936"
"96","GTD","Bret Curtis","3","1:28.575","5:10.415","Green","Track","1.760","0.505","3.963","26.762","20.437","15.261","8.923","10.964","131.413"
"16","GTD","Corey Lewis","3","1:28.631","5:10.887","Green","Track","1.760","0.501","4.052","26.755","20.427","15.105","8.971","11.060","132.462"
"48","GTD","Madison Snow","3","1:28.583","5:11.514","Green","Track","1.771","0.504","4.100","26.573","20.513","14.976","9.103","11.043","131.674"
"540","GTD","Timothy Pappas","3","1:28.888","5:12.722","Green","Track","1.759","0.503","4.233","26.587","20.670","14.932","9.070","11.134","131.936"
"9","GTD","Matt Bell","3","1:28.892","5:13.391","Green","Track","1.777","0.503","4.177","26.714","20.852","14.900","8.889","11.080","131.936"
"73","GTD","Patrick Lindsey","3","1:27.683","5:13.643","Green","Track","1.744","0.499","4.044","26.218","20.522","14.899","8.836","10.921","132.993"
"11","GTD","Bill Sweedler","3","1:29.777","5:14.908","Green","Track","1.763","0.504","4.083","26.801","21.342","15.066","9.119","11.099","131.674"
"33","GTD","Ben Keating","3","1:28.764","5:15.091","Green","Track","1.722","0.491","4.031","26.559","20.747","15.256","9.034","10.924","135.160"
"80","GTD","Dan Knox","3","1:29.312","5:16.100","Green","Track","1.726","0.491","4.125","27.037","20.737","15.295","9.025","10.876","135.160"
"22","GTD","Cooper MacNeil","3","1:29.292","5:16.467","Green","Track","1.746","0.502","4.167","26.863","20.729","15.268","9.066","10.951","132.198"
"97","GTD","Michael Marsal","3","1:29.192","5:17.021","Green","Track","1.767","0.508","4.181","26.599","20.729","15.330","9.032","11.046","130.637"
"27","GTD","Lawrence DeGeorge","3","1:34.353","5:29.392","Green","Track","1.831","0.526","4.521","28.054","21.982","16.767","9.476","11.196","126.167"
"54","PC","Jonathan Bennett","3","1:24.745","5:42.954","Green","Track","1.644","0.472","4.004","25.067","19.622","14.612","8.834","10.490","140.601"
"38","PC","James French","4","1:23.867","5:43.613","Green","Track","1.638","0.469","4.081","25.058","19.112","14.245","8.626","10.638","141.500"
"52","PC","Robert Alon","4","1:24.906","5:43.613","Green","Track","1.635","0.469","4.094","24.944","19.495","14.570","8.896","10.803","141.500"
"85","PC","Misha Goikhberg","4","1:23.325","5:44.215","Green","Track","1.655","0.471","4.036","25.057","19.205","14.004","8.444","10.453","140.899"
