"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"44","GTD","Andy Lally","1","1:41.902","1:48.160","Green","Track","3.086","0.000","0.000","28.712","21.310","15.646","10.497","11.365","0.000"
"85","PC","Misha Goikhberg","1","1:39.902","1:55.476","Green","Track","2.447","0.000","0.000","29.317","21.142","15.082","8.952","10.811","0.000"
"63","GTD","Alessandro Balzan","1","1:37.724","1:57.283","Green","Track","2.414","0.000","0.000","28.411","21.063","15.187","9.001","11.139","0.000"
"52","PC","Robert Alon","1","1:38.757","1:59.791","Green","Track","2.611","0.000","0.000","28.467","21.120","15.346","8.867","10.859","0.000"
"11","GTD","Townsend Bell","1","1:39.378","2:02.225","Green","Track","2.482","0.000","0.000","28.802","21.384","15.529","8.949","11.184","0.000"
"73","GTD","Patrick Lindsey","1","1:42.765","2:09.673","Green","Track","2.680","0.000","0.000","30.200","21.650","15.982","8.895","10.873","0.000"
"20","PC","Johnny Mowlem","1","1:43.899","2:13.663","Green","Track","2.433","0.000","0.000","29.874","21.266","15.595","9.178","10.707","0.000"
"33","GTD","Jeroen Bleekemolen","1","1:45.350","2:14.349","Green","Track","2.514","0.000","0.000","29.816","21.606","15.924","9.667","11.127","0.000"
"38","PC","Kyle Marcelli","1","1:43.537","2:16.440","Green","Track","2.699","0.000","0.000","28.478","21.304","15.556","9.178","10.637","0.000"
"23","GTD","Alex Riberas","1","1:46.699","2:17.676","Green","Track","2.507","0.000","0.000","29.999","21.174","16.183","10.711","11.151","0.000"
"22","GTD","Leh Keen","1","1:46.861","2:18.701","Green","Track","2.515","0.000","0.000","29.710","22.233","15.642","9.627","11.297","0.000"
"48","GTD","Bryan Sellers","1","1:47.482","2:21.168","Green","Track","2.670","0.000","0.000","29.505","21.873","16.810","9.210","11.232","0.000"
"007","GTD","Brandon Davis","1","1:46.736","2:21.460","Green","Track","2.616","0.000","0.000","29.417","21.301","16.582","9.361","11.115","0.000"
"27","GTD","Lawrence DeGeorge","1","1:55.609","2:23.967","Green","Track","2.578","0.000","0.000","33.882","24.372","18.366","10.163","11.880","0.000"
"80","GTD","Mike Skeen","1","1:47.235","2:24.658","Green","Track","2.587","0.000","0.000","29.746","21.430","15.474","9.151","10.999","0.000"
"9","GTD","Lawson Aschenbach","1","1:50.572","2:27.093","Green","Track","2.574","0.000","0.000","30.227","22.637","16.233","9.612","11.403","0.000"
"6","GTD","Andrew Davis","1","1:54.737","2:30.459","Green","Track","2.673","0.000","0.000","32.754","23.461","17.040","10.039","12.048","0.000"
"88","PC","Mark Kvamme","1","1:59.663","2:38.370","Green","Track","2.709","0.000","0.000","34.495","24.406","17.869","9.966","11.614","0.000"
"540","GTD","Timothy Pappas","1","1:57.615","2:38.858","Green","Track","2.440","0.000","0.000","33.925","24.104","17.629","10.288","11.399","0.000"
"96","GTD","Bret Curtis","1","1:48.560","2:39.726","Green","Track","2.456","0.000","0.000","30.940","23.564","18.157","9.949","11.561","0.000"
"16","GTD","Spencer Pumpelly","1","1:36.668","2:46.499","Green","Track","2.491","0.000","0.000","27.774","21.337","15.325","9.036","11.047","0.000"
"54","PC","Jonathan Bennett","1","2:35.730","3:01.559","Green","Pit","2.864","0.000","0.000","31.842","25.076","17.292","11.981","54.094","0.000"
"8","PC","Alex Popow","1","1:26.844","3:08.836","Green","Track","1.667","0.479","4.289","25.930","19.852","15.062","8.835","10.730","138.546"
"97","GTD","Markus Palttala","1","1:28.037","3:13.671","Green","Track","1.763","0.508","4.135","26.609","20.372","14.790","8.841","11.019","130.637"
"44","GTD","Andy Lally","2","1:28.034","3:16.194","Green","Track","1.781","0.508","4.136","26.544","20.407","14.766","8.875","11.017","130.637"
"85","PC","Misha Goikhberg","2","1:25.899","3:21.375","Green","Track","1.679","0.479","4.380","25.953","19.880","14.428","8.568","10.532","138.546"
"63","GTD","Alessandro Balzan","2","1:28.214","3:25.497","Green","Track","1.757","0.502","4.047","26.580","20.415","15.051","8.877","10.985","132.198"
"52","PC","Robert Alon","2","1:25.999","3:25.790","Green","Track","1.672","0.479","4.196","25.683","19.740","14.886","8.671","10.672","138.546"
"11","GTD","Townsend Bell","2","1:28.587","3:30.812","Green","Track","1.792","0.512","4.114","26.684","20.507","15.130","8.823","11.025","129.616"
"73","GTD","Patrick Lindsey","2","1:26.564","3:36.237","Green","Track","1.755","0.000","0.000","26.047","20.099","14.595","8.592","10.908","0.000"
"20","PC","Johnny Mowlem","2","1:25.335","3:38.998","Green","Track","1.661","0.474","4.014","25.815","19.765","14.446","8.681","10.479","140.008"
"38","PC","Kyle Marcelli","2","1:25.658","3:42.098","Green","Track","1.656","0.476","4.062","25.344","19.518","14.914","8.776","10.912","139.419"
"33","GTD","Jeroen Bleekemolen","2","1:27.796","3:42.145","Green","Track","1.728","0.495","3.997","26.333","20.375","14.892","8.921","11.055","134.068"
"23","GTD","Alex Riberas","2","1:27.813","3:45.489","Green","Track","1.775","0.507","4.194","26.334","20.273","14.773","8.913","11.044","130.895"
"22","GTD","Leh Keen","2","1:28.376","3:47.077","Green","Track","1.759","0.504","4.288","26.479","20.277","14.843","9.156","11.070","131.674"
"48","GTD","Bryan Sellers","2","1:28.171","3:49.339","Green","Track","1.796","0.514","4.131","26.600","20.434","14.749","8.853","11.094","129.112"
"007","GTD","Brandon Davis","2","1:29.780","3:51.240","Green","Track","1.769","0.503","4.235","26.807","20.394","15.334","9.656","11.082","131.936"
"80","GTD","Mike Skeen","2","1:29.064","3:53.722","Green","Track","1.736","0.494","4.178","26.769","20.591","15.293","9.051","10.952","134.339"
"9","GTD","Lawson Aschenbach","2","1:29.946","3:57.039","Green","Track","1.810","0.000","0.000","27.836","20.851","14.888","8.923","10.981","0.000"
"88","PC","Mark Kvamme","2","1:33.599","4:11.969","Green","Track","1.703","0.497","4.762","27.672","22.195","16.174","9.522","11.074","133.528"
"540","GTD","Timothy Pappas","2","1:33.883","4:12.741","Green","Track","1.771","0.000","0.000","27.953","21.742","16.170","9.718","11.343","0.000"
"96","GTD","Bret Curtis","2","1:33.948","4:13.674","Green","Track","1.762","0.505","4.316","28.539","21.595","16.107","9.792","11.332","131.413"
"16","GTD","Spencer Pumpelly","2","1:29.341","4:15.840","Green","Track","1.781","0.509","4.196","26.600","20.739","15.409","9.012","11.095","130.380"
"27","GTD","Lawrence DeGeorge","2","1:56.718","4:20.685","Green","Pit","1.807","0.521","4.799","31.009","22.890","17.769","12.492","25.431","127.377"
"8","PC","Alex Popow","2","1:23.978","4:32.814","Green","Track","1.658","0.473","4.183","25.330","19.298","14.053","8.220","10.763","140.304"
"97","GTD","Markus Palttala","2","1:28.623","4:42.294","Green","Track","1.748","0.501","4.017","26.309","20.282","15.498","9.245","11.023","132.462"
"44","GTD","Andy Lally","3","1:28.112","4:44.306","Green","Track","1.767","0.502","4.039","26.372","20.389","14.904","9.048","11.091","132.198"
"85","PC","Misha Goikhberg","3","1:24.578","4:45.953","Green","Track","1.660","0.472","4.057","25.352","19.585","14.294","8.572","10.586","140.601"
"52","PC","Robert Alon","3","1:25.033","4:50.823","Green","Track","1.649","0.473","4.513","25.795","19.530","14.290","8.289","10.494","140.304"
"63","GTD","Alessandro Balzan","3","1:28.175","4:53.672","Green","Track","1.741","0.497","4.144","26.352","20.856","14.822","8.765","10.998","133.528"
"20","PC","Johnny Mowlem","3","1:23.674","5:02.672","Green","Track","1.641","0.468","4.008","24.953","19.197","14.070","8.415","10.922","141.803"
"73","GTD","Patrick Lindsey","3","1:26.580","5:02.817","Green","Track","1.741","0.000","0.000","26.092","19.930","14.532","8.603","11.159","0.000"
"38","PC","Kyle Marcelli","3","1:24.571","5:06.669","Green","Track","1.641","0.469","3.841","25.802","19.579","14.386","8.403","10.450","141.500"
"33","GTD","Jeroen Bleekemolen","3","1:28.384","5:10.529","Green","Track","1.736","0.495","4.049","27.167","20.396","14.884","8.873","10.784","134.068"
"6","GTD","Andrew Davis","2","2:40.268","5:10.727","Green","Pit","1.894","0.000","0.000","28.191","22.190","16.531","11.981","74.193","0.000"
"11","GTD","Townsend Bell","3","1:41.393","5:12.205","Green","Pit","1.776","0.509","4.052","26.467","20.304","14.763","10.471","23.051","130.380"
"22","GTD","Leh Keen","3","1:26.932","5:14.009","Green","Track","1.733","0.497","4.062","26.184","20.167","14.557","8.809","10.923","133.528"
"48","GTD","Bryan Sellers","3","1:27.673","5:17.012","Green","Track","1.776","0.507","4.048","26.293","20.407","14.715","8.816","11.111","130.895"
"007","GTD","Brandon Davis","3","1:28.150","5:19.390","Green","Track","1.755","0.499","4.083","26.726","20.351","14.743","9.003","10.990","132.993"
"54","PC","Jonathan Bennett","2","2:22.911","5:24.470","Green","Pit","2.456","0.000","0.000","29.323","21.499","15.903","12.041","50.618","0.000"
"9","GTD","Lawson Aschenbach","3","1:27.814","5:24.853","Green","Track","1.786","0.000","0.000","26.518","20.306","14.727","8.793","11.065","0.000"
"88","PC","Mark Kvamme","3","1:31.637","5:43.606","Green","Track","1.679","0.483","4.396","26.767","22.146","15.787","9.280","11.099","137.399"
"540","GTD","Timothy Pappas","3","1:31.727","5:44.468","Green","Track","1.768","0.000","0.000","27.070","21.464","15.926","9.512","11.204","0.000"
"96","GTD","Bret Curtis","3","1:31.799","5:45.473","Green","Track","1.750","0.502","4.119","27.389","20.906","16.486","9.376","11.271","132.198"
"23","GTD","Alex Riberas","3","2:19.219","6:04.708","Green","Pit","1.754","0.503","4.140","26.290","20.161","14.846","10.131","61.394","131.936"
"27","GTD","Lawrence DeGeorge","3","1:45.473","6:06.158","Green","Track","2.492","0.000","0.000","30.257","22.319","17.094","9.898","11.330","0.000"
"97","GTD","Markus Palttala","3","1:27.559","6:09.853","Green","Track","1.751","0.503","4.027","26.463","20.220","14.697","8.867","11.031","131.936"
"85","PC","Misha Goikhberg","4","1:25.640","6:11.593","Green","Track","1.667","0.473","3.969","26.380","19.531","14.283","8.708","10.629","140.304"
"44","GTD","Andy Lally","4","1:27.336","6:11.642","Green","Track","1.772","0.504","4.073","26.312","20.189","14.653","8.794","11.039","131.674"
"63","GTD","Alessandro Balzan","3","1:27.342","4:53.672","Red","Track","1.741","0.497","4.035","26.309","20.221","14.767","8.840","0.000","133.528"
"20","PC","Johnny Mowlem","3","1:22.582","5:02.672","Red","Track","1.667","0.470","3.923","24.868","19.158","13.984","8.207","0.000","141.199"
"22","GTD","Leh Keen","3","1:40.227","5:14.009","Red","Pit","1.747","0.500","4.032","25.927","20.061","14.619","10.790","22.551","132.727"
"6","GTD","Robin Liddell","2","1:53.399","5:10.727","Red","Pit","2.419","0.000","0.000","29.287","22.276","15.706","11.111","0.000","0.000"
