"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SPO"
"4","GTLM","Oliver Gavin","1","1:42.842","2:00.553","Green","Track","3.116","0.000","0.000","29.992","21.975","15.629","9.150","11.055","0.000"
"3","GTLM","Antonio Garcia","1","1:45.275","2:04.153","Green","Track","2.819","0.000","0.000","31.132","22.698","15.989","9.153","11.256","0.000"
"25","GTLM","Dirk Werner","1","1:42.169","2:04.394","Green","Track","2.422","3.602","8.064","29.984","21.992","15.879","9.107","11.119","18.424"
"0","P","Sean Rayhall","1","1:40.919","2:09.433","Green","Track","2.660","3.789","7.623","29.549","21.437","16.101","9.162","10.598","17.515"
"62","GTLM","Toni Vilander","1","1:40.745","2:11.357","Green","Track","2.390","3.762","6.850","29.521","22.099","16.008","9.062","11.053","17.641"
"67","GTLM","Ryan Briscoe","1","1:44.727","2:16.269","Green","Track","2.398","0.000","0.000","29.292","22.125","15.846","9.417","13.842","0.000"
"911","GTLM","Nick Tandy","1","1:36.667","2:31.862","Green","Track","2.414","3.491","6.267","28.150","21.151","15.258","9.147","10.789","19.010"
"5","P","Christian Fittipaldi","1","2:24.516","2:41.839","Green","Pit","2.687","0.000","0.000","29.138","21.295","16.078","10.337","54.338","0.000"
"100","GTLM","John Edwards","1","2:19.260","2:43.962","Green","Pit","2.436","0.000","0.000","30.143","23.005","16.840","11.400","43.898","0.000"
"68","GTLM","Daniel Serra","1","2:29.770","2:50.296","Green","Pit","2.451","0.000","0.000","32.439","22.276","16.669","11.302","51.894","0.000"
"912","GTLM","Earl Bamber","1","2:31.287","2:55.465","Green","Pit","2.423","3.259","7.513","29.816","21.575","16.009","10.376","60.316","20.363"
"31","P","Eric Curran","1","2:24.314","3:02.882","Green","Pit","2.572","0.000","0.000","31.429","22.483","16.785","11.079","48.055","0.000"
"60","P","Oswaldo Negri","1","1:24.955","3:11.097","Green","Track","1.625","0.465","4.052","25.275","19.273","15.183","8.719","10.363","142.717"
"10","P","Jordan Taylor","1","1:31.100","3:14.678","Green","Track","1.764","0.505","4.210","26.677","20.438","15.285","10.727","11.494","131.413"
"90","P","Marc Goossens","0","1:27.637","1:56.496","Red","Track","1.703","0.486","4.658","26.761","20.156","14.821","8.578","0.000","136.551"
"4","GTLM","Oliver Gavin","1","1:27.408","2:00.553","Red","Track","1.760","0.510","4.316","26.622","20.292","14.546","8.577","0.000","130.125"
"3","GTLM","Antonio Garcia","1","1:28.412","2:04.153","Red","Track","1.774","0.505","4.370","26.781","20.397","15.045","8.669","10.871","131.413"
"25","GTLM","Dirk Werner","1","1:29.804","2:04.394","Red","Track","1.726","0.494","4.424","26.769","22.040","14.903","8.623","10.825","134.339"
"0","P","Sean Rayhall","1","1:25.304","2:09.433","Red","Track","1.590","0.454","4.124","25.349","19.825","14.728","8.645","10.589","146.175"
"911","GTLM","Nick Tandy","1","1:50.887","2:31.862","Red","Track","1.752","0.499","4.157","25.858","20.025","15.469","11.398","0.000","132.993"
"66","GTLM","Joey Hand","0","1:53.816","2:39.480","Red","Pit","2.407","0.000","0.000","29.224","21.888","15.783","10.986","0.000","0.000"
"5","P","Joao Barbosa","1","1:56.483","2:41.839","Red","Pit","2.661","0.000","0.000","28.236","21.721","15.859","11.679","0.000","0.000"
"100","GTLM","John Edwards","2","4:33.982","7:17.944","Green","Pit","2.416","3.722","6.606","28.519","21.593","15.978","11.454","183.694","17.830"
"912","GTLM","Frederic Makowiecki","2","4:24.517","7:19.982","Green","Pit","2.410","0.000","0.000","28.925","24.464","15.968","11.579","169.555","0.000"
"31","P","Eric Curran","2","4:18.309","7:21.191","Green","Pit","2.444","0.000","0.000","28.893","22.944","16.762","11.074","166.402","0.000"
"60","P","Oswaldo Negri","2","4:11.570","7:22.667","Green","Pit","1.615","0.462","3.892","27.641","22.837","17.147","11.012","166.964","143.644"
"10","P","Jordan Taylor","2","4:09.640","7:24.318","Green","Pit","1.721","0.492","4.075","26.735","20.727","16.922","11.762","167.206","134.885"
"90","P","Marc Goossens","1","5:29.036","7:25.532","Green","Pit","1.661","0.473","4.712","26.072","20.497","15.244","10.894","161.846","140.304"
"4","GTLM","Oliver Gavin","2","5:26.290","7:26.843","Green","Pit","1.750","0.503","4.259","26.097","20.058","14.632","11.555","160.028","131.936"
"3","GTLM","Antonio Garcia","2","5:24.733","7:28.886","Green","Pit","1.763","0.500","4.178","25.747","19.979","14.921","11.177","158.056","132.727"
"0","P","Sean Rayhall","2","5:20.236","7:29.669","Green","Pit","1.788","0.506","4.296","25.732","20.043","14.494","11.615","156.458","131.153"
"68","GTLM","Alessandro Pier Guidi","2","4:49.074","7:39.370","Green","Pit","2.432","0.000","0.000","30.717","23.148","16.845","12.057","194.490","0.000"
"25","GTLM","Dirk Werner","2","5:36.765","7:41.159","Green","Pit","1.727","0.488","4.013","25.677","19.757","14.991","11.155","169.153","135.991"
"67","GTLM","Ryan Briscoe","2","5:31.607","7:47.876","Green","Pit","1.859","0.521","4.247","26.007","20.124","14.604","10.843","253.402","127.377"
"62","GTLM","Toni Vilander","2","5:37.294","7:48.651","Green","Pit","1.748","0.499","4.236","26.407","20.236","14.711","11.681","257.776","132.993"
"70","P","Tom Long","1","5:24.460","8:00.605","Green","Pit","2.447","3.664","7.064","30.187","22.564","16.501","10.325","231.708","18.112"
"55","P","Tristan Nunez","1","6:39.373","8:05.946","Green","Pit","2.419","0.000","0.000","32.216","22.718","16.493","10.817","303.224","0.000"
"911","GTLM","Nick Tandy","2","6:12.937","8:44.799","Green","Track","173.383","3.525","5.792","25.587","19.834","14.610","8.714","10.605","18.827"
"66","GTLM","Joey Hand","1","6:08.688","8:48.168","Green","Track","164.887","0.000","0.000","26.351","20.423","14.613","8.555","10.704","0.000"
"5","P","Joao Barbosa","2","6:06.855","8:48.694","Green","Track","161.222","0.000","0.000","26.274","19.630","14.623","8.489","10.515","0.000"
"60","P","Oswaldo Negri","3","1:28.488","8:51.155","Green","Track","2.504","0.000","0.000","25.072","19.030","14.138","8.474","10.429","0.000"
"100","GTLM","John Edwards","3","1:33.824","8:51.768","Green","Track","2.815","3.513","6.431","26.333","20.136","14.790","8.811","10.995","18.891"
"912","GTLM","Frederic Makowiecki","3","1:33.209","8:53.191","Green","Track","2.585","0.000","0.000","26.112","20.445","15.205","8.810","10.771","0.000"
"31","P","Eric Curran","3","1:32.298","8:53.489","Green","Track","2.459","0.000","0.000","26.674","19.913","14.947","8.585","10.411","0.000"
"10","P","Jordan Taylor","3","1:29.587","8:53.905","Green","Track","2.431","3.597","5.438","25.272","19.408","14.420","8.555","10.466","18.450"
"90","P","Marc Goossens","2","1:29.159","8:54.691","Green","Track","2.428","3.466","5.845","25.173","19.281","14.343","8.275","10.348","19.147"
"4","GTLM","Oliver Gavin","3","1:31.016","8:57.859","Green","Track","2.403","0.000","0.000","25.926","19.993","14.354","8.411","10.608","0.000"
"0","P","Sean Rayhall","3","1:30.967","9:00.636","Green","Track","2.408","0.000","0.000","25.652","19.165","14.120","9.797","10.364","0.000"
"3","GTLM","Antonio Garcia","3","1:32.853","9:01.739","Green","Track","2.404","0.000","0.000","26.285","20.486","14.714","8.591","10.743","0.000"
"25","GTLM","Bill Auberlen","3","1:32.548","9:13.707","Green","Track","2.418","3.280","6.061","26.499","20.223","14.654","8.585","10.828","20.233"
"68","GTLM","Daniel Serra","3","1:38.129","9:17.499","Green","Track","2.431","0.000","0.000","27.576","21.549","15.421","8.882","12.328","0.000"
"67","GTLM","Richard Westbrook","3","1:34.314","9:22.190","Green","Track","2.404","0.000","0.000","26.559","20.659","15.472","8.700","10.807","0.000"
"62","GTLM","Toni Vilander","3","1:35.131","9:23.782","Green","Track","2.390","3.427","6.219","26.365","20.431","15.698","9.573","11.028","19.365"
