"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","SP1","SP4"
"23","","","13","1:32.704","34:56.699","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"9","GTD","Lawson Aschenbach","14","1:32.883","35:20.578","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"10","P","Jordan Taylor","12","6:56.513","35:22.515","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","2.222","0.000","0.000"
"60","P","Oswaldo Negri Jr.","12","6:10.442","35:23.596","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"48","GTD","Bryan Sellers","13","1:35.961","35:26.225","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","11.568","2.438","0.000","0.000"
"27","GTD","Cedric Sbirrazzuoli","14","1:52.044","35:28.330","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","13.494","2.804","0.000","0.000"
"8","PC","Alex Popow","10","1:33.277","35:28.613","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","10.889","2.415","0.000","0.000"
"44","GTD","John Potter","12","5:53.126","35:39.039","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","11.545","11.934","2.530","0.000","0.000"
"6","GTD","Robin Liddell","12","1:52.961","35:39.365","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","11.749","11.739","2.509","0.000","0.000"
"52","PC","Robert Alon","14","1:39.520","35:48.621","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","11.328","12.802","2.407","0.000","0.000"
