"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"10","P","Jordan Taylor","1","1:41.789","1:41.789","Green","Track","0.000","16.041","0.695","15.753","11.288","9.312","0.604","15.308","10.667","10.228","2.278","4.242","113.800","134.332"
"5","P","Joao Barbosa","1","1:45.077","1:45.077","Green","Track","0.000","16.323","0.737","16.548","11.952","9.420","0.720","17.223","11.297","11.435","2.291","4.413","107.315","112.689"
"90","P","Ryan Dalziel","1","1:46.290","1:46.290","Green","Track","652.890","16.952","0.684","16.131","11.727","9.426","0.649","15.248","11.193","10.759","2.319","4.350","115.630","125.018"
"55","P","Jonathan Bomarito","1","1:47.740","1:47.740","Green","Track","586.595","16.273","0.738","16.231","11.902","9.323","0.611","15.267","11.202","11.083","2.337","4.424","107.169","132.793"
"16","GTD","Spencer Pumpelly","1","1:48.771","1:48.771","Green","Track","585.223","17.210","0.624","15.269","11.366","9.988","0.582","14.519","10.864","10.726","2.431","4.500","126.748","139.410"
"60","P","Oswaldo Negri Jr.","1","1:50.022","1:50.022","Green","Track","297.601","14.275","0.607","15.476","11.562","9.288","0.637","14.826","10.825","10.642","2.348","4.234","130.298","127.373"
"96","GTD","Jens Klingmann","1","1:52.018","1:52.018","Green","Track","533.465","15.455","0.587","15.564","11.565","10.000","0.689","15.792","11.064","10.866","2.456","4.509","134.737","117.760"
"9","GTD","Lawson Aschenbach","1","2:02.265","2:02.265","Green","Track","182.423","19.991","0.780","15.782","11.846","10.335","0.594","14.711","11.639","10.535","2.483","4.575","101.399","136.593"
"31","P","Dane Cameron","1","2:04.694","2:04.694","Green","Track","0.000","17.370","0.714","16.204","11.869","9.565","0.657","15.393","11.353","10.956","2.305","4.265","110.772","123.495"
"8","PC","Renger Van Der Zande","1","2:10.593","2:10.593","Green","Track","9.756","15.064","0.622","15.260","11.461","9.482","0.663","14.672","10.879","11.335","2.468","4.535","127.156","122.378"
"23","GTD","Alex Riberas","1","2:11.047","2:11.047","Green","Track","202.337","17.156","0.735","16.874","11.955","10.309","0.738","16.111","12.001","11.949","2.480","4.618","107.607","109.941"
"85","PC","Misha Goikhberg","1","2:12.437","2:12.437","Green","Track","683.957","17.040","0.759","17.075","12.171","10.138","0.693","16.173","12.288","11.844","3.434","5.603","104.204","117.080"
"22","GTD","Leh Keen","1","2:13.748","2:13.748","Green","Track","660.408","17.862","1.021","17.354","12.098","10.372","0.731","16.345","12.151","11.385","2.511","4.741","77.464","110.994"
"33","GTD","Ben Keating","1","2:14.806","2:14.806","Green","Track","692.582","16.733","0.620","16.010","12.466","10.079","0.728","16.582","11.478","11.212","2.522","4.768","127.566","111.451"
"48","GTD","Madison Snow","1","2:17.862","2:17.862","Green","Track","10.039","15.881","0.603","15.618","11.802","10.081","0.631","15.945","12.769","12.338","2.528","4.780","131.162","128.584"
"88","PC","Ashley Freiberg","1","2:18.330","2:18.330","Green","Track","9.616","16.244","0.665","15.573","11.607","9.341","0.596","15.829","12.501","12.168","2.397","4.857","118.934","136.135"
"63","GTD","Alessandro Balzan","1","2:21.144","2:21.144","Green","Pit","287.025","17.810","0.645","17.966","14.852","10.721","0.781","17.965","12.579","12.462","6.647","11.427","122.622","103.888"
"20","PC","Johnny Mowlem","1","2:24.275","2:24.275","Green","Track","9.790","16.223","0.578","15.327","11.597","9.464","0.574","15.189","11.794","10.965","2.325","4.435","136.835","141.353"
"27","GTD","Cedric Sbirrazzuoli","1","2:26.188","2:26.188","Green","Track","9.817","16.533","0.599","15.867","11.751","10.176","0.632","17.190","13.394","11.312","2.488","4.602","132.038","128.380"
"52","PC","Robert Alon","1","2:30.522","2:30.522","Green","Pit","684.395","16.744","0.755","16.552","12.222","10.658","0.691","17.079","13.065","12.558","7.856","12.325","104.756","117.419"
"73","GTD","Patrick Lindsey","1","2:49.787","2:49.787","Green","Track","12.680","17.538","0.695","16.193","11.874","10.018","0.647","14.869","11.037","11.019","2.483","4.585","113.800","125.404"
"38","PC","Kyle Marcelli","1","2:58.416","2:58.416","Green","Track","9.718","16.545","0.588","15.204","11.465","9.304","0.564","15.887","10.997","11.144","2.322","4.357","134.508","143.859"
"97","GTD","Michael Marsal","1","3:06.942","3:06.942","Green","Track","709.157","18.892","0.626","17.153","12.322","10.187","0.630","16.410","11.780","12.279","2.543","5.155","126.343","128.788"
"10","P","Jordan Taylor","2","1:28.919","3:10.708","Green","Track","3.212","12.137","0.532","13.427","10.472","9.024","0.529","13.408","10.225","9.670","2.196","4.087","148.667","153.377"
"90","P","Ryan Dalziel","2","1:32.445","3:18.735","Green","Track","3.697","12.506","0.555","14.180","10.594","8.951","0.551","13.947","10.942","10.190","2.210","4.122","142.506","147.253"
"55","P","Jonathan Bomarito","2","1:33.475","3:21.215","Green","Track","3.860","12.616","0.551","14.365","10.836","9.110","0.567","13.894","10.430","10.633","2.285","4.328","143.541","143.098"
"60","P","Oswaldo Negri Jr.","2","1:31.286","3:21.308","Green","Track","3.454","12.078","0.535","13.779","10.712","9.109","0.529","13.790","10.365","10.486","2.288","4.161","147.833","153.377"
"16","GTD","Spencer Pumpelly","2","1:35.972","3:24.743","Green","Track","3.596","13.243","0.575","14.592","10.989","9.872","0.573","13.836","10.800","10.898","2.461","4.537","137.549","141.599"
"96","GTD","Jens Klingmann","2","1:34.841","3:26.859","Green","Track","3.625","13.367","0.572","14.233","11.064","9.768","0.567","13.840","10.572","10.342","2.421","4.470","138.271","143.098"
"5","P","Joao Barbosa","2","1:43.747","3:28.824","Green","Pit","3.852","12.422","0.586","14.496","10.762","8.976","0.564","14.044","10.368","10.232","5.992","11.453","134.967","143.859"
"9","GTD","Lawson Aschenbach","2","1:34.190","3:36.455","Green","Track","3.522","13.182","0.581","13.799","10.688","9.968","0.581","13.845","10.665","10.384","2.447","4.528","136.129","139.650"
"8","PC","Renger Van Der Zande","2","1:30.300","3:40.893","Green","Track","3.460","12.549","0.542","13.471","10.478","9.149","0.538","13.091","9.974","10.228","2.297","4.523","145.924","150.811"
"44","GTD","Andy Lally","1","3:40.919","3:40.919","Green","Track","331.710","16.833","0.623","23.006","13.127","11.946","0.661","17.399","13.263","13.582","2.657","5.407","126.952","122.748"
