"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"22","GTD","Cooper MacNeil","1","1:51.308","1:51.308","Green","Track","780.623","17.505","0.591","15.733","11.890","10.015","0.642","15.649","11.453","11.240","2.470","4.809","133.826","126.381"
"63","GTD","Christina Nielsen","1","1:53.942","1:53.942","Green","Track","781.299","18.367","0.611","16.899","12.523","10.216","0.668","15.966","11.428","11.687","2.500","4.698","129.445","121.462"
"33","GTD","Ben Keating","1","1:54.221","1:54.221","Green","Track","828.663","16.763","0.591","15.877","12.232","9.905","0.596","15.625","11.344","11.526","2.472","4.772","133.826","136.135"
"97","GTD","Michael Marsal","1","1:55.611","1:55.611","Green","Track","817.150","16.755","0.633","16.410","12.209","10.409","0.739","16.547","11.667","11.720","2.508","4.575","124.946","109.792"
"96","GTD","Bret Curtis","1","2:04.931","2:04.931","Green","Track","811.505","17.660","0.707","17.222","16.778","11.175","0.708","16.514","11.975","11.831","2.569","4.583","111.868","114.599"
"6","GTD","Robin Liddell","1","2:19.000","2:19.000","Green","Track","10.455","16.064","0.603","16.206","17.856","22.128","1.386","16.969","12.980","13.346","2.546","4.681","131.162","58.540"
"9","GTD","Matt Bell","1","2:25.273","2:25.273","Green","Track","10.034","16.020","0.946","19.482","20.183","18.820","1.173","22.317","11.521","12.117","2.545","4.606","83.606","69.170"
"48","GTD","Bryan Sellers","1","2:32.728","2:32.728","Green","Track","9.831","19.745","0.729","17.158","13.314","15.541","1.294","24.387","14.208","12.014","2.512","4.560","108.492","62.702"
"23","GTD","Mario Farnbacher","1","2:39.907","2:39.907","Green","Track","842.175","20.600","0.811","17.707","13.094","15.415","1.691","23.187","15.340","11.232","2.464","4.505","97.523","47.981"
"44","GTD","John Potter","1","2:44.090","2:44.090","Green","Track","813.706","20.470","1.067","18.173","13.929","13.304","1.321","23.045","15.545","13.006","2.571","4.699","74.125","61.420"
"73","GTD","Patrick Lindsey","1","2:48.944","2:48.944","Green","Track","10.721","18.699","0.789","16.864","13.833","12.084","0.879","18.924","14.086","14.336","2.507","4.626","100.242","92.305"
