"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"5","P","Christian Fittipaldi","1","1:28.070","1:28.070","Green","Track","3.516","11.817","0.526","13.504","10.133","9.036","0.540","13.381","9.869","9.521","2.168","4.059","150.363","150.253"
"10","P","Ricky Taylor","1","1:29.014","1:29.014","Green","Track","3.595","12.187","0.535","13.464","10.110","8.998","0.544","13.387","9.916","9.672","2.210","4.130","147.833","149.148"
"90","P","Marc Goossens","1","1:29.863","1:29.863","Green","Track","3.560","12.822","0.532","13.767","10.230","9.141","0.542","13.288","9.931","9.451","2.214","4.120","148.667","149.698"
"31","P","Eric Curran","1","1:30.281","1:30.281","Green","Track","3.765","12.690","0.540","14.140","10.116","8.989","0.554","13.528","9.822","9.477","2.177","4.064","146.465","146.456"
"55","P","Tristan Nunez","1","1:31.156","1:31.156","Green","Track","3.872","12.428","0.564","14.558","10.344","8.980","0.537","13.556","9.914","9.602","2.178","4.073","140.232","151.092"
"60","P","Katherine Legge","1","1:33.277","1:33.277","Green","Track","4.210","12.952","0.540","14.162","10.398","9.173","0.543","13.670","10.388","10.005","2.243","4.156","146.465","149.422"
"70","P","Tom Long","1","1:33.511","1:33.511","Green","Track","4.288","12.991","0.533","14.603","10.462","8.901","0.527","13.664","10.228","10.022","2.211","4.084","148.388","153.959"
"52","PC","Robert Alon","1","1:34.505","1:34.505","Green","Track","3.799","13.148","0.554","15.272","10.824","9.341","0.551","13.480","10.163","9.855","2.271","4.272","142.763","147.253"
"38","PC","James French","1","1:35.394","1:35.394","Green","Track","4.285","13.428","0.552","14.402","10.999","9.279","0.553","13.585","10.474","9.999","2.251","4.210","143.281","146.720"
"8","PC","Alex Popow","1","1:36.442","1:36.442","Green","Track","4.214","13.508","0.556","14.600","11.273","9.323","0.560","13.987","10.267","10.239","2.295","4.247","142.250","144.886"
"54","PC","Jonathan Bennett","1","1:37.613","1:37.613","Green","Track","4.198","13.383","0.578","14.800","11.154","9.361","0.590","14.411","10.630","10.131","2.309","4.308","136.835","137.519"
"20","PC","Tomy Drissi","1","1:38.834","1:38.834","Green","Track","4.533","13.211","0.562","15.161","11.142","9.392","0.592","14.430","10.720","10.483","2.340","4.365","140.731","137.055"
"88","PC","Mark Kvamme","1","1:40.458","1:40.458","Green","Track","4.498","13.504","0.583","14.795","11.135","9.581","0.577","14.617","11.004","10.628","2.373","4.561","135.662","140.618"
"48","GTD","Bryan Sellers","1","1:46.417","1:46.417","Green","Track","3.792","13.184","0.575","14.390","10.708","9.921","0.578","13.670","10.410","10.317","2.454","4.508","137.549","140.374"
"6","GTD","Robin Liddell","1","1:46.818","1:46.818","Green","Track","3.933","13.345","0.580","14.272","10.729","9.883","0.581","13.651","10.450","10.220","2.430","4.490","136.364","139.650"
"73","GTD","Patrick Lindsey","1","1:48.187","1:48.187","Green","Track","3.901","13.225","0.569","14.858","11.002","9.800","0.574","14.159","10.681","10.427","2.462","4.494","139.000","141.353"
"9","GTD","Matt Bell","1","1:48.587","1:48.587","Green","Track","3.788","13.588","0.587","14.316","10.853","9.997","0.580","13.834","10.700","10.593","2.464","4.509","134.737","139.890"
"16","GTD","Spencer Pumpelly","1","1:48.718","1:48.718","Green","Track","4.015","13.554","0.573","14.670","10.839","9.901","0.578","13.868","10.651","10.554","2.414","4.488","138.030","140.374"
"63","GTD","Christina Nielsen","1","1:49.601","1:49.601","Green","Track","4.004","13.403","0.588","14.956","11.041","9.889","0.568","14.022","10.724","10.631","2.420","4.423","134.508","142.846"
"33","GTD","Ben Keating","1","1:50.091","1:50.091","Green","Track","4.108","13.697","0.569","15.129","10.946","9.737","0.582","14.342","10.588","10.577","2.415","4.434","139.000","139.410"
"22","GTD","Cooper MacNeil","1","1:50.664","1:50.664","Green","Track","4.083","13.586","0.567","15.253","11.048","9.801","0.599","14.228","10.629","10.706","2.430","4.454","139.490","135.453"
"23","GTD","Mario Farnbacher","1","1:51.082","1:51.082","Green","Track","4.172","13.433","0.565","15.500","10.995","9.742","0.579","14.371","10.549","10.698","2.481","4.513","139.984","140.132"
"96","GTD","Bret Curtis","1","1:52.428","1:52.428","Green","Track","3.808","13.569","0.576","15.504","11.314","10.027","0.573","14.287","10.805","10.684","2.482","4.518","137.311","141.599"
"97","GTD","Michael Marsal","1","1:53.413","1:53.413","Green","Track","4.245","13.809","0.571","15.460","11.350","10.089","0.585","14.718","10.962","10.701","2.455","4.491","138.513","138.695"
"27","GTD","Lawrence DeGeorge","1","1:56.514","1:56.514","Green","Track","4.266","13.825","0.578","15.619","11.599","10.146","0.588","15.203","11.217","11.307","2.529","4.884","136.835","137.987"
"44","GTD","John Potter","1","1:56.722","1:56.722","Green","Track","4.322","13.973","0.591","15.488","11.738","9.996","0.596","15.099","11.251","11.327","2.491","4.862","133.826","136.135"
"5","P","Christian Fittipaldi","2","1:26.460","2:54.530","Green","Track","3.232","11.483","0.521","13.097","9.992","8.977","0.544","13.033","9.853","9.497","2.169","4.062","151.806","149.148"
"10","P","Ricky Taylor","2","1:27.068","2:56.082","Green","Track","3.214","11.527","0.529","13.146","10.224","8.987","0.529","13.087","9.946","9.549","2.216","4.114","149.510","153.377"
"90","P","Marc Goossens","2","1:26.571","2:56.434","Green","Track","3.027","11.702","0.535","13.056","10.019","9.098","0.533","12.954","9.927","9.434","2.200","4.086","147.833","152.226"
"31","P","Eric Curran","2","1:27.166","2:57.447","Green","Track","3.137","11.687","0.523","13.372","9.961","8.979","0.539","13.172","10.044","9.476","2.197","4.079","151.225","150.531"
"55","P","Tristan Nunez","2","1:27.375","2:58.531","Green","Track","3.204","11.446","0.524","13.492","10.101","9.011","0.532","13.237","9.899","9.662","2.183","4.084","150.937","152.512"
