"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"31","P","Dane Cameron","1","2:11.080","2:11.080","Green","Track","0.000","14.835","20.567","0.514","23.224","28.675","20.511","11.328","4.537","159.953"
"5","P","Christian Fittipaldi","1","2:13.443","2:13.443","Green","Track","0.000","12.757","20.727","0.518","23.546","30.079","20.655","11.328","4.523","158.718"
"55","P","Tristan Nunez","1","2:17.843","2:17.843","Green","Track","0.000","13.335","20.760","0.492","23.872","27.487","20.969","11.522","4.491","167.106"
"10","P","Jordan Taylor","1","2:27.208","2:27.208","Green","Track","0.000","13.956","21.404","0.501","23.567","28.332","24.755","19.346","4.581","164.104"
"60","P","Oswaldo Negri Jr.","1","2:32.392","2:32.392","Green","Pit","0.000","15.107","21.046","0.488","23.792","27.927","20.761","13.976","18.869","168.475"
"70","P","Joel Miller","1","2:32.788","2:32.788","Green","Pit","0.000","12.989","20.380","0.520","24.010","28.175","20.990","13.709","18.622","158.108"
"20","PC","Bruno Junqueira","1","2:33.455","2:33.455","Green","Track","84.243","13.433","21.308","0.503","24.272","29.762","21.469","12.039","4.693","163.451"
"73","GTD","Patrick Lindsey","1","2:34.569","2:34.569","Green","Track","312.803","14.079","22.211","0.519","24.868","31.177","22.391","13.040","4.958","158.412"
"52","PC","Tom Kimber-Smith","1","2:42.594","2:42.594","Green","Track","0.000","12.985","21.336","0.564","24.267","28.868","21.191","12.084","4.719","145.773"
"96","GTD","Jens Klingmann","1","2:42.859","2:42.859","Green","Track","309.780","14.470","24.070","0.618","25.976","33.158","22.816","12.595","4.925","133.035"
"4","GTLM","Tommy Milner","1","2:46.140","2:46.140","Green","Track","0.000","15.885","22.697","0.572","25.733","30.942","22.317","12.306","4.932","143.734"
"90","P","Marc Goossens","1","2:47.683","2:47.683","Green","Track","317.754","14.425","21.582","0.560","25.374","29.447","21.652","11.784","4.566","146.814"
"7","PC","Gustavo Yacaman","1","2:49.113","2:49.113","Green","Track","0.000","14.736","21.834","0.506","24.877","29.870","21.607","12.107","4.666","162.482"
"66","GTLM","Joey Hand","1","2:51.174","2:51.174","Green","Track","268.320","16.115","22.896","0.608","26.586","30.579","21.933","12.222","4.876","135.224"
"25","GTLM","Bill Auberlen","1","2:52.516","2:52.516","Green","Track","0.000","14.988","22.945","0.589","25.086","30.209","21.906","12.244","4.918","139.586"
"912","GTLM","Frederic Makowiecki","1","2:53.641","2:53.641","Green","Track","0.000","14.538","22.551","0.515","24.669","30.512","23.529","12.225","4.871","159.643"
"63","GTD","Alessandro Balzan","1","2:56.321","2:56.321","Green","Pit","0.000","14.918","23.359","0.636","27.038","33.353","23.412","15.723","18.493","129.270"
"100","GTLM","Lucas Luhr","1","2:57.317","2:57.317","Green","Track","0.000","15.393","24.381","0.617","25.103","30.276","22.487","12.288","4.900","133.251"
"911","GTLM","Nick Tandy","1","2:59.037","2:59.037","Green","Track","0.000","15.000","22.589","0.529","26.441","31.461","24.328","12.702","4.910","155.418"
"85","PC","Misha Goikhberg","1","3:00.687","3:00.687","Green","Track","0.000","14.281","24.167","0.716","27.231","31.821","22.721","12.146","4.755","114.827"
"97","GTD","Markus Palttala","1","3:02.666","3:02.666","Green","Track","0.000","14.412","22.316","0.535","25.402","31.553","23.012","12.633","4.955","153.675"
