"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"33","GTD","Ben Keating","1","2:35.242","2:35.242","Green","Track","0.000","14.193","22.284","0.538","25.833","31.828","23.228","12.859","4.899","152.818"
"63","GTD","Christina Nielsen","1","2:36.348","2:36.348","Green","Track","0.000","15.996","25.567","0.729","27.385","32.992","24.171","13.037","5.065","112.779"
"44","GTD","John Potter","1","2:38.760","2:38.760","Green","Track","0.000","15.940","24.666","0.608","28.040","33.539","23.705","13.114","5.068","135.224"
"96","GTD","Bret Curtis","1","2:43.561","2:43.561","Green","Track","0.000","14.466","23.366","0.566","26.679","35.113","23.147","12.894","4.929","145.258"
"97","GTD","Michael Marsal","1","2:43.755","2:43.755","Green","Track","0.000","14.356","22.740","0.628","29.590","32.015","22.301","12.678","4.930","130.917"
"6","GTD","Andrew Davis","1","3:05.310","3:05.310","Green","Track","0.000","17.231","24.766","0.606","26.152","31.766","23.138","12.453","4.980","135.670"
"80","GTD","Dan Knox","1","3:13.744","3:13.744","Green","Track","0.000","16.314","26.892","0.712","27.514","33.580","23.453","13.144","4.947","115.472"
"16","GTD","Spencer Pumpelly","1","3:26.850","3:26.850","Green","Track","0.000","15.109","30.153","0.987","26.661","36.959","25.492","12.474","4.924","83.299"
"48","GTD","Madison Snow","1","3:32.704","3:32.704","Green","Track","0.000","16.224","28.102","0.785","28.482","31.949","27.736","12.384","4.923","104.734"
"22","GTD","Cooper MacNeil","1","3:40.824","3:40.824","Green","Track","23.099","14.043","23.075","0.525","28.240","33.725","25.718","12.661","4.977","156.602"
"77","GTD","David MacNeil","1","3:48.280","3:48.280","Green","Track","23.182","15.177","23.470","0.546","26.497","33.043","23.815","13.603","5.046","150.579"
"27","GTD","Luca Persiani","1","4:13.579","4:13.579","Green","Track","0.000","15.606","22.967","0.553","25.985","31.796","23.035","12.739","4.964","148.673"
"9","GTD","Matt Bell","1","4:26.849","4:26.849","Green","Track","0.000","13.886","22.233","0.523","24.924","30.250","21.821","12.357","4.976","157.201"
