"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"55","P","Jonathan Bomarito","1","1:59.180","1:59.180","Green","Track","5.317","9.943","19.640","0.480","21.792","26.478","19.647","11.370","4.513","171.283"
"5","P","Christian Fittipaldi","1","2:00.420","2:00.420","Green","Track","5.320","10.117","19.642","0.474","22.100","26.996","19.735","11.290","4.524","173.451"
"10","P","Ricky Taylor","1","2:01.401","2:01.401","Green","Track","5.357","10.216","19.934","0.476","22.068","27.110","19.956","11.344","4.528","172.722"
"70","P","Tom Long","1","2:01.805","2:01.805","Green","Track","5.383","10.382","19.971","0.475","22.353","26.999","19.987","11.370","4.483","173.086"
"90","P","Marc Goossens","1","2:02.553","2:02.553","Green","Track","5.288","10.127","20.134","0.473","22.542","27.158","19.894","11.491","4.545","173.818"
"31","P","Eric Curran","1","2:03.240","2:03.240","Green","Track","5.302","10.385","20.096","0.472","22.826","27.467","19.961","11.406","4.511","174.186"
"0","P","Sean Rayhall","1","2:05.147","2:05.147","Green","Track","5.266","10.523","20.077","0.482","22.799","28.057","20.452","11.848","4.565","170.572"
"38","PC","James French","1","2:06.182","2:06.182","Green","Track","5.389","10.640","20.560","0.490","23.235","27.702","20.448","11.714","4.658","167.788"
"8","PC","Alex Popow","1","2:07.986","2:07.986","Green","Track","5.364","10.745","20.527","0.494","23.063","28.206","20.924","12.043","4.713","166.429"
"52","PC","Robert Alon","1","2:08.223","2:08.223","Green","Track","5.405","11.086","20.731","0.512","23.096","27.878","20.798","12.059","4.665","160.578"
"20","PC","Matthew McMurry","1","2:08.790","2:08.790","Green","Track","5.570","11.406","20.684","0.511","23.665","28.277","20.360","11.926","4.714","160.892"
"54","PC","Jonathan Bennett","1","2:10.020","2:10.020","Green","Track","5.500","10.841","21.152","0.504","23.761","28.431","20.838","11.849","4.725","163.127"
"85","PC","Misha Goikhberg","1","2:10.383","2:10.383","Green","Track","5.474","11.189","20.718","0.502","24.412","28.998","20.766","11.888","4.719","163.777"
"60","P","John Pew","1","2:11.010","2:11.010","Green","Track","5.650","11.179","20.656","0.527","24.663","28.548","20.570","11.869","4.489","156.007"
"26","PC","Don Yount","1","2:12.301","2:12.301","Green","Track","5.570","11.110","21.153","0.524","24.442","28.755","21.616","12.061","4.680","156.901"
"7","PC","Jose Gutierrez","1","2:12.642","2:12.642","Green","Track","5.438","11.348","21.155","0.517","24.892","28.571","21.253","12.214","4.687","159.025"
"88","PC","Mark Kvamme","1","2:14.700","2:14.700","Green","Track","5.609","11.599","21.139","0.521","24.742","29.393","21.478","12.368","4.753","157.804"
"911","GTLM","Patrick Pilet","1","2:34.894","2:34.894","Green","Track","5.898","10.515","20.987","0.508","22.842","28.543","20.841","12.041","4.896","161.842"
"62","GTLM","Giancarlo Fisichella","1","2:36.264","2:36.264","Green","Track","5.953","11.117","20.983","0.506","23.267","28.804","20.783","11.902","4.898","162.482"
"912","GTLM","Earl Bamber","1","2:37.423","2:37.423","Green","Track","5.948","11.321","21.400","0.505","23.101","28.784","21.133","12.264","4.913","162.804"
"3","GTLM","Antonio Garcia","1","2:37.563","2:37.563","Green","Track","5.861","11.224","21.527","0.506","23.421","28.974","20.919","12.115","4.825","162.482"
"66","GTLM","Dirk Mueller","1","2:37.578","2:37.578","Green","Track","5.945","10.959","21.239","0.507","23.119","28.786","21.939","12.370","5.041","162.162"
"4","GTLM","Oliver Gavin","1","2:38.278","2:38.278","Green","Track","5.896","11.428","21.348","0.503","23.563","29.135","21.053","12.143","4.871","163.451"
"23","GTD","Alex Riberas","1","2:41.289","2:41.289","Green","Track","5.973","11.386","21.433","0.514","24.111","29.694","21.715","12.445","4.987","159.953"
"6","GTD","Andrew Davis","1","2:41.718","2:41.718","Green","Track","5.987","11.470","21.495","0.508","24.196","29.971","21.449","12.492","4.955","161.842"
"33","GTD","Ben Keating","1","2:42.571","2:42.571","Green","Track","5.863","11.539","21.436","0.499","24.395","29.997","21.940","12.472","4.872","164.761"
"9","GTD","Matt Bell","1","2:42.954","2:42.954","Green","Track","5.970","11.615","21.739","0.511","24.183","30.251","21.764","12.515","4.959","160.892"
"63","GTD","Christina Nielsen","1","2:44.363","2:44.363","Green","Track","5.966","11.500","21.754","0.517","24.386","30.903","21.973","12.607","5.018","159.025"
"27","GTD","Luca Persiani","1","2:44.752","2:44.752","Green","Track","5.992","11.280","21.841","0.509","24.915","30.464","22.053","12.466","4.932","161.524"
"48","GTD","Madison Snow","1","2:45.105","2:45.105","Green","Track","6.056","11.501","21.643","0.532","25.028","30.718","21.735","12.620","4.923","154.541"
"96","GTD","Bret Curtis","1","2:47.238","2:47.238","Green","Track","5.886","11.666","22.027","0.507","24.789","31.019","22.486","13.047","4.979","162.162"
"67","GTLM","Ryan Briscoe","1","2:47.410","2:47.410","Green","Track","5.944","11.644","21.553","0.555","24.499","31.189","22.641","12.783","4.943","148.137"
"25","GTLM","Bill Auberlen","1","2:47.831","2:47.831","Green","Track","5.942","11.834","21.407","0.547","24.625","31.009","22.574","12.967","4.983","150.303"
"73","GTD","Patrick Lindsey","1","2:47.866","2:47.866","Green","Track","5.959","11.542","21.586","0.523","25.053","31.225","23.127","13.340","4.965","157.201"
"100","GTLM","Lucas Luhr","1","2:47.936","2:47.936","Green","Track","6.085","11.792","21.761","0.511","24.796","30.959","22.158","12.924","4.927","160.892"
"22","GTD","Cooper MacNeil","1","2:48.309","2:48.309","Green","Track","6.017","11.441","21.797","0.518","24.931","31.700","22.733","12.923","4.922","158.718"
"97","GTD","Michael Marsal","1","2:48.445","2:48.445","Green","Track","5.978","11.469","21.897","0.510","25.867","31.459","22.546","12.771","4.878","161.208"
"44","GTD","John Potter","1","2:48.966","2:48.966","Green","Track","6.142","12.126","22.127","0.522","24.683","31.154","22.437","12.906","4.985","157.502"
"80","GTD","Dan Knox","1","2:50.184","2:50.184","Green","Track","5.990","12.004","22.242","0.508","25.209","31.155","22.747","13.036","4.939","161.842"
"77","GTD","David MacNeil","1","2:52.769","2:52.769","Green","Track","6.091","12.311","22.849","0.552","25.812","32.007","23.456","13.279","5.030","148.942"
