"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP2"
"60","P","Oswaldo Negri Jr.","1","2:09.787","2:09.787","Green","Track","0.000","13.960","21.008","0.494","23.613","27.457","20.570","11.602","4.525","166.429"
"55","P","Tristan Nunez","1","2:16.143","2:16.143","Green","Track","0.000","13.222","21.198","0.553","24.557","28.989","21.545","11.984","4.524","148.673"
"0","P","Katherine Legge","1","2:21.316","2:21.316","Green","Track","0.000","15.250","21.916","0.563","25.105","28.733","20.644","11.745","4.533","146.032"
"90","P","Marc Goossens","1","2:21.770","2:21.770","Green","Track","753.284","13.376","21.551","0.571","25.519","28.596","20.663","11.601","4.499","143.986"
"44","GTD","Andy Lally","1","2:29.738","2:29.738","Green","Track","572.921","13.824","22.403","0.525","25.147","31.130","22.336","12.743","4.991","156.602"
"5","P","Christian Fittipaldi","1","2:30.000","2:30.000","Green","Pit","0.000","14.897","21.357","0.631","25.268","29.048","21.599","13.129","18.634","130.295"
"77","GTD","Gunnar Jeannette","1","2:34.175","2:34.175","Green","Track","366.203","14.195","22.359","0.541","25.622","30.711","22.060","12.504","4.963","151.970"
"8","PC","Renger van der Zande","1","2:35.082","2:35.082","Green","Track","0.000","13.598","21.772","0.522","24.871","29.033","20.926","11.854","4.678","157.502"
"4","GTLM","Oliver Gavin","1","2:39.252","2:39.252","Green","Track","0.000","15.893","22.954","0.545","24.930","30.212","21.915","12.330","4.915","150.855"
"10","P","Ricky Taylor","1","2:40.817","2:40.817","Green","Pit","0.000","14.494","22.912","0.586","25.416","29.490","21.589","14.460","18.552","140.300"
"3","GTLM","Jan Magnussen","1","2:43.494","2:43.494","Green","Track","820.992","17.217","23.044","0.577","25.340","30.667","22.215","12.504","4.950","142.489"
"67","GTLM","Ryan Briscoe","1","2:44.641","2:44.641","Green","Track","456.836","16.286","22.838","0.598","25.449","30.576","21.766","12.299","4.895","137.485"
"85","PC","Stephen Simpson","1","2:45.954","2:45.954","Green","Track","0.000","13.250","21.704","0.608","25.927","29.421","21.388","12.178","4.730","135.224"
"100","GTLM","Lucas Luhr","1","2:46.979","2:46.979","Green","Pit","0.000","14.270","23.147","0.539","27.025","33.119","24.143","14.880","18.379","152.534"
"911","GTLM","Patrick Pilet","1","2:48.925","2:48.925","Green","Track","0.000","13.482","22.011","0.535","25.694","30.863","21.826","12.274","4.909","153.675"
"25","GTLM","Bill Auberlen","1","2:50.710","2:50.710","Green","Track","0.000","13.794","23.348","0.571","27.490","32.280","22.310","12.261","4.930","143.986"
"20","PC","Matthew McMurry","1","2:51.972","2:51.972","Green","Pit","454.935","15.151","22.775","0.564","27.327","30.315","22.575","15.644","18.847","145.773"
"31","P","Dane Cameron","1","2:52.567","2:52.567","Green","Pit","0.000","13.568","21.284","0.537","24.834","29.501","21.680","15.813","18.653","153.102"
"33","GTD","Jeroen Bleekemolen","1","2:53.666","2:53.666","Green","Track","0.000","14.537","22.570","0.529","25.377","31.585","22.475","12.928","4.880","155.418"
"26","PC","Johnny Mowlem","1","2:58.067","2:58.067","Green","Track","723.488","15.640","22.656","0.661","26.744","30.337","22.498","12.461","4.700","124.381"
"9","GTD","Lawson Aschenbach","1","2:59.310","2:59.310","Green","Track","791.760","15.995","23.831","0.598","25.731","31.572","24.776","12.643","4.984","137.485"
"7","PC","Jose Gutierrez","1","3:00.136","3:00.136","Green","Pit","0.000","15.166","22.566","0.548","26.091","30.405","21.993","14.239","18.958","150.029"
"16","GTD","Corey Lewis","1","3:00.369","3:00.369","Green","Track","559.638","14.274","22.756","0.612","26.377","31.951","22.350","12.629","4.945","134.340"
"912","GTLM","Earl Bamber","1","3:00.580","3:00.580","Green","Pit","0.000","13.614","22.942","0.522","24.648","30.337","21.758","13.916","18.558","157.502"
"38","PC","James French","1","3:00.949","3:00.949","Green","Track","844.287","13.425","21.526","0.531","25.956","29.296","21.947","11.917","4.662","154.832"
"80","GTD","Mike Skeen","1","3:00.972","3:00.972","Green","Track","0.000","14.361","22.992","0.522","24.846","31.210","22.332","12.675","4.907","157.502"
"48","GTD","Madison Snow","1","3:04.778","3:04.778","Green","Track","0.000","14.521","23.051","0.544","25.715","31.599","26.544","12.454","4.946","151.132"
"22","GTD","Cooper MacNeil","1","3:09.555","3:09.555","Green","Track","23.752","14.360","23.150","0.523","25.562","31.572","23.312","13.172","5.025","157.201"
"73","GTD","Patrick Lindsey","1","3:09.738","3:09.738","Green","Track","838.602","14.126","22.928","0.557","25.920","31.107","22.653","12.873","4.930","147.605"
"88","PC","Mark Kvamme","1","3:11.643","3:11.643","Green","Pit","0.000","16.920","23.860","0.606","27.206","33.666","23.882","17.007","19.031","135.670"
"27","GTD","Cedric Sbirrazzuoli","1","3:11.840","3:11.840","Green","Track","0.000","14.574","23.968","0.617","27.736","33.311","26.453","13.626","5.024","133.251"
"6","GTD","Andrew Davis","1","3:17.725","3:17.725","Green","Track","829.644","18.564","24.968","0.593","26.173","31.264","22.372","12.502","4.984","138.644"
"62","GTLM","Giancarlo Fisichella","1","3:22.259","3:22.259","Green","Track","0.000","13.541","22.018","0.522","23.981","30.047","21.697","12.067","4.915","157.502"
"96","GTD","Jens Klingmann","1","3:30.339","3:30.339","Green","Track","868.527","16.053","24.680","0.621","25.686","30.745","22.371","12.458","4.947","132.393"
"66","GTLM","Dirk Mueller","1","3:32.583","3:32.583","Green","Track","591.347","17.047","22.312","0.519","24.561","29.621","21.164","12.045","4.898","158.412"
"97","GTD","Markus Palttala","1","3:39.025","3:39.025","Green","Track","0.000","16.662","25.424","0.626","27.297","32.894","23.360","13.065","4.989","131.335"
"54","PC","Colin Braun","1","3:42.428","3:42.428","Green","Track","0.000","13.277","21.466","0.505","23.568","28.266","23.176","11.941","4.693","162.804"
"52","PC","Robert Alon","1","3:44.019","3:44.019","Green","Track","0.000","14.428","22.318","0.580","25.033","28.950","22.123","12.035","4.694","141.752"
"23","GTD","Alex Riberas","1","3:54.948","3:54.948","Green","Pit","23.823","14.333","24.865","0.755","27.632","31.677","23.438","16.140","48.184","108.895"
"70","P","Tom Long","1","4:07.382","4:07.382","Green","Pit","0.000","15.459","22.580","0.550","25.184","29.107","21.540","14.191","18.849","149.483"
"60","P","Oswaldo Negri Jr.","2","1:59.394","4:09.181","Green","Track","5.083","9.891","19.680","0.481","22.027","26.603","19.861","11.278","4.490","170.927"
"55","P","Tristan Nunez","2","1:59.599","4:15.742","Green","Track","5.088","10.111","19.710","0.482","22.219","26.435","19.724","11.339","4.491","170.572"
"0","P","Katherine Legge","2","2:01.565","4:22.881","Green","Track","5.083","9.761","19.641","0.484","23.151","27.439","19.986","11.512","4.508","169.868"
"90","P","Marc Goossens","2","2:03.088","4:24.858","Green","Track","4.980","9.792","19.586","0.470","24.989","27.621","19.778","11.360","4.512","174.927"
"8","PC","Renger van der Zande","2","2:02.588","4:37.670","Green","Track","5.256","9.968","20.438","0.501","22.207","27.550","20.178","11.814","4.676","164.104"
"44","GTD","Andy Lally","2","2:08.291","4:38.029","Green","Track","5.509","10.425","21.154","0.517","23.204","28.983","21.240","12.296","4.963","159.025"
"77","GTD","Gunnar Jeannette","2","2:09.336","4:43.511","Green","Track","5.493","10.478","21.336","0.514","23.438","29.584","21.339","12.216","4.938","159.953"
"4","GTLM","Oliver Gavin","2","2:06.709","4:45.961","Green","Track","5.443","10.331","20.805","0.510","22.854","28.751","21.112","12.025","4.878","161.208"
"67","GTLM","Ryan Briscoe","2","2:06.182","4:50.823","Green","Track","5.407","10.372","20.683","0.508","22.766","28.619","21.017","11.929","4.881","161.842"
"85","PC","Stephen Simpson","2","2:05.611","4:51.565","Green","Track","5.286","10.265","20.022","0.498","22.795","28.412","21.775","11.849","4.709","165.092"
"3","GTLM","Jan Magnussen","2","2:08.338","4:51.832","Green","Track","5.466","10.401","20.938","0.511","22.975","29.042","21.887","12.202","4.916","160.892"
"911","GTLM","Patrick Pilet","2","2:06.645","4:55.570","Green","Track","5.434","10.168","20.849","0.510","22.790","28.737","21.167","12.096","4.894","161.208"
"25","GTLM","Bill Auberlen","2","2:07.467","4:58.177","Green","Track","5.499","10.341","21.085","0.518","22.982","28.817","21.208","12.085","4.932","158.718"
"33","GTD","Jeroen Bleekemolen","2","2:10.352","5:04.018","Green","Track","5.366","10.636","21.000","0.502","23.579","30.209","21.800","12.423","4.837","163.777"
"26","PC","Johnny Mowlem","2","2:07.542","5:05.609","Green","Track","5.265","10.449","20.797","0.496","24.104","28.711","21.100","11.951","4.669","165.758"
"9","GTD","Lawson Aschenbach","2","2:10.670","5:09.980","Green","Track","5.490","10.649","21.069","0.513","23.496","30.651","21.507","12.328","4.967","160.265"
"16","GTD","Corey Lewis","2","2:11.380","5:11.749","Green","Track","5.411","10.753","21.686","0.515","23.694","30.277","21.625","12.486","4.933","159.643"
"80","GTD","Mike Skeen","2","2:11.367","5:12.339","Green","Track","5.417","10.786","21.151","0.506","24.010","30.171","22.039","12.408","4.879","162.482"
"48","GTD","Madison Snow","2","2:09.804","5:14.582","Green","Track","5.427","10.693","21.307","0.509","23.267","29.810","21.591","12.280","4.920","161.524"
"73","GTD","Patrick Lindsey","2","2:09.622","5:19.360","Green","Track","5.425","10.766","21.223","0.514","23.358","29.526","21.549","12.336","4.925","159.953"
"22","GTD","Cooper MacNeil","2","2:11.133","5:20.688","Green","Track","5.520","11.000","21.378","0.512","23.579","30.020","21.774","12.394","4.956","160.578"
