"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP4"
"55","P","Spencer Pigot","1","1:30.589","1:30.589","Green","Track","0.000","6.327","24.925","22.567","7.119","0.529","19.515","0.922","163.688"
"60","P","John Pew","1","1:45.479","1:45.479","Green","Track","0.000","6.496","28.549","25.082","7.470","0.586","22.640","0.992","147.766"
"2","P","Johannes van Overbeek","1","1:45.993","1:45.993","Green","Track","0.000","6.438","28.239","23.709","7.193","0.533","21.036","0.943","162.459"
"70","P","Joel Miller","1","1:47.181","1:47.181","Green","Pit","0.000","5.955","26.746","23.422","7.130","0.527","21.553","9.420","164.309"
"20","PC","Tomy Drissi","1","1:47.974","1:47.974","Green","Track","0.000","6.362","27.964","24.780","7.484","0.553","21.000","1.028","156.584"
"68","GTLM","Daniel Serra","1","1:48.747","1:48.747","Green","Track","343.393","6.512","27.710","23.936","7.660","0.567","21.075","1.010","152.718"
"90","P","Marc Goossens","1","1:49.812","1:49.812","Green","Pit","0.000","6.180","27.974","23.149","7.247","0.534","20.697","9.568","162.155"
"10","P","Ricky Taylor","1","1:49.992","1:49.992","Green","Track","0.000","6.738","28.982","26.073","8.185","0.628","22.222","0.994","137.884"
"38","PC","Kenton Koch","1","1:52.523","1:52.523","Green","Track","158.574","5.552","28.243","23.357","7.954","0.574","20.237","0.933","150.855"
"44","GTD","Andy Lally","1","1:54.391","1:54.391","Green","Track","334.872","6.456","28.231","24.704","8.618","0.651","22.096","1.005","133.012"
"5","P","Joao Barbosa","1","1:56.132","1:56.132","Green","Track","0.000","5.724","26.803","22.278","7.138","0.529","20.561","0.875","163.688"
"9","GTD","Matt Bell","1","1:58.284","1:58.284","Green","Track","326.856","6.846","29.957","25.693","8.143","0.597","22.324","1.008","145.043"
"31","P","Eric Curran","1","1:58.624","1:58.624","Green","Track","0.000","6.106","27.041","23.777","7.208","0.528","21.513","0.986","163.998"
"3","GTLM","Antonio Garcia","1","2:01.113","2:01.113","Green","Track","0.000","6.210","27.132","23.434","7.695","0.566","21.183","0.965","152.987"
"88","PC","Richard Bradley","1","2:02.266","2:02.266","Green","Track","0.000","6.756","27.157","23.115","7.433","0.548","20.874","0.927","158.013"
"8","PC","Alex Popow","1","2:03.918","2:03.918","Green","Track","0.000","6.767","27.814","24.643","7.510","0.556","21.103","0.960","155.739"
"63","GTD","Alessandro Balzan","1","2:05.146","2:05.146","Green","Pit","339.369","6.878","31.323","24.926","7.714","0.565","22.831","9.436","153.258"
"7","PC","James Dayson","1","2:05.573","2:05.573","Green","Track","0.000","6.426","27.129","24.008","7.611","0.594","21.967","1.066","145.776"
"52","PC","Robert Alon","1","2:05.928","2:05.928","Green","Track","0.000","6.387","26.900","24.138","7.350","0.551","21.936","1.014","157.152"
"912","GTLM","Earl Bamber","1","2:07.278","2:07.278","Green","Track","0.000","6.687","26.777","23.290","7.608","0.563","20.430","0.968","153.803"
"911","GTLM","Nick Tandy","1","2:07.863","2:07.863","Green","Track","0.000","6.437","26.836","23.072","7.658","0.559","20.339","1.008","154.903"
"4","GTLM","Tommy Milner","1","2:09.594","2:09.594","Green","Pit","0.000","5.969","27.212","23.873","7.716","0.563","21.695","9.393","153.803"
"67","GTLM","Scott Dixon","1","2:10.021","2:10.021","Green","Track","226.699","6.914","26.387","23.606","9.646","0.735","21.515","0.975","117.811"
"25","GTLM","Bill Auberlen","1","2:15.213","2:15.213","Green","Track","0.000","6.286","29.523","23.789","7.967","0.602","21.737","0.999","143.839"
"100","GTLM","Lucas Luhr","1","2:15.824","2:15.824","Green","Track","0.000","6.084","29.196","24.399","7.659","0.564","21.297","0.990","153.530"
"33","GTD","Jeroen Bleekemolen","1","2:17.812","2:17.812","Green","Track","0.000","7.685","32.905","26.474","7.584","0.582","22.573","1.012","148.782"
"48","GTD","Bryce Miller","1","2:19.653","2:19.653","Green","Track","0.000","6.013","30.939","25.486","7.708","0.556","22.667","1.140","155.739"
"85","PC","Chris Miller","1","2:23.158","2:23.158","Green","Pit","0.000","5.953","28.683","24.413","7.368","0.543","23.080","9.714","159.468"
"23","GTD","Ian James","1","2:26.276","2:26.276","Green","Track","0.000","7.109","29.751","25.197","8.412","0.698","23.391","1.139","124.056"
"6","GTD","Andrew Davis","1","2:27.789","2:27.789","Green","Track","0.000","7.400","29.841","26.350","9.224","0.696","24.289","1.142","124.412"
"97","GTD","Cameron Lawrence","1","2:28.844","2:28.844","Green","Track","0.000","6.243","28.702","24.175","8.873","0.761","24.327","1.081","113.786"
"96","GTD","Jens Klingmann","1","2:34.328","2:34.328","Green","Track","0.000","6.777","32.748","32.488","7.935","0.577","20.441","0.961","150.071"
"62","GTLM","Toni Vilander","1","2:40.381","2:40.381","Green","Track","0.000","6.381","25.402","23.153","8.176","0.602","21.051","1.014","143.839"
"27","GTD","Luca Persiani","1","2:44.805","2:44.805","Green","Track","23.723","7.271","30.136","26.946","7.940","0.632","23.575","1.127","137.011"
"66","GTLM","Dirk Mueller","1","2:47.214","2:47.214","Green","Track","449.633","5.451","24.756","22.209","7.622","0.555","19.821","0.922","156.020"
"73","GTD","Patrick Lindsey","1","2:48.549","2:48.549","Green","Track","25.220","6.052","27.124","24.218","7.768","0.569","22.460","1.055","152.181"
"55","P","Spencer Pigot","2","1:18.479","2:49.068","Green","Track","6.058","3.743","21.482","20.630","7.009","0.520","18.190","0.847","166.521"
"16","GTD","Corey Lewis","1","2:54.979","2:54.979","Green","Track","24.233","6.207","26.382","23.584","7.628","0.553","20.296","0.989","156.584"
