"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP4"
"33","GTD","Jeroen Bleekemolen","1","1:41.825","1:41.825","Green","Track","0.000","6.913","28.569","24.299","7.617","0.555","21.246","1.004","156.020"
"63","GTD","Christina Nielsen","1","1:42.486","1:42.486","Green","Track","0.000","7.228","28.873","23.880","7.747","0.565","21.140","1.034","153.258"
"6","GTD","Robin Liddell","1","1:47.630","1:47.630","Green","Track","0.000","7.876","27.650","26.367","8.155","0.586","22.182","1.001","147.766"
"9","GTD","Lawson Aschenbach","1","1:51.357","1:51.357","Green","Track","0.000","6.517","29.088","26.541","8.785","0.678","22.968","1.002","127.715"
"48","GTD","Madison Snow","1","1:54.943","1:54.943","Green","Track","0.000","6.501","27.506","26.496","9.278","0.683","23.934","0.981","126.780"
"23","GTD","Mario Farnbacher","1","1:57.512","1:57.512","Green","Track","0.000","5.959","29.317","26.989","8.951","0.609","22.096","0.959","142.185"
"97","GTD","Michael Marsal","1","1:59.027","1:59.027","Green","Track","0.000","6.485","27.735","24.711","8.414","0.607","23.206","1.077","142.654"
"96","GTD","Bret Curtis","1","2:01.851","2:01.851","Green","Track","0.000","5.870","28.096","26.303","9.747","0.792","24.886","1.088","109.332"
"27","GTD","Paolo Ruberti","1","2:07.689","2:07.689","Green","Track","23.673","6.182","29.058","24.747","9.385","0.740","24.835","1.007","117.015"
"44","GTD","John Potter","1","2:34.277","2:34.277","Green","Track","0.000","6.272","30.535","26.612","7.862","0.573","21.228","1.021","151.119"
"16","GTD","Corey Lewis","1","2:46.797","2:46.797","Green","Track","24.163","6.109","26.220","23.781","7.697","0.568","21.428","1.006","152.449"
"33","GTD","Jeroen Bleekemolen","2","1:24.928","3:06.753","Green","Track","6.304","4.133","23.299","22.308","7.516","0.550","19.884","0.934","157.438"
"63","GTD","Christina Nielsen","2","1:26.324","3:08.810","Green","Track","6.615","4.257","23.777","22.405","7.625","0.561","20.127","0.957","154.351"
"73","GTD","Matthew McMurry","1","3:11.410","3:11.410","Green","Track","23.854","6.368","26.650","24.572","9.306","0.710","22.110","0.991","121.959"
"6","GTD","Robin Liddell","2","1:29.510","3:17.140","Green","Track","6.350","4.016","23.505","22.724","8.214","0.699","23.046","0.956","123.878"
"9","GTD","Lawson Aschenbach","2","1:28.294","3:19.651","Green","Track","6.454","4.128","23.719","22.567","7.682","0.561","22.237","0.946","154.351"
"48","GTD","Madison Snow","2","1:26.648","3:21.591","Green","Track","6.412","4.040","23.026","22.673","7.537","0.553","21.471","0.936","156.584"
"23","GTD","Mario Farnbacher","2","1:27.339","3:24.851","Green","Track","6.197","3.927","21.962","21.977","8.632","0.760","22.961","0.923","113.935"
"97","GTD","Michael Marsal","2","1:27.885","3:26.912","Green","Track","6.744","4.476","24.125","22.840","7.627","0.558","20.525","0.990","155.181"
"96","GTD","Bret Curtis","2","1:28.311","3:30.162","Green","Track","7.466","4.477","24.185","22.577","7.612","0.559","20.436","0.999","154.903"
"27","GTD","Paolo Ruberti","2","1:27.136","3:34.825","Green","Track","6.444","4.153","24.323","22.664","7.947","0.575","20.069","0.961","150.593"
"44","GTD","John Potter","2","1:27.809","4:02.086","Green","Track","6.697","4.209","24.313","23.175","7.757","0.565","20.128","0.965","153.258"
"16","GTD","Corey Lewis","2","1:24.503","4:11.300","Green","Track","6.351","4.135","22.874","22.336","7.611","0.554","19.690","0.952","156.301"
"33","GTD","Jeroen Bleekemolen","3","1:22.032","4:28.785","Green","Track","5.984","3.992","22.163","21.744","7.486","0.549","19.173","0.941","157.725"
"63","GTD","Christina Nielsen","3","1:24.015","4:32.825","Green","Track","6.326","4.106","22.827","22.093","7.597","0.556","19.566","0.944","155.739"
"73","GTD","Matthew McMurry","2","1:24.139","4:35.549","Green","Track","6.285","4.188","22.832","22.034","7.565","0.555","19.734","0.946","156.020"
"6","GTD","Robin Liddell","3","1:23.303","4:40.443","Green","Track","6.116","3.856","22.450","22.027","7.682","0.563","19.676","0.933","153.803"
"9","GTD","Lawson Aschenbach","3","1:23.760","4:43.411","Green","Track","6.185","3.961","22.885","22.100","7.650","0.559","19.494","0.926","154.903"
"48","GTD","Madison Snow","3","1:24.465","4:46.056","Green","Track","6.126","3.950","22.056","22.098","8.200","0.655","20.461","0.919","132.200"
"23","GTD","Mario Farnbacher","3","1:22.003","4:46.854","Green","Track","6.080","3.848","21.902","21.829","7.565","0.553","19.310","0.916","156.584"
"97","GTD","Michael Marsal","3","1:25.147","4:52.059","Green","Track","6.461","4.107","23.123","22.423","7.607","0.556","19.902","0.968","155.739"
"96","GTD","Bret Curtis","3","1:24.607","4:54.769","Green","Track","6.311","3.990","22.973","22.425","7.601","0.558","19.800","0.949","155.181"
"27","GTD","Paolo Ruberti","3","1:23.487","4:58.312","Green","Track","6.232","4.039","22.554","22.197","7.586","0.555","19.381","0.943","156.020"
"44","GTD","John Potter","3","1:24.499","5:26.585","Green","Track","6.290","3.957","22.503","22.492","7.728","0.565","20.018","0.946","153.258"
"16","GTD","Corey Lewis","3","1:23.013","5:34.313","Green","Track","6.108","3.954","22.278","22.171","7.588","0.553","19.408","0.953","156.584"
"33","GTD","Jeroen Bleekemolen","4","1:21.609","5:50.394","Green","Track","5.995","3.929","21.788","21.645","7.475","0.548","19.310","0.919","158.013"
"63","GTD","Christina Nielsen","4","1:22.702","5:55.527","Green","Track","6.173","3.950","22.253","21.901","7.591","0.558","19.356","0.920","155.181"
"73","GTD","Matthew McMurry","3","1:22.776","5:58.325","Green","Track","6.113","3.918","22.190","22.003","7.566","0.552","19.493","0.941","156.868"
"6","GTD","Robin Liddell","4","1:22.868","6:03.311","Green","Track","6.028","3.833","22.184","22.218","7.701","0.563","19.413","0.928","153.803"
"9","GTD","Lawson Aschenbach","4","1:22.337","6:05.748","Green","Track","6.026","3.830","21.883","22.089","7.657","0.558","19.388","0.906","155.181"
"48","GTD","Madison Snow","4","1:22.143","6:08.199","Green","Track","6.071","3.839","21.938","22.003","7.543","0.548","19.297","0.904","158.013"
"23","GTD","Mario Farnbacher","4","1:21.898","6:08.752","Green","Track","6.042","3.864","21.736","21.892","7.539","0.550","19.343","0.932","157.438"
"97","GTD","Michael Marsal","4","1:24.172","6:16.231","Green","Track","6.344","3.941","22.537","22.302","7.628","0.557","19.894","0.969","155.459"
"96","GTD","Bret Curtis","4","1:23.504","6:18.273","Green","Track","6.060","3.938","22.507","22.274","7.607","0.556","19.624","0.938","155.739"
"27","GTD","Paolo Ruberti","4","1:23.171","6:21.483","Green","Track","6.054","4.003","22.374","22.143","7.600","0.555","19.500","0.942","156.020"
"44","GTD","John Potter","4","1:23.699","6:50.284","Green","Track","6.196","3.922","22.311","22.294","7.726","0.565","19.738","0.947","153.258"
"16","GTD","Corey Lewis","4","1:22.488","6:56.801","Green","Track","6.108","3.898","21.916","22.086","7.588","0.551","19.410","0.931","157.152"
"33","GTD","Jeroen Bleekemolen","5","1:21.305","7:11.699","Green","Track","5.902","3.872","21.651","21.707","7.483","0.548","19.220","0.922","158.013"
