"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP4"
"60","P","Olivier Pla","1","1:15.291","1:15.291","Green","Track","5.804","3.510","19.858","20.019","6.994","0.517","17.771","0.817","167.487"
"55","P","Tristan Nunez","1","1:16.357","1:16.357","Green","Track","5.949","3.685","20.077","20.200","6.990","0.519","17.996","0.821","166.842"
"31","P","Dane Cameron","1","1:17.724","1:17.724","Green","Track","5.983","3.776","20.486","20.503","7.117","0.530","18.179","0.829","163.379"
"70","P","Tom Long","1","1:18.718","1:18.718","Green","Track","5.995","3.922","21.219","20.530","6.998","0.522","18.241","0.825","165.883"
"5","P","Christian Fittipaldi","1","1:19.366","1:19.366","Green","Track","6.017","4.113","21.093","20.814","7.066","0.520","18.306","0.832","166.521"
"90","P","Ryan Dalziel","1","1:19.770","1:19.770","Green","Track","6.170","4.001","21.354","20.717","7.072","0.522","18.362","0.835","165.883"
"2","P","Johannes van Overbeek","1","1:20.407","1:20.407","Green","Track","5.997","4.153","21.787","20.627","7.056","0.527","18.318","0.834","164.309"
"0","P","Katherine Legge","1","1:21.226","1:21.226","Green","Track","6.142","4.258","22.158","20.535","6.801","0.507","18.848","0.886","170.791"
"10","P","Ricky Taylor","1","1:23.746","1:23.746","Green","Track","6.270","4.038","22.828","21.359","7.082","0.520","18.372","0.833","166.521"
"8","PC","Alex Popow","1","1:24.853","1:24.853","Green","Track","6.351","4.169","22.732","22.083","7.331","0.542","19.458","0.863","159.762"
"38","PC","Kenton Koch","1","1:25.297","1:25.297","Green","Track","6.427","4.149","22.958","21.758","7.388","0.543","19.581","0.870","159.468"
"52","PC","Robert Alon","1","1:25.560","1:25.560","Green","Track","6.389","4.167","22.795","22.022","7.285","0.554","20.037","0.856","156.301"
"7","PC","Stefano Coletti","1","1:25.828","1:25.828","Green","Track","6.551","4.125","23.072","22.174","7.234","0.537","19.587","0.876","161.249"
"85","PC","Chris Miller","1","1:26.104","1:26.104","Green","Track","6.454","4.211","23.510","21.728","7.138","0.525","19.710","0.941","164.935"
"20","PC","Tomy Drissi","1","1:26.972","1:26.972","Green","Track","6.530","4.317","24.043","21.502","7.249","0.537","19.270","0.889","161.249"
"88","PC","Mark Kvamme","1","1:28.163","1:28.163","Green","Track","6.713","4.244","24.034","22.474","7.285","0.538","19.682","0.924","160.950"
"67","GTLM","Richard Westbrook","1","1:43.315","1:43.315","Green","Track","6.357","3.843","21.932","21.594","7.639","0.562","19.109","0.894","154.076"
"3","GTLM","Antonio Garcia","1","1:43.979","1:43.979","Green","Track","6.415","4.018","21.862","21.643","7.522","0.551","19.421","0.887","157.152"
"62","GTLM","Toni Vilander","1","1:44.302","1:44.302","Green","Track","6.472","4.017","21.721","21.721","7.519","0.553","19.463","0.915","156.584"
"68","GTLM","Daniel Serra","1","1:44.951","1:44.951","Green","Track","6.538","4.211","22.403","21.577","7.606","0.558","18.991","0.885","155.181"
"66","GTLM","Joey Hand","1","1:45.296","1:45.296","Green","Track","6.419","4.393","22.791","21.569","7.508","0.548","19.177","0.896","158.013"
"4","GTLM","Tommy Milner","1","1:45.818","1:45.818","Green","Track","6.557","4.200","22.807","21.635","7.521","0.549","19.197","0.885","157.725"
"100","GTLM","John Edwards","1","1:46.292","1:46.292","Green","Track","6.501","4.363","22.982","21.710","7.519","0.550","19.296","0.887","157.438"
"912","GTLM","Earl Bamber","1","1:46.774","1:46.774","Green","Track","6.600","4.267","23.091","21.692","7.471","0.545","19.499","0.916","158.882"
"911","GTLM","Nick Tandy","1","1:47.157","1:47.157","Green","Track","6.390","4.233","23.459","21.864","7.533","0.549","19.327","0.927","157.725"
"25","GTLM","Bill Auberlen","1","1:47.345","1:47.345","Green","Track","6.666","4.393","23.402","21.796","7.495","0.548","19.355","0.883","158.013"
"33","GTD","Jeroen Bleekemolen","1","1:48.894","1:48.894","Green","Track","6.621","4.407","24.221","21.888","7.422","0.542","19.630","0.942","159.762"
"73","GTD","Matthew McMurry","1","1:50.214","1:50.214","Green","Track","6.649","4.349","24.332","22.298","7.611","0.556","20.007","0.969","155.739"
"6","GTD","Robin Liddell","1","1:51.229","1:51.229","Green","Track","6.519","4.164","24.387","22.533","7.748","0.563","20.298","0.988","153.803"
"23","GTD","Mario Farnbacher","1","1:51.489","1:51.489","Green","Track","6.675","4.308","24.637","22.427","7.596","0.557","20.672","1.004","155.459"
"63","GTD","Christina Nielsen","1","1:51.649","1:51.649","Green","Track","6.765","4.472","24.495","22.693","7.598","0.555","20.214","1.000","156.020"
"9","GTD","Lawson Aschenbach","1","1:51.875","1:51.875","Green","Track","6.851","4.557","24.469","22.776","7.563","0.550","20.141","1.009","157.438"
"48","GTD","Madison Snow","1","1:52.339","1:52.339","Green","Track","6.711","4.535","24.660","22.705","7.524","0.545","20.446","0.948","158.882"
"16","GTD","Corey Lewis","1","1:52.623","1:52.623","Green","Track","6.704","4.463","24.751","22.841","7.532","0.546","20.436","0.988","158.591"
"27","GTD","Paolo Ruberti","1","1:52.904","1:52.904","Green","Track","6.688","4.505","24.691","22.827","7.570","0.549","20.238","0.984","157.725"
"96","GTD","Bret Curtis","1","1:53.437","1:53.437","Green","Track","6.823","4.749","24.770","22.656","7.585","0.553","20.225","0.988","156.584"
"44","GTD","John Potter","1","1:53.925","1:53.925","Green","Track","6.872","4.581","24.881","22.802","7.680","0.559","20.186","0.945","154.903"
"97","GTD","Michael Marsal","1","1:54.514","1:54.514","Green","Track","6.968","4.558","25.217","22.779","7.657","0.557","20.222","0.978","155.459"
"60","P","Olivier Pla","2","1:13.778","2:29.069","Green","Track","5.424","3.293","19.139","19.824","6.993","0.518","17.771","0.816","167.164"
"55","P","Tristan Nunez","2","1:14.525","2:30.882","Green","Track","5.515","3.350","19.549","20.050","6.984","0.520","17.738","0.819","166.521"
"31","P","Dane Cameron","2","1:15.361","2:33.085","Green","Track","5.509","3.386","19.622","20.424","7.141","0.525","17.927","0.827","164.935"
"70","P","Tom Long","2","1:15.594","2:34.312","Green","Track","5.516","3.352","20.080","20.287","6.974","0.519","18.043","0.823","166.842"
"5","P","Christian Fittipaldi","2","1:15.921","2:35.287","Green","Track","5.509","3.522","20.115","20.388","7.060","0.519","17.983","0.825","166.842"
"90","P","Ryan Dalziel","2","1:16.225","2:35.995","Green","Track","5.554","3.488","20.213","20.426","7.071","0.521","18.124","0.828","166.201"
