"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","SP4"
"66","GTLM","Joey Hand","1","1:41.182","1:41.182","Green","Track","186.225","6.231","28.079","23.578","7.645","0.577","21.237","1.009","150.071"
"9","GTD","Lawson Aschenbach","1","1:42.890","1:42.890","Green","Track","201.080","6.938","30.381","24.642","7.978","0.613","22.719","1.048","141.258"
"90","P","Marc Goossens","1","1:46.890","1:46.890","Green","Pit","541.908","7.239","28.508","24.504","7.287","0.534","22.129","9.584","162.155"
"3","GTLM","Mike Rockenfeller","1","1:54.578","1:54.578","Green","Track","820.496","7.101","29.271","24.726","7.721","0.645","22.758","1.001","134.249"
"88","PC","Maxwell Hanratty","1","1:58.908","1:58.908","Green","Track","0.000","7.239","29.567","24.663","7.769","0.700","24.490","1.070","123.701"
"33","GTD","Jeroen Bleekemolen","1","2:01.304","2:01.304","Green","Track","0.000","7.198","30.110","24.839","8.135","0.599","24.168","1.116","144.559"
"85","PC","Chris Miller","1","2:02.329","2:02.329","Green","Track","0.000","6.525","28.946","24.589","7.335","0.542","22.119","1.017","159.762"
"25","GTLM","Bill Auberlen","1","2:03.210","2:03.210","Green","Track","0.000","6.350","29.404","23.813","7.552","0.559","21.605","1.004","154.903"
"5","P","Filipe Albuquerque","1","2:03.704","2:03.704","Green","Pit","0.000","6.750","29.935","24.633","7.237","0.640","25.030","9.463","135.298"
"911","GTLM","Richard Lietz","1","2:04.581","2:04.581","Green","Track","662.174","7.167","29.264","25.581","7.666","0.581","23.216","1.070","149.038"
"4","GTLM","Tommy Milner","1","2:04.767","2:04.767","Green","Pit","825.141","6.540","29.845","25.345","7.916","0.623","24.224","9.407","138.990"
"10","P","Ricky Taylor","1","2:04.970","2:04.970","Green","Track","638.507","6.738","29.392","26.558","8.386","0.651","23.466","1.080","133.012"
"48","GTD","Bryan Sellers","1","2:05.855","2:05.855","Green","Track","0.000","6.536","29.838","25.275","7.604","0.553","22.953","1.057","156.584"
"912","GTLM","Earl Bamber","1","2:08.011","2:08.011","Green","Pit","662.824","6.647","29.165","24.510","7.541","0.553","22.190","9.429","156.584"
"2","P","Luis Felipe Derani","1","2:09.425","2:09.425","Green","Track","0.000","6.899","28.520","23.962","7.454","0.556","22.320","1.044","155.739"
"68","GTLM","Daniel Serra","1","2:09.882","2:09.882","Green","Pit","0.000","7.003","29.329","25.086","7.849","0.632","23.372","9.416","137.011"
"62","GTLM","Toni Vilander","1","2:11.125","2:11.125","Green","Track","477.787","6.833","29.490","24.534","7.697","0.562","21.465","1.070","154.076"
"73","GTD","Matthew McMurry","1","2:12.081","2:12.081","Green","Track","24.343","7.009","28.362","24.822","7.687","0.562","21.768","1.083","154.076"
"16","GTD","Corey Lewis","1","2:13.485","2:13.485","Green","Track","23.923","6.419","28.502","24.701","7.719","0.653","22.455","1.051","132.605"
"20","PC","Tomy Drissi","1","2:14.557","2:14.557","Green","Track","524.691","6.883","30.472","27.835","8.263","0.640","23.853","1.107","135.298"
"100","GTLM","John Edwards","1","2:14.890","2:14.890","Green","Pit","0.000","6.527","29.003","24.946","7.666","0.575","22.958","9.536","150.593"
"23","GTD","Mario Farnbacher","1","2:16.074","2:16.074","Green","Pit","532.775","6.588","28.361","23.713","7.629","0.558","23.105","9.644","155.181"
"67","GTLM","Ryan Briscoe","1","2:17.883","2:17.883","Green","Track","270.789","6.903","30.363","24.397","7.784","0.633","23.203","1.057","136.794"
