"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"23","GTD","Mario Farnbacher","1","2:52.316","3:39.631","Green","Track","25.888","11.166","32.599","20.396","32.373","32.139","0.778","12.545","1.554","2.878","108.962","111.150"
"88","PC","Maro Engel","1","3:21.586","3:44.890","Green","Pit","51.326","13.258","30.921","17.916","30.582","29.327","0.541","12.804","4.580","10.331","156.696","37.713"
"54","PC","Bennett/Braun/Wilkins ","1","1:59.878","4:11.952","Green","Track","5.534","5.720","24.792","14.848","25.998","28.197","0.556","10.255","1.377","2.601","152.469","125.437"
"31","P","Cameron/Curran/Pruett ","1","1:58.623","4:13.162","Green","Track","5.620","5.678","25.540","15.019","26.255","26.076","0.522","10.005","0.000","0.000","162.400","0.000"
"5","P","Fittipaldi/Barbosa/Albuquerque Pruett","1","2:01.393","4:15.316","Green","Track","5.621","5.703","26.408","15.625","26.469","27.090","0.521","10.034","1.360","2.562","162.712","127.005"
"28","GTD","F.Konrad/Bruck/Borcheller/ Webster","1","2:43.360","4:21.164","Green","Track","23.558","12.227","31.204","17.968","30.505","30.954","0.557","11.961","1.554","2.872","152.195","111.150"
"67","GTLM","Richard Westbrook","1","2:41.173","4:24.942","Green","Track","22.969","13.340","32.426","17.450","29.784","29.046","0.566","11.321","0.000","0.000","149.775","0.000"
"6","GTD","Robin Liddell","1","2:07.222","4:42.760","Green","Track","6.060","6.463","25.871","16.032","27.650","29.202","0.557","11.082","0.000","0.000","152.195","0.000"
"27","GTD","Paolo Ruberti","1","2:08.745","4:45.942","Green","Track","6.202","6.796","26.158","0.000","0.000","28.820","0.557","11.805","0.000","0.000","152.195","0.000"
"16","GTD","Corey Lewis","1","2:10.914","5:03.992","Green","Track","6.447","6.835","26.599","16.367","28.183","29.757","0.550","11.827","1.522","2.827","154.132","113.487"
"85","PC","Misha Goikhberg","1","2:03.424","5:07.872","Green","Track","5.835","6.241","25.355","15.677","27.342","27.731","0.532","10.642","1.415","2.654","159.347","122.069"
"3","GTLM","Jan Magnussen","1","2:03.350","5:09.066","Green","Track","5.963","6.111","25.242","15.460","27.311","27.676","0.551","10.826","1.456","2.754","153.852","118.631"
"50","P","Jim Pace","1","2:23.510","5:08.628","Green","Pit","6.343","6.541","28.038","16.400","28.677","29.745","0.591","12.151","4.368","10.656","143.439","39.544"
"73","GTD","Jorg Bergmeister","1","2:16.101","5:14.173","Green","Track","6.454","6.912","27.594","17.243","31.688","29.322","0.605","11.996","1.503","2.784","140.120","114.922"
"90","P","Ryan Dalziel","1","2:14.552","5:15.631","Green","Pit","6.622","6.725","25.579","15.925","26.614","26.749","0.555","11.898","4.178","9.707","152.744","41.342"
"540","GTD","Patrick Long","1","2:06.489","5:17.965","Green","Track","6.001","6.298","25.808","15.843","27.665","28.474","0.550","11.576","1.495","2.779","154.132","115.537"
"97","GTD","Markus Palttala","1","2:19.089","5:19.164","Green","Track","7.275","6.955","28.977","17.470","30.053","30.921","0.640","12.198","1.601","2.999","132.457","107.887"
"8","PC","David H Hansson","1","2:01.658","5:20.034","Green","Track","5.675","6.145","25.134","15.264","26.723","27.187","0.552","10.927","1.419","2.632","153.574","121.725"
"96","GTD","Jens Klingmann","1","1:39.586","5:25.562","Green","Pit","542.104","12.997","33.463","19.676","33.036","33.116","0.709","13.883","4.403","152.773","119.567","39.229"
"24","P","Dominik Farnbacher","1","2:01.605","5:43.533","Green","Track","5.585","6.261","24.929","15.471","26.957","27.191","0.527","10.691","0.000","0.000","160.859","0.000"
"23","GTD","Mario Farnbacher","2","2:05.017","5:44.648","Green","Track","6.070","6.127","25.408","15.818","27.513","28.162","0.546","11.142","1.474","2.757","155.261","117.183"
"99922","X2","GTD ","1","5:09.447","5:53.317","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"22","GTD","Leh Keen","1","5:09.446","5:53.291","Green","Pit","24.345","13.443","34.111","20.269","33.061","31.622","0.848","14.145","4.837","132.765","99.968","35.710"
"31","P","Cameron/Curran/Pruett ","2","1:54.545","6:07.707","Green","Track","5.425","5.344","23.694","14.507","25.251","25.949","0.518","9.967","1.344","2.546","163.654","128.517"
"99931","X2","P ","1","1:54.546","6:07.709","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"54","PC","Colin Braun","2","1:56.321","6:08.273","Green","Track","5.498","5.620","23.715","14.694","25.436","26.335","0.526","10.521","1.376","2.600","161.165","125.529"
"99954","X2","PC ","1","1:56.320","6:08.297","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"5","P","Fittipaldi/Barbosa/Albuquerque Pruett","2","1:54.974","6:10.290","Green","Track","5.415","5.280","24.083","14.708","25.317","25.700","0.517","10.011","1.372","2.571","163.970","125.895"
"9995","X2","P ","1","1:54.972","6:10.291","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"9","GTD","Matt Bell","1","5:33.391","6:15.369","Green","Pit","24.786","12.419","31.280","18.274","31.146","30.825","0.564","13.669","6.388","164.040","150.306","27.039"
"9999","X2","GTD ","1","5:33.390","6:15.465","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"66","GTLM","Joey Hand","1","4:41.300","6:28.558","Green","Pit","22.847","12.265","30.620","17.361","29.807","29.135","0.582","12.416","3.452","122.815","145.658","50.037"
"99966","X2","GTLM ","1","4:41.302","6:28.567","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"99967","X2","GTLM ","1","2:05.434","6:30.370","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"67","GTLM","Richard Westbrook","2","2:05.430","6:30.372","Green","Track","6.008","6.089","25.600","15.971","27.081","28.955","0.552","10.932","0.000","0.000","153.574","0.000"
"28","GTD","F.Konrad/Bruck/Borcheller/ Webster","2","2:10.084","6:31.248","Green","Track","6.110","6.661","27.289","16.048","28.150","29.526","0.601","11.379","1.507","2.813","141.053","114.617"
"99928","X2","GTD ","1","2:10.085","6:31.252","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"60","P","Oswaldo Negri","1","5:54.732","6:40.954","Green","Pit","25.629","11.660","31.476","17.238","29.591","28.501","0.575","13.197","6.091","190.774","147.431","28.358"
"99960","X2","P ","1","5:54.731","6:40.955","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"6","GTD","Robin Liddell","2","2:04.104","6:46.864","Green","Track","5.871","5.936","25.240","15.643","27.353","28.342","0.554","10.863","0.000","0.000","153.019","0.000"
"9996","X2","GTD ","1","2:04.099","6:46.890","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"27","GTD","Paolo Ruberti","2","2:05.582","6:51.524","Green","Track","6.026","6.279","25.483","15.542","27.602","28.528","0.552","11.244","0.000","0.000","153.574","0.000"
"99927","X2","GTD ","2","2:05.581","6:51.518","Green","","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"51","GTD","Raffaele Gianmaria","1","2:30.855","6:58.725","Green","Track","23.023","10.411","27.596","15.904","28.247","28.912","0.546","11.830","0.000","0.000","155.261","0.000"
"85","PC","Misha Goikhberg","2","2:02.137","7:10.009","Green","Track","5.655","5.791","25.244","15.457","26.839","28.081","0.530","10.479","1.405","2.656","159.949","122.938"
"3","GTLM","Jan Magnussen","2","2:01.863","7:10.929","Green","Track","5.798","5.855","24.971","15.244","26.615","27.965","0.548","10.673","1.447","2.747","154.695","119.369"
"16","GTD","Corey Lewis","2","2:08.288","7:12.280","Green","Track","6.015","6.484","25.939","16.216","27.959","29.069","0.631","11.666","1.505","2.804","134.347","114.769"
"55","P","Tristan Nunez","1","2:27.535","7:14.220","Green","Track","22.936","10.417","26.798","16.195","27.692","27.365","0.524","11.563","1.419","2.626","161.780","121.725"
"52","PC","Robert Alon","1","2:11.190","7:16.176","Green","Track","6.295","6.716","27.609","16.443","28.957","28.757","0.587","11.737","1.421","2.668","144.417","121.553"
"45","GTD","Pierre Kaffer","1","3:56.365","7:17.309","Green","Pit","92.700","11.983","27.924","16.898","28.834","29.677","0.564","12.920","4.952","9.913","150.306","34.880"
"73","GTD","Jorg Bergmeister","2","2:06.794","7:20.967","Green","Track","6.117","6.311","25.935","16.047","27.731","28.527","0.551","11.314","1.489","2.772","153.852","116.002"
"8","PC","David H Hansson","2","2:01.274","7:21.308","Green","Track","5.591","5.751","25.193","15.056","26.596","27.681","0.520","10.848","1.414","2.624","163.024","122.155"
"540","GTD","Patrick Long","2","2:04.288","7:22.253","Green","Track","5.845","6.034","25.292","15.523","27.284","28.311","0.545","11.222","1.478","2.754","155.546","116.866"
"48","GTD","Bryan Sellers","1","4:10.695","7:25.331","Green","Track","118.153","10.022","26.962","16.206","29.124","32.493","0.636","12.757","1.514","2.828","133.290","114.087"
"4","GTLM","Marcel Fassler","1","4:19.593","7:32.007","Green","Track","136.636","9.416","26.617","15.840","27.217","27.821","0.551","11.184","1.497","2.814","153.852","115.382"
"24","P","Dominik Farnbacher","2","2:00.061","7:43.594","Green","Track","5.511","5.773","24.570","15.972","26.448","26.571","0.511","10.713","0.000","0.000","165.896","0.000"
"97","GTD","Markus Palttala","2","2:25.561","7:44.725","Green","Pit","6.896","6.745","27.296","16.549","28.784","30.468","0.708","12.834","4.057","11.224","119.735","42.575"
"23","GTD","Mario Farnbacher","3","2:04.417","7:49.065","Green","Track","5.796","5.898","25.212","15.588","28.085","28.048","0.546","11.002","1.482","2.760","155.261","116.550"
"68","GTLM","Andrea Bertolini","1","4:31.423","7:56.134","Green","Track","144.234","10.212","27.062","16.632","28.447","28.520","0.557","11.460","0.000","0.000","152.195","0.000"
"33","GTD","Jeroen Bleekemolen","1","4:32.170","7:59.955","Green","Track","144.291","10.776","27.416","16.176","28.316","29.023","0.545","11.370","1.492","2.765","155.546","115.769"
"31","P","Cameron/Curran/Pruett ","3","1:53.960","8:01.667","Green","Track","5.397","5.128","23.194","14.412","25.608","25.575","0.513","10.203","1.366","2.564","165.249","126.447"
"912","GTLM","Frederic Makowiecki","1","4:44.879","8:02.678","Green","Track","159.751","9.870","26.291","16.943","27.695","28.119","0.546","11.451","1.468","2.745","155.261","117.662"
"54","PC","Colin Braun","3","1:55.469","8:03.742","Green","Track","5.466","5.430","23.653","14.628","25.523","26.241","0.523","10.049","1.365","2.591","162.089","126.540"
"5","P","Scott Pruett","3","1:54.303","8:04.593","Green","Track","5.396","5.238","23.382","14.486","25.174","26.141","0.514","10.048","0.000","0.000","164.927","0.000"
"38","PC","Kyle Marcelli","1","4:09.672","8:07.060","Green","Pit","23.267","11.828","31.649","17.900","30.194","29.457","0.565","12.059","4.385","88.368","150.040","39.390"
"96","GTD","Jens Klingmann","2","2:46.413","8:11.975","Green","Track","24.632","11.764","30.747","18.602","31.167","31.964","0.620","12.210","1.638","3.069","136.730","105.450"
"81","P","Nicolas Lapierre","1","4:34.354","8:12.531","Green","Track","154.448","10.118","25.824","15.770","26.267","27.011","0.534","10.381","1.385","2.616","158.750","124.713"
"25","GTLM","Dirk Werner","1","4:41.388","8:17.562","Green","Track","158.588","10.056","26.353","15.786","27.076","27.777","0.545","10.991","1.471","2.745","155.546","117.422"
"911","GTLM","Kevin Estre","1","4:55.667","8:17.855","Green","Track","168.478","10.612","27.359","16.356","27.948","28.653","0.549","11.452","1.486","2.774","154.413","116.236"
"22","GTD","Leh Keen","2","2:32.875","8:26.166","Green","Track","22.946","10.654","28.004","17.084","28.768","29.054","0.555","11.470","1.520","2.820","152.744","113.636"
"20","PC","Johnny Mowlem","1","2:02.763","8:26.636","Green","Track","5.921","6.396","25.302","15.434","27.069","27.453","0.525","10.618","1.418","2.627","161.472","121.810"
"67","GTLM","Richard Westbrook","3","2:01.225","8:31.597","Green","Track","5.902","5.878","24.473","15.297","26.641","27.575","0.551","10.694","0.000","0.000","153.852","0.000"
"100","GTLM","Lucas Luhr","1","5:04.390","8:37.214","Green","Track","171.276","9.580","29.040","16.943","30.783","29.793","0.643","11.969","1.537","2.826","131.839","112.379"
"28","GTD","F.Konrad/Bruck/Borcheller/ Webster","3","2:07.387","8:38.635","Green","Track","5.939","6.323","26.520","15.743","27.925","28.806","0.548","11.244","1.514","2.825","154.695","114.087"
"9","GTD","Matt Bell","2","2:31.155","8:46.524","Green","Track","23.392","11.712","27.300","15.975","27.889","28.454","0.551","11.573","0.000","0.000","153.852","0.000"
"6","GTD","Robin Liddell","3","2:03.383","8:50.247","Green","Track","5.878","5.898","25.087","15.520","27.195","28.186","0.551","10.798","0.000","0.000","153.852","0.000"
"66","GTLM","Joey Hand","2","2:26.339","8:54.897","Green","Track","22.814","9.630","26.320","15.946","27.726","27.888","0.550","11.230","0.000","0.000","154.132","0.000"
"51","GTD","Raffaele Gianmaria","2","2:08.073","9:06.798","Green","Track","0.000","0.000","25.840","15.817","29.148","28.719","0.545","11.312","0.000","0.000","155.546","0.000"
"60","P","Oswaldo Negri","2","2:28.140","9:09.094","Green","Track","24.154","10.331","26.950","15.822","28.014","27.334","0.525","10.988","0.000","0.000","161.472","0.000"
"85","PC","Misha Goikhberg","3","2:00.034","9:10.043","Green","Track","5.658","5.502","24.451","15.114","26.407","27.544","0.528","10.749","1.415","2.666","160.554","122.069"
"27","GTD","Paolo Ruberti","3","2:19.373","9:10.897","Green","Track","5.904","6.093","30.519","18.077","31.443","30.227","0.608","12.148","0.000","0.000","139.429","0.000"
"3","GTLM","Jan Magnussen","3","2:00.992","9:11.921","Green","Track","5.784","5.848","24.750","15.107","26.630","27.390","0.553","10.709","1.462","2.759","153.296","118.145"
"55","P","Tristan Nunez","1","2:01.730","9:15.950","Green","Track","5.747","5.794","24.492","15.584","26.186","28.535","0.526","10.898","1.383","2.585","161.165","124.893"
"88","PC","Maro Engel","2","5:34.482","9:19.372","Green","Track","205.692","11.841","27.698","15.590","28.374","29.634","0.531","10.975","1.467","2.680","159.647","117.742"
"52","PC","Robert Alon","1","2:03.598","9:19.774","Green","Track","5.861","5.906","25.484","16.127","27.043","27.830","0.532","10.765","1.404","2.646","159.347","123.025"
"16","GTD","Corey Lewis","3","2:08.984","9:21.264","Green","Track","6.037","6.160","26.228","16.433","27.986","29.453","0.575","11.765","1.521","2.826","147.431","113.562"
"73","GTD","Jorg Bergmeister","3","2:05.612","9:26.579","Green","Track","5.982","6.337","26.322","15.551","27.194","28.076","0.547","11.313","1.504","2.786","154.978","114.845"
"540","GTD","Patrick Long","3","2:05.762","9:28.015","Green","Track","5.810","5.989","26.096","15.786","27.413","28.529","0.554","11.337","1.485","2.763","153.019","116.315"
"63","GTD","Christina Nielsen","1","5:48.855","9:31.342","Green","Track","217.001","11.485","29.593","16.624","28.530","29.009","0.550","11.785","1.497","2.781","154.132","115.382"
"48","GTD","Bryan Sellers","2","2:06.439","9:31.770","Green","Track","6.022","6.283","25.936","15.707","27.643","28.587","0.546","11.381","1.514","2.820","155.261","114.087"
"4","GTLM","Marcel Fassler","2","2:01.189","9:33.196","Green","Track","5.920","5.756","24.475","15.288","26.688","27.649","0.551","10.638","0.000","0.000","153.852","0.000"
"8","PC","David H Hansson","3","2:14.144","9:35.452","Green","Pit","5.475","6.171","25.579","15.293","26.455","28.365","0.608","12.198","3.873","10.127","139.429","44.598"
"90","P","Ryan Dalziel","2","4:28.572","9:44.203","Green","Track","151.327","9.482","24.867","15.074","26.676","26.210","0.514","10.461","1.374","2.587","164.927","125.711"
"45","GTD","Pierre Kaffer","2","2:32.052","9:49.361","Green","Track","22.997","10.659","26.917","16.112","30.134","28.878","0.555","11.479","1.509","2.812","152.744","114.465"
