"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"96","GTD","Jens Klingmann","1","2:34.976","2:42.882","Green","Track","23.848","11.522","28.066","16.537","28.784","30.090","0.577","11.259","1.507","2.786","146.920","114.617"
"22","GTD","Leh Keen","1","2:44.722","2:56.020","Green","Track","23.012","11.523","30.336","18.149","30.840","33.311","0.683","12.498","1.543","2.827","124.118","111.942"
"23","GTD","Mario Farnbacher","1","2:50.001","3:02.674","Green","Track","23.496","12.018","32.501","19.609","32.298","34.064","0.649","11.130","1.483","2.753","130.621","116.472"
"28","GTD","Christopher Bruck","1","2:40.041","3:14.900","Green","Track","23.550","10.158","28.293","17.662","30.273","33.410","0.612","11.722","1.534","2.827","138.518","112.599"
"21","GTD","Christopher Zochling","1","2:40.780","3:18.557","Green","Track","25.584","11.293","28.066","16.567","30.226","31.824","0.826","12.077","1.512","2.805","102.630","114.238"
"9","GTD","Lawson Aschenbach","1","2:39.118","3:31.508","Green","Track","22.877","10.413","29.222","16.800","29.600","33.697","0.638","11.516","1.527","2.828","132.873","113.115"
"51","GTD","Raffaele Gianmaria","1","2:36.450","3:52.762","Green","Track","23.091","10.355","28.409","16.730","29.221","32.284","0.624","11.494","1.487","2.755","135.854","116.158"
"11","GTD","Townsend Bell","1","2:05.478","4:19.400","Green","Track","5.879","6.013","25.766","15.750","27.861","28.394","0.550","10.990","1.493","2.782","154.132","115.691"
"16","GTD","Spencer Pumpelly","1","2:05.361","4:22.326","Green","Track","5.807","5.877","25.839","15.613","27.810","28.479","0.548","11.101","1.505","2.782","154.695","114.769"
"27","GTD","Fabio Babini","1","2:05.761","4:24.831","Green","Track","5.893","6.243","25.772","15.571","27.668","28.864","0.556","10.898","1.504","2.792","152.469","114.845"
"73","GTD","Patrick Lindsey","1","2:05.431","4:28.921","Green","Track","5.763","6.113","25.487","15.758","27.803","28.589","0.551","11.145","1.478","2.744","153.852","116.866"
