"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"60","P","Olivier Pla","1","1:54.975","1:54.976","Green","Track","5.833","5.335","23.837","14.680","25.341","25.594","0.510","9.931","1.359","2.555","166.221","127.099"
"31","P","Dane Cameron","1","1:56.892","1:57.102","Green","Track","5.845","5.849","24.324","14.808","25.590","26.018","0.517","10.000","1.367","2.574","163.970","126.355"
"2","P","Luis Felipe Derani","1","1:57.665","1:57.759","Green","Track","5.794","5.959","24.847","14.999","25.516","26.010","0.508","10.135","1.354","2.543","166.875","127.568"
"5","P","Christian Fittipaldi","1","1:58.550","1:58.838","Green","Track","5.885","5.936","24.833","15.003","25.842","26.426","0.515","10.169","1.370","2.571","164.607","126.078"
"90","P","Marc Goossens","1","1:59.133","1:59.576","Green","Track","6.039","5.820","25.081","15.206","25.927","26.398","0.517","10.160","1.389","2.596","163.970","124.354"
"55","P","Tristan Nunez","1","1:59.658","2:00.201","Green","Track","6.189","5.980","25.038","15.307","25.810","26.363","0.513","10.487","1.385","2.586","165.249","124.713"
"70","P","Tom Long","1","1:59.976","2:00.677","Green","Track","5.798","5.944","25.252","15.872","26.149","26.217","0.517","10.287","1.371","2.569","163.970","125.986"
"10","P","Rubens Barrichello","1","2:01.086","2:01.840","Green","Track","6.052","6.153","25.525","15.247","26.617","26.628","0.518","10.371","1.384","2.591","163.654","124.803"
"24","P","Daniel Morad","1","2:01.605","2:02.586","Green","Track","6.056","6.164","25.747","15.401","26.727","26.497","0.508","10.536","1.386","2.583","166.875","124.623"
"81","P","Nicolas Minassian","1","2:02.231","2:03.324","Green","Track","6.052","6.375","25.710","15.511","26.710","26.664","0.515","10.677","1.404","2.613","164.607","123.025"
"0","P","Andy Meyrick","1","2:03.326","2:04.523","Green","Track","6.075","6.584","26.355","15.366","26.891","26.600","0.499","10.979","1.395","2.582","169.885","123.819"
"52","PC","Tom Kimber-Smith","1","2:03.253","2:04.671","Green","Track","6.090","6.299","26.062","15.460","26.831","26.881","0.524","11.044","1.421","2.641","161.780","121.553"
"8","PC","Alex Popow","1","2:04.486","2:06.215","Green","Track","6.115","6.295","26.440","15.665","26.979","27.082","0.521","11.271","1.447","2.671","162.712","119.369"
"85","PC","Misha Goikhberg","1","2:04.340","2:06.396","Green","Track","6.025","6.566","26.463","15.617","27.233","27.307","0.521","10.544","1.428","2.636","162.712","120.957"
"50","P","Jim Pace","1","2:04.869","2:06.777","Green","Track","5.986","6.465","27.025","15.775","27.189","27.162","0.514","10.692","1.426","2.635","164.927","121.127"
"38","PC","James French","1","2:05.987","2:07.642","Green","Track","6.248","6.559","27.286","15.979","27.046","27.294","0.523","10.921","1.445","2.686","162.089","119.534"
"20","PC","Johnny Mowlem","1","2:05.473","2:08.108","Green","Track","5.970","6.270","27.608","15.715","27.448","27.423","0.516","10.456","1.422","2.645","164.288","121.468"
"88","PC","Sean Johnston","1","2:06.324","2:08.534","Green","Track","6.087","6.496","27.441","15.876","27.411","27.308","0.530","11.062","1.445","2.668","159.949","119.534"
