"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP5","SPI"
"23","GTD","Mario Farnbacher","0","3:01.539","36.860","Red","Pit","23.753","10.881","27.738","16.409","28.896","36.242","0.824","17.836","7.109","11.851","102.880","24.297"
"66","GTLM","Dirk Mueller","0","2:59.207","44.670","Red","Pit","23.454","11.652","30.236","17.175","30.931","30.637","0.728","17.935","6.772","0.000","116.446","25.506"
"51","GTD","Raffaele Giammaria","0","3:07.627","42.065","Red","Pit","23.010","12.334","0.000","0.000","33.671","33.093","0.624","15.903","5.924","0.000","135.854","29.157"
"38","PC","Josh Norman","0","3:08.205","1:15.008","Red","Pit","23.319","10.874","35.074","18.653","31.176","35.024","0.931","14.902","5.582","0.000","91.056","30.944"
"67","GTLM","Richard Westbrook","1","12:53.772","13:36.878","Green","Pit","24.092","12.081","30.187","0.000","0.000","30.977","0.757","16.664","6.376","604.946","111.985","27.090"
"0","P","Katherine Legge","1","13:02.743","13:40.765","Green","Pit","24.399","11.201","29.441","17.390","30.078","31.424","1.216","19.069","6.146","612.379","69.714","28.104"
"28","GTD","Christopher Bruck","1","12:59.685","13:50.664","Green","Pit","26.130","11.189","29.070","17.400","32.670","37.415","0.853","17.026","5.883","602.049","99.382","29.360"
"22","GTD","Cooper MacNeil","1","12:27.153","13:55.275","Green","Pit","0.000","0.000","46.121","17.646","30.187","29.756","0.573","13.630","4.067","571.876","147.945","42.470"
"70","P","Joel Miller","1","14:02.625","15:14.839","Green","Pit","0.000","11.601","35.943","19.046","31.486","34.963","0.833","14.991","5.220","665.523","101.768","33.090"
"23","GTD","Mario Farnbacher","1","14:43.661","15:20.521","Green","Track","574.730","10.334","27.099","16.193","28.499","29.210","0.546","11.238","1.497","2.776","155.261","115.382"
"55","P","Tristan Nunez","1","14:04.392","15:20.525","Green","Pit","22.962","11.230","36.259","18.614","30.326","34.370","0.959","15.421","6.275","667.976","88.397","27.526"
"66","GTLM","Dirk Mueller","1","14:43.909","15:28.579","Green","Track","571.651","10.042","28.081","16.153","29.172","30.108","0.892","14.392","1.464","2.747","95.037","117.983"
