"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"63","GTD","Christina Nielsen","1","2:15.360","2:15.360","Green","Track","30.886","19.239","15.404","17.721","11.518","0.525","25.395","5.668","0.229","155.844"
"44","GTD","John Potter","1","2:16.553","2:16.553","Green","Track","30.747","19.174","15.627","17.501","11.472","0.522","25.362","5.600","0.228","156.740"
"33","GTD","Ben Keating","1","2:22.013","2:22.013","Green","Track","28.969","18.662","17.539","18.746","12.291","0.735","25.939","5.502","0.225","111.317"
"23","GTD","Mario Farnbacher","1","2:31.460","2:31.460","Green","Track","33.553","19.250","15.114","18.723","11.913","0.541","24.826","5.541","0.227","151.235"
"6","GTD","Andrew Davis","1","2:34.184","2:34.184","Green","Track","41.522","18.900","17.357","17.977","12.555","0.546","24.558","5.571","0.228","149.850"
"97","GTD","Michael Marsal","1","2:34.957","2:34.957","Green","Track","28.651","17.968","14.787","17.253","11.390","0.534","25.169","5.509","0.224","153.218"
"80","GTD","Dan Knox","1","2:37.910","2:37.910","Green","Track","30.337","19.203","15.969","18.817","12.780","0.549","25.370","5.518","0.225","149.031"
"27","GTD","Lawrence DeGeorge","1","2:47.187","2:47.187","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.773","0.000"
"96","GTD","Bret Curtis","1","2:50.837","2:50.837","Green","Track","30.039","19.704","15.146","18.259","15.022","0.641","26.891","5.636","0.227","127.641"
"16","GTD","Corey Lewis","1","2:56.688","2:56.688","Green","Track","29.072","17.911","14.162","18.235","15.149","0.744","26.683","5.444","0.223","109.971"
"48","GTD","Madison Snow","1","3:11.235","3:11.235","Green","Track","28.937","18.276","14.529","26.835","13.630","0.539","23.951","5.486","0.223","151.796"
"9","GTD","Matt Bell","1","3:25.095","3:25.095","Green","Track","27.021","17.167","13.696","16.084","11.344","0.517","23.528","5.517","0.222","158.256"
"63","GTD","Christina Nielsen","2","1:52.744","4:08.104","Green","Track","23.366","17.683","13.813","16.321","11.357","0.533","23.895","5.548","0.228","153.505"
"33","GTD","Ben Keating","2","1:48.781","4:10.794","Green","Track","22.152","16.468","12.989","15.657","11.104","0.508","24.309","5.374","0.220","161.059"
"44","GTD","John Potter","2","1:57.213","4:13.766","Green","Track","23.408","17.631","14.112","16.944","13.240","0.545","25.574","5.534","0.225","150.125"
"23","GTD","Mario Farnbacher","2","1:48.583","4:20.043","Green","Track","22.237","16.495","13.148","16.345","11.494","0.529","22.635","5.476","0.224","154.666"
"6","GTD","Andrew Davis","2","1:50.985","4:25.169","Green","Track","22.866","17.057","13.671","16.096","11.363","0.519","23.706","5.483","0.224","157.646"
"97","GTD","Michael Marsal","2","1:55.480","4:30.437","Green","Track","22.835","16.847","13.660","16.418","14.812","0.696","24.501","5.488","0.223","117.555"
"80","GTD","Dan Knox","2","1:55.097","4:33.007","Green","Track","23.625","17.589","14.109","17.467","11.276","0.515","24.844","5.449","0.223","158.870"
"96","GTD","Bret Curtis","2","1:53.384","4:44.221","Green","Track","23.872","18.099","13.735","16.270","11.201","0.513","23.994","5.477","0.223","159.490"
"16","GTD","Corey Lewis","2","1:52.091","4:48.779","Green","Track","21.994","16.096","13.746","17.081","12.496","0.658","24.359","5.439","0.222","124.344"
"27","GTD","Cedric Sbirrazzuoli","2","2:03.798","4:50.985","Green","Track","26.925","18.957","15.818","17.626","12.782","0.654","25.348","5.466","0.222","125.104"
"48","GTD","Madison Snow","2","1:47.200","4:58.435","Green","Track","22.107","16.004","13.146","15.724","11.129","0.506","22.913","5.449","0.222","161.696"
"9","GTD","Matt Bell","2","1:47.429","5:12.524","Green","Track","22.153","16.384","12.965","15.595","11.284","0.516","22.863","5.448","0.221","158.562"
"63","GTD","Christina Nielsen","3","1:47.656","5:55.760","Green","Track","22.070","16.761","13.017","15.441","11.240","0.516","22.897","5.489","0.225","158.562"
"33","GTD","Ben Keating","3","1:46.430","5:57.224","Green","Track","21.808","16.242","12.716","15.450","10.974","0.504","23.093","5.421","0.222","162.338"
"44","GTD","John Potter","3","1:47.857","6:01.623","Green","Track","21.957","16.476","12.976","15.684","11.325","0.518","23.185","5.511","0.225","157.950"
"23","GTD","Mario Farnbacher","3","1:45.946","6:05.989","Green","Track","21.805","15.826","12.707","15.434","11.278","0.518","22.673","5.480","0.225","157.950"
"6","GTD","Andrew Davis","3","1:46.456","6:11.625","Green","Track","21.667","16.028","12.835","15.621","11.362","0.518","22.721","5.480","0.224","157.950"
"97","GTD","Michael Marsal","3","1:47.631","6:18.068","Green","Track","22.116","16.308","12.918","15.830","11.231","0.515","23.067","5.425","0.221","158.870"
"80","GTD","Dan Knox","3","1:50.416","6:23.423","Green","Track","22.964","16.778","13.193","16.124","11.143","0.511","24.082","5.400","0.221","160.114"
"96","GTD","Bret Curtis","3","1:46.980","6:31.201","Green","Track","21.928","16.313","12.776","15.552","11.114","0.509","23.128","5.437","0.223","160.743"
"16","GTD","Corey Lewis","3","1:45.677","6:34.456","Green","Track","21.706","16.021","12.718","15.587","11.078","0.505","22.458","5.384","0.220","162.016"
"27","GTD","Cedric Sbirrazzuoli","3","1:48.799","6:39.784","Green","Track","22.153","16.605","13.959","15.907","11.139","0.507","22.874","5.436","0.219","161.377"
"48","GTD","Madison Snow","3","1:46.033","6:44.468","Green","Track","21.810","15.889","12.855","15.454","11.085","0.505","22.790","5.424","0.221","162.016"
"9","GTD","Matt Bell","3","1:45.247","6:57.771","Green","Track","21.719","15.741","12.597","15.313","11.231","0.513","22.481","5.430","0.222","159.490"
"63","GTD","Christina Nielsen","4","1:46.700","7:42.460","Green","Track","21.906","16.450","12.828","15.311","11.207","0.515","22.772","5.487","0.224","158.870"
"33","GTD","Ben Keating","4","1:50.339","7:47.563","Green","Track","21.635","16.418","15.616","16.523","11.100","0.506","22.925","5.397","0.219","161.696"
"44","GTD","John Potter","4","1:47.199","7:48.822","Green","Track","22.096","16.271","12.813","15.541","11.278","0.516","22.974","5.486","0.224","158.562"
"23","GTD","Mario Farnbacher","4","1:50.181","7:56.170","Green","Track","21.662","17.871","13.823","16.606","11.284","0.518","22.708","5.484","0.225","157.950"
"6","GTD","Andrew Davis","4","1:45.740","7:57.365","Green","Track","21.538","16.190","12.737","15.310","11.247","0.515","22.533","5.447","0.223","158.870"
"97","GTD","Michael Marsal","4","1:46.601","8:04.669","Green","Track","21.779","16.286","12.846","15.513","11.177","0.514","22.842","5.421","0.223","159.179"
"80","GTD","Dan Knox","4","1:49.170","8:12.593","Green","Track","22.684","16.650","13.225","15.962","11.040","0.508","23.483","5.397","0.221","161.059"
"96","GTD","Bret Curtis","4","1:46.431","8:17.632","Green","Track","21.776","15.982","12.754","15.569","11.096","0.510","23.081","5.441","0.222","160.428"
"16","GTD","Corey Lewis","4","1:45.372","8:19.828","Green","Track","21.581","15.986","12.669","15.380","11.055","0.503","22.569","5.409","0.220","162.660"
"27","GTD","Cedric Sbirrazzuoli","4","1:45.251","8:25.035","Green","Track","21.422","15.822","12.851","15.218","11.073","0.506","22.706","5.433","0.220","161.696"
"48","GTD","Madison Snow","4","1:44.956","8:29.424","Green","Track","21.508","15.704","12.738","15.329","11.049","0.505","22.485","5.417","0.221","162.016"
"9","GTD","Matt Bell","4","1:45.437","8:43.208","Green","Track","21.741","15.743","12.562","15.313","11.231","0.514","22.640","5.471","0.222","159.179"
"33","GTD","Ben Keating","5","1:46.051","9:33.614","Green","Track","21.794","16.198","12.602","15.414","10.974","0.504","22.944","5.398","0.223","162.338"
"44","GTD","John Potter","5","1:46.817","9:35.639","Green","Track","21.862","16.200","12.805","15.501","11.251","0.516","22.971","5.487","0.224","158.562"
"63","GTD","Christina Nielsen","5","1:56.117","9:38.577","Green","Track","21.760","16.123","12.614","15.264","11.228","0.516","32.416","5.960","0.236","158.562"
"23","GTD","Mario Farnbacher","5","1:45.563","9:41.733","Green","Track","21.610","15.835","12.632","15.441","11.210","0.517","22.610","5.483","0.225","158.256"
"6","GTD","Andrew Davis","5","1:45.354","9:42.719","Green","Track","21.392","15.954","12.631","15.378","11.245","0.515","22.541","5.475","0.223","158.870"
"97","GTD","Michael Marsal","5","1:46.236","9:50.905","Green","Track","21.795","16.155","12.709","15.405","11.176","0.514","22.834","5.425","0.223","159.179"
"80","GTD","Dan Knox","5","1:48.115","10:00.708","Green","Track","22.465","16.503","12.810","15.729","11.023","0.507","23.458","5.399","0.221","161.377"
"96","GTD","Bret Curtis","5","1:46.648","10:04.280","Green","Track","21.876","16.191","12.837","15.649","11.108","0.510","22.805","5.448","0.224","160.428"
"16","GTD","Corey Lewis","5","1:45.713","10:05.541","Green","Track","21.718","15.951","12.790","15.503","11.039","0.503","22.590","5.399","0.220","162.660"
"27","GTD","Cedric Sbirrazzuoli","5","1:47.652","10:12.687","Green","Track","22.249","16.614","13.059","15.546","11.057","0.505","22.957","5.445","0.220","162.016"
"48","GTD","Madison Snow","5","1:44.983","10:14.407","Green","Track","21.470","15.678","12.705","15.321","11.041","0.504","22.620","5.422","0.222","162.338"
"9","GTD","Matt Bell","5","1:45.411","10:28.619","Green","Track","21.762","15.884","12.443","15.361","11.206","0.513","22.571","5.449","0.222","159.490"
"44","GTD","John Potter","6","1:46.849","11:22.488","Green","Track","21.976","16.160","12.739","15.385","11.300","0.519","23.028","5.515","0.227","157.646"
"6","GTD","Andrew Davis","6","1:48.229","11:30.948","Green","Track","21.836","16.244","12.705","15.394","11.271","0.534","24.501","5.518","0.226","153.218"
"63","GTD","Christina Nielsen","6","1:53.270","11:31.847","Green","Track","23.847","18.343","14.065","15.916","11.220","0.514","23.673","5.467","0.225","159.179"
"97","GTD","Michael Marsal","6","1:50.169","11:41.074","Green","Track","21.888","17.317","14.233","16.585","11.260","0.515","22.662","5.477","0.232","158.870"
