"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"3","GTLM","Jan Magnussen","1","1:47.776","1:47.776","Green","Track","23.395","16.107","12.734","15.468","11.122","0.508","22.831","5.391","0.220","161.059"
"66","GTLM","Joey Hand","1","1:48.400","1:48.400","Green","Track","23.374","16.203","12.935","15.597","11.166","0.509","22.678","5.427","0.222","160.743"
"62","GTLM","Giancarlo Fisichella","1","1:49.059","1:49.059","Green","Track","23.524","16.252","12.957","15.788","11.134","0.507","22.878","5.401","0.221","161.377"
"4","GTLM","Tommy Milner","1","1:49.549","1:49.549","Green","Track","24.055","16.293","12.725","15.975","11.122","0.504","22.994","5.397","0.222","162.338"
"25","GTLM","Dirk Werner","1","1:49.719","1:49.719","Green","Track","24.430","16.310","12.622","15.787","11.100","0.504","22.889","5.311","0.217","162.338"
"911","GTLM","Nick Tandy","1","1:50.294","1:50.294","Green","Track","24.498","16.455","12.932","15.674","11.065","0.502","22.903","5.370","0.220","162.984"
"100","GTLM","John Edwards","1","1:50.944","1:50.944","Green","Track","24.742","17.136","12.849","15.659","11.196","0.512","22.702","5.377","0.220","159.801"
"912","GTLM","Frederic Makowiecki","1","1:51.605","1:51.605","Green","Track","24.790","17.321","12.878","15.479","11.012","0.500","23.182","5.404","0.221","163.636"
"48","GTD","Madison Snow","1","1:52.860","1:52.860","Green","Track","24.742","17.465","13.173","15.740","11.101","0.502","23.413","5.439","0.221","162.984"
"9","GTD","Matt Bell","1","1:53.323","1:53.323","Green","Track","24.914","17.429","13.264","15.952","11.240","0.512","23.175","5.450","0.221","159.801"
"6","GTD","Andrew Davis","1","1:54.343","1:54.343","Green","Track","24.985","17.638","13.492","16.041","11.242","0.508","23.456","5.473","0.223","161.059"
"27","GTD","Cedric Sbirrazzuoli","1","1:54.850","1:54.850","Green","Track","25.005","17.689","13.640","16.134","11.103","0.501","23.644","5.456","0.221","163.310"
"33","GTD","Ben Keating","1","1:55.400","1:55.400","Green","Track","25.340","17.755","13.545","16.252","10.974","0.496","23.944","5.391","0.220","164.956"
"16","GTD","Corey Lewis","1","1:55.951","1:55.951","Green","Track","25.746","17.780","13.773","16.464","11.097","0.500","23.333","5.418","0.220","163.636"
"97","GTD","Michael Marsal","1","1:56.714","1:56.714","Green","Track","25.431","17.788","13.744","16.399","11.323","0.515","24.131","5.428","0.223","158.870"
"23","GTD","Mario Farnbacher","1","1:57.064","1:57.064","Green","Track","25.415","17.729","13.830","16.330","11.232","0.511","24.005","5.506","0.225","160.114"
"67","GTLM","Richard Westbrook","1","1:58.453","1:58.453","Green","Track","26.122","17.587","13.597","16.595","11.089","0.523","24.670","5.606","0.227","156.440"
"63","GTD","Christina Nielsen","1","1:58.841","1:58.841","Green","Track","27.069","17.816","14.019","16.292","11.289","0.515","24.192","5.588","0.227","158.870"
"44","GTD","John Potter","1","1:59.088","1:59.088","Green","Track","27.165","18.046","13.705","16.490","11.238","0.509","24.173","5.487","0.223","160.743"
"80","GTD","Dan Knox","1","2:00.492","2:00.492","Green","Track","27.193","17.988","14.304","16.649","11.200","0.512","24.627","5.483","0.223","159.801"
"3","GTLM","Jan Magnussen","2","1:46.237","3:34.013","Green","Track","22.087","16.143","12.680","15.517","11.006","0.502","22.715","5.367","0.220","162.984"
"66","GTLM","Joey Hand","2","1:45.846","3:34.246","Green","Track","21.783","16.118","12.744","15.447","11.037","0.505","22.639","5.353","0.220","162.016"
"62","GTLM","Giancarlo Fisichella","2","1:46.393","3:35.452","Green","Track","22.252","15.820","12.759","15.627","11.150","0.509","22.679","5.377","0.220","160.743"
