"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","SP5"
"912","","","1","1:47.663","9:02.200","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"23","","","1","1:50.037","9:05.595","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"9","","","4","2:39.455","9:11.266","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"97","","","4","1:48.182","9:12.092","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000"
"48","GTD","Bryan Sellers","3","2:45.728","9:13.331","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.903","0.000"
"67","GTLM","Richard Westbrook","2","4:07.371","9:15.212","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.911","0.000"
"4","GTLM","Oliver Gavin","5","1:43.546","9:19.149","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","0.000","5.319","0.219","0.000"
"44","GTD","Andy Lally","5","1:46.199","9:23.443","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","22.814","5.393","0.221","0.000"
"63","GTD","Alessandro Balzan","5","1:47.854","9:29.088","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","23.007","5.446","0.224","0.000"
"3","GTLM","Antonio Garcia","5","1:43.786","9:32.692","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","22.349","5.273","0.216","0.000"
"100","GTLM","John Edwards","5","1:44.358","9:35.420","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","22.467","5.326","0.219","0.000"
"62","GTLM","Toni Vilander","5","1:44.939","9:39.278","Green","Track","0.000","0.000","0.000","0.000","0.000","0.000","22.690","5.370","0.220","0.000"
"25","GTLM","Dirk Werner","5","1:43.832","9:40.371","Green","Track","0.000","0.000","0.000","0.000","0.000","0.506","22.192","5.306","0.218","161.696"
"911","GTLM","Patrick Pilet","4","3:32.139","9:48.711","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.000","0.834","0.000"
"66","GTLM","Joey Hand","3","2:17.627","9:55.416","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","27.709","20.850","0.806","0.000"
"16","GTD","Spencer Pumpelly","5","1:47.328","10:16.348","Green","Track","0.000","0.000","13.011","15.943","11.185","0.511","22.980","5.449","0.222","160.114"
"27","GTD","Cedric Sbirrazzuoli","5","1:48.407","10:20.567","Green","Track","0.000","0.000","13.589","16.199","11.088","0.504","23.246","5.415","0.220","162.338"
"96","GTD","Jens Klingmann","5","3:08.800","10:41.622","Green","Pit","0.000","0.000","0.000","0.000","0.000","0.000","0.000","85.408","0.814","0.000"
"912","GTLM","Earl Bamber","5","1:44.670","10:46.870","Green","Track","21.829","15.510","12.475","15.343","11.036","0.506","22.394","5.358","0.219","161.696"
"23","GTD","Alex Riberas","5","1:47.167","10:52.762","Green","Track","22.116","16.042","12.799","15.724","11.286","0.519","22.954","5.501","0.226","157.646"
"97","GTD","Markus Palttala","5","1:51.941","11:04.033","Green","Track","21.887","16.130","12.677","16.389","11.647","0.582","26.853","5.550","0.226","140.581"
"4","GTLM","Oliver Gavin","6","1:45.195","11:04.344","Green","Track","22.093","15.998","12.486","15.160","10.987","0.504","22.436","5.314","0.217","162.338"
