"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"31","P","Dane Cameron","1","1:50.314","1:50.314","Green","Track","0.000","9.881","13.173","3.866","0.543","14.865","22.052","31.188","5.594","3.214","151.306"
"5","P","Joao Barbosa","1","1:53.474","1:53.474","Green","Track","0.000","10.244","13.704","3.892","0.549","15.166","22.350","31.314","5.585","3.213","149.652"
"10","P","Ricky Taylor","1","2:07.033","2:07.033","Green","Track","0.000","11.017","15.238","4.394","0.651","17.068","24.392","34.972","6.117","3.350","126.204"
"55","P","Spencer Pigot","1","2:11.566","2:11.566","Green","Track","0.000","11.079","15.368","4.309","0.673","16.975","23.335","33.335","5.867","3.207","122.079"
"6","GTD","Robin Liddell","1","2:19.020","2:19.020","Green","Track","0.000","11.474","16.599","4.843","0.845","18.742","26.129","35.276","6.387","3.559","97.230"
"50","P","Byron DeFoor","1","2:23.148","2:23.148","Green","Track","530.855","11.236","16.644","4.570","0.735","18.240","25.269","36.586","6.443","3.381","111.781"
"2","P","Johannes van Overbeek","1","2:23.250","2:23.250","Green","Track","443.671","11.523","15.185","4.005","0.616","17.621","24.503","36.265","6.260","3.289","133.375"
"44","GTD","Andy Lally","1","2:23.995","2:23.995","Green","Track","431.290","10.935","15.240","4.229","0.554","17.334","24.174","36.443","6.325","3.551","148.302"
"20","PC","Matthew McMurry","1","2:26.458","2:26.458","Green","Track","411.759","11.501","13.440","4.803","0.859","19.544","23.493","32.997","6.197","3.394","95.645"
"63","GTD","Alessandro Balzan","1","2:26.683","2:26.683","Green","Track","0.000","11.567","17.206","5.090","0.896","20.581","26.860","39.839","7.043","3.645","91.695"
"97","GTD","Michael Marsal","1","2:29.186","2:29.186","Green","Track","355.763","11.168","15.545","4.225","0.602","17.583","24.317","34.060","6.381","3.503","136.477"
"4","GTLM","Tommy Milner","1","2:35.255","2:35.255","Green","Track","543.082","11.053","15.084","4.292","0.608","17.232","24.332","34.691","6.201","3.515","135.130"
"912","GTLM","Earl Bamber","1","2:36.273","2:36.273","Green","Track","556.080","11.811","14.123","4.224","0.694","17.152","23.962","33.539","5.936","3.422","118.385"
"3","GTLM","Jan Magnussen","1","2:39.775","2:39.775","Green","Track","542.311","11.271","15.765","4.414","0.660","17.849","24.221","36.279","6.696","3.540","124.483"
"52","PC","Tom Kimber-Smith","1","2:40.281","2:40.281","Green","Track","0.000","11.172","15.507","4.171","0.638","15.816","23.149","33.692","6.670","3.414","128.776"
"8","PC","Renger Van Der Zande","1","2:40.451","2:40.451","Green","Track","548.939","10.885","15.443","4.645","0.719","18.090","24.249","35.844","6.852","3.698","114.269"
"68","GTLM","Alessandro Pier Guidi","1","2:40.923","2:40.923","Green","Track","0.000","11.783","15.106","4.290","0.626","17.012","24.005","35.536","6.986","3.544","131.245"
"88","PC","Mark Kvamme","1","2:42.587","2:42.587","Green","Track","0.000","12.065","16.143","4.686","0.680","18.178","25.430","34.604","6.558","3.378","120.822"
"23","GTD","Ian James","1","2:45.977","2:45.977","Green","Track","0.000","11.717","16.542","4.583","0.665","17.952","24.623","35.568","6.571","3.568","123.548"
"85","PC","Chris Miller","1","2:50.147","2:50.147","Green","Track","0.000","11.821","15.174","4.698","0.719","17.288","25.193","35.821","6.689","3.453","114.269"
"33","GTD","Jeroen Bleekemolen","1","2:50.567","2:50.567","Green","Track","0.000","11.693","15.800","4.476","0.649","17.570","24.392","35.864","6.628","3.528","126.593"
"60","P","John Pew","1","2:56.235","2:56.235","Green","Pit","460.978","13.058","18.465","5.693","0.848","20.485","28.805","40.041","10.112","16.647","96.886"
"9","GTD","Lawson Aschenbach","1","2:58.159","2:58.159","Green","Track","14.600","11.622","16.314","5.006","0.756","18.162","26.759","36.801","6.029","3.481","108.676"
"96","GTD","Jens Klingmann","1","3:01.425","3:01.425","Green","Pit","422.412","13.112","20.553","6.110","0.790","18.736","26.732","41.916","8.885","15.701","103.999"
"90","P","Ryan Dalziel","1","3:02.428","3:02.428","Green","Pit","533.748","11.764","16.381","4.810","0.725","18.168","25.508","35.351","9.023","15.846","113.323"
"0","P","Sean Rayhall","1","3:03.776","3:03.776","Green","Pit","14.445","10.365","14.606","4.147","0.692","17.639","22.652","33.326","9.159","16.064","118.727"
"48","GTD","Bryan Sellers","1","3:05.780","3:05.780","Green","Track","14.448","10.849","17.460","5.506","0.724","19.450","27.121","38.629","6.225","3.475","113.479"
