"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"23","GTD","Mario Farnbacher","1","2:11.012","2:11.012","Green","Track","0.000","11.169","15.928","4.376","0.576","17.272","25.205","34.426","6.165","3.552","142.637"
"63","GTD","Christina Nielsen","1","2:13.357","2:13.357","Green","Track","0.000","11.728","15.845","4.709","0.611","18.080","24.528","34.737","6.645","3.590","134.467"
"22","GTD","Cooper MacNeil","1","2:15.421","2:15.421","Green","Track","0.000","11.580","16.085","4.383","0.593","18.266","25.487","35.281","6.551","3.598","138.548"
"44","GTD","John Potter","1","2:22.893","2:22.893","Green","Track","0.000","12.100","16.873","5.240","0.748","18.872","26.150","36.103","6.354","3.549","109.838"
"33","GTD","Ben Keating","1","2:25.065","2:25.065","Green","Track","0.000","11.883","17.390","5.312","0.689","18.714","26.849","35.936","6.294","3.476","119.244"
"97","GTD","Michael Marsal","1","2:33.493","2:33.493","Green","Track","14.825","12.659","16.675","4.496","0.639","17.306","25.933","41.177","6.541","3.497","128.574"
"96","GTD","Bret Curtis","1","2:42.160","2:42.160","Green","Track","15.631","13.165","16.725","5.523","0.753","18.618","26.198","45.041","6.555","3.500","109.109"
"6","GTD","Robin Liddell","1","2:48.406","2:48.406","Green","Track","14.619","13.012","17.066","7.732","1.380","23.645","25.842","46.116","6.255","3.514","59.536"
"73","GTD","Matthew McMurry","1","2:55.323","2:55.323","Green","Track","14.742","12.506","17.806","6.452","0.833","21.417","29.868","42.536","6.404","3.614","98.630"
"540","GTD","Tim Pappas","1","2:56.893","2:56.893","Green","Track","14.677","11.607","19.199","4.951","0.672","19.415","28.271","42.614","6.552","3.601","122.261"
"48","GTD","Madison Snow","1","3:12.589","3:12.589","Green","Track","19.267","12.692","16.390","6.244","0.976","20.421","33.222","48.711","6.338","3.497","84.179"
"9","GTD","Lawson Aschenbach","1","3:32.353","3:32.353","Green","Track","14.584","10.796","16.219","4.964","0.697","17.765","24.079","34.818","5.998","3.469","117.875"
"16","GTD","Corey Lewis","1","3:40.537","3:40.537","Green","Track","16.332","12.592","16.362","4.952","0.634","16.836","27.308","34.762","6.060","3.489","129.588"
"23","GTD","Mario Farnbacher","2","1:54.597","4:05.609","Green","Track","3.503","9.267","12.528","3.947","0.511","14.931","22.817","37.746","5.907","3.440","160.781"
"63","GTD","Christina Nielsen","2","1:55.694","4:09.051","Green","Track","3.545","9.542","13.529","4.046","0.537","16.272","23.702","34.934","6.107","3.480","152.996"
"22","GTD","Cooper MacNeil","2","1:55.207","4:10.628","Green","Track","3.538","9.739","13.532","4.018","0.520","16.199","23.440","34.574","6.166","3.481","157.998"
"33","GTD","Ben Keating","2","1:49.907","4:14.972","Green","Track","3.315","9.149","12.418","3.824","0.491","15.026","23.130","32.892","6.202","3.460","167.330"
"44","GTD","John Potter","2","1:55.246","4:18.139","Green","Track","3.424","9.378","12.866","3.968","0.512","15.605","25.291","34.632","6.084","3.486","160.467"
"97","GTD","Michael Marsal","2","1:50.926","4:24.419","Green","Track","3.383","9.231","12.906","3.957","0.508","15.257","22.981","33.189","6.095","3.419","161.730"
"96","GTD","Bret Curtis","2","1:49.388","4:31.548","Green","Track","3.348","9.428","12.495","3.893","0.502","15.080","22.385","32.697","6.121","3.439","163.664"
"6","GTD","Robin Liddell","2","1:47.849","4:36.255","Green","Track","3.337","9.086","12.582","3.895","0.501","14.681","22.078","32.381","5.867","3.441","163.990"
"73","GTD","Matthew McMurry","2","1:50.260","4:45.583","Green","Track","3.467","9.373","12.638","3.920","0.504","15.136","22.548","33.074","6.085","3.515","163.014"
"540","GTD","Tim Pappas","2","1:52.724","4:49.617","Green","Track","3.494","9.528","12.995","3.991","0.513","15.562","23.012","33.932","6.188","3.509","160.154"
"48","GTD","Madison Snow","2","1:49.918","5:02.507","Green","Track","3.415","9.334","12.641","3.856","0.495","15.437","22.514","32.783","6.001","3.442","165.978"
"9","GTD","Lawson Aschenbach","2","1:48.209","5:20.562","Green","Track","3.331","8.868","12.464","3.877","0.500","14.478","21.928","33.396","5.926","3.441","164.318"
"16","GTD","Corey Lewis","2","1:48.064","5:28.601","Green","Track","3.334","9.096","12.580","3.888","0.499","14.346","22.295","32.687","5.887","3.452","164.647"
"23","GTD","Mario Farnbacher","3","1:46.791","5:52.400","Green","Track","3.331","8.901","12.487","3.913","0.503","13.890","22.031","32.496","5.809","3.430","163.338"
"63","GTD","Christina Nielsen","3","1:47.857","5:56.908","Green","Track","3.344","9.012","12.671","3.978","0.512","14.264","22.158","32.557","5.927","3.434","160.467"
"22","GTD","Cooper MacNeil","3","1:49.986","6:00.614","Green","Track","3.365","9.155","12.635","3.931","0.506","15.035","22.691","33.001","6.178","3.489","162.370"
"33","GTD","Ben Keating","3","1:48.012","6:02.984","Green","Track","3.277","8.945","12.450","3.851","0.494","14.422","22.126","32.824","6.170","3.453","166.314"
