"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"2","P","Johannes van Overbeek","1","1:40.866","1:40.866","Green","Track","3.403","9.228","11.645","3.680","0.475","13.219","20.596","30.095","5.368","3.157","172.967"
"55","P","Tristan Nunez","1","1:41.093","1:41.093","Green","Track","3.490","9.342","11.777","3.651","0.527","13.440","20.534","29.833","5.316","3.097","155.900"
"10","P","Ricky Taylor","1","1:42.435","1:42.435","Green","Track","3.341","9.193","11.793","3.622","0.470","13.504","21.247","30.334","5.515","3.193","174.807"
"5","P","Christian Fittipaldi","1","1:42.740","1:42.740","Green","Track","3.293","9.423","11.768","3.616","0.513","13.999","20.578","30.480","5.500","3.150","160.154"
"70","P","Tom Long","1","1:43.049","1:43.049","Green","Track","3.570","9.464","11.747","3.637","0.508","14.186","20.741","30.251","5.497","3.139","161.730"
"90","P","Ryan Dalziel","1","1:43.748","1:43.748","Green","Track","3.422","9.407","11.937","3.639","0.512","14.142","20.844","30.425","5.515","3.166","160.467"
"60","P","Oswaldo Negri Jr.","1","1:45.600","1:45.600","Green","Track","3.501","9.662","12.766","3.774","0.507","14.411","21.056","31.078","5.440","3.173","162.049"
"31","P","Eric Curran","1","1:46.169","1:46.169","Green","Track","3.365","9.655","12.461","3.744","0.518","14.619","21.032","31.046","5.704","3.214","158.608"
"8","PC","Renger Van Der Zande","1","1:46.591","1:46.591","Green","Track","3.437","9.568","12.441","3.813","0.543","14.817","21.192","31.096","5.483","3.225","151.306"
"20","PC","Johnny Mowlem","1","1:48.212","1:48.212","Green","Track","3.378","9.700","12.095","3.838","0.552","15.243","21.610","31.120","5.797","3.240","148.839"
"52","PC","Robert Alon","1","1:48.581","1:48.581","Green","Track","3.384","9.615","12.490","3.802","0.564","15.711","21.676","31.265","5.606","3.226","145.672"
"38","PC","James French","1","1:48.914","1:48.914","Green","Track","3.425","9.709","12.429","3.821","0.584","15.512","21.719","31.370","5.554","3.222","140.683"
"85","PC","Misha Goikhberg","1","1:50.332","1:50.332","Green","Track","3.438","9.832","13.180","3.889","0.579","15.112","21.806","31.923","5.699","3.276","141.898"
"54","PC","Jonathan Bennett","1","1:50.652","1:50.652","Green","Track","3.364","9.582","13.281","3.906","0.550","15.198","21.832","32.019","5.608","3.231","149.380"
"88","PC","Mark Kvamme","1","1:53.062","1:53.062","Green","Track","3.422","9.776","13.165","3.940","0.631","15.528","22.181","32.681","5.925","3.317","130.205"
"100","GTLM","John Edwards","1","2:07.636","2:07.636","Green","Track","3.528","9.467","12.452","3.865","0.501","13.928","21.463","31.510","5.815","3.393","163.990"
"67","GTLM","Richard Westbrook","1","2:08.439","2:08.439","Green","Track","3.539","9.582","12.737","3.819","0.513","14.423","21.470","31.722","5.714","3.355","160.154"
"25","GTLM","Dirk Werner","1","2:09.262","2:09.262","Green","Track","3.523","9.883","12.616","3.837","0.513","14.778","21.769","31.757","5.676","3.326","160.154"
"66","GTLM","Joey Hand","1","2:09.864","2:09.864","Green","Track","3.497","9.746","12.897","3.884","0.517","14.782","21.799","31.822","5.788","3.359","158.915"
"4","GTLM","Tommy Milner","1","2:10.269","2:10.269","Green","Track","3.545","9.587","12.878","3.920","0.518","14.742","22.091","31.685","5.813","3.393","158.608"
