"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","SP3"
"5","P","Christian Fittipaldi","1","1:58.437","1:58.437","Green","Track","997.438","9.910","14.714","4.192","0.577","15.728","22.276","31.648","5.826","3.224","142.390"
"31","P","Dane Cameron","1","1:59.840","1:59.840","Green","Track","994.872","10.295","13.508","4.053","0.600","16.446","22.505","31.324","5.573","3.184","136.932"
"22","GTD","Gunnar Jeannette","1","2:04.980","2:04.980","Green","Track","999.547","11.494","14.862","4.285","0.597","17.371","24.018","34.096","6.239","3.512","137.620"
"60","P","Olivier Pla","1","2:10.370","2:10.370","Green","Track","625.766","11.704","15.174","4.500","0.667","16.962","23.426","32.422","5.831","3.265","123.177"
"73","GTD","Jorg Bergmeister","1","2:12.676","2:12.676","Green","Track","489.253","10.811","16.064","4.338","0.575","16.631","23.345","33.557","6.144","3.463","142.885"
"44","GTD","Andy Lally","1","2:14.459","2:14.459","Green","Track","384.144","10.870","15.330","4.377","0.681","16.945","23.551","33.628","6.263","3.537","120.645"
"10","P","Ricky Taylor","1","2:18.326","2:18.326","Green","Pit","1078.638","12.415","15.705","4.601","0.674","17.075","23.399","34.397","10.094","12.398","121.898"
"2","P","Johannes van Overbeek","1","2:20.850","2:20.850","Green","Track","194.528","11.486","15.555","4.351","0.689","18.130","24.719","34.330","6.302","3.272","119.244"
"4","GTLM","Tommy Milner","1","2:25.265","2:25.265","Green","Track","0.000","10.955","14.474","4.270","0.624","16.725","23.691","33.949","6.102","3.491","131.665"
"3","GTLM","Antonio Garcia","1","2:27.935","2:27.935","Green","Track","0.000","11.198","15.032","4.322","0.634","17.002","23.726","34.267","6.309","3.497","129.588"
"68","GTLM","Alessandro Pier Guidi","1","2:29.225","2:29.225","Green","Track","0.000","11.366","14.929","4.299","0.648","16.832","23.875","34.417","6.598","3.520","126.789"
"54","PC","Jonathan Bennett","1","2:35.868","2:35.868","Green","Track","0.000","11.800","15.706","4.165","0.599","17.252","24.883","34.686","6.768","3.537","137.160"
"90","P","Ryan Dalziel","1","2:36.043","2:36.043","Green","Track","1040.271","12.151","16.114","4.407","0.662","17.290","24.467","33.378","6.009","3.255","124.107"
"52","PC","Robert Alon","1","2:39.414","2:39.414","Green","Track","0.000","12.377","15.113","4.510","0.755","18.234","24.020","34.772","6.015","3.332","108.820"
"33","GTD","Jeroen Bleekemolen","1","2:40.862","2:40.862","Green","Track","1126.089","12.199","15.453","4.368","0.694","17.867","24.932","34.399","6.325","3.470","118.385"
"67","GTLM","Ryan Briscoe","1","2:42.737","2:42.737","Green","Track","434.256","12.932","15.475","5.168","0.788","18.934","25.039","35.176","6.465","3.492","104.263"
"38","PC","Kenton Koch","1","2:42.736","2:42.736","Green","Track","15.229","11.836","16.065","4.282","0.611","16.855","23.926","34.145","6.137","3.346","134.467"
"23","GTD","Mario Farnbacher","1","2:43.811","2:43.811","Green","Track","0.000","12.027","17.113","5.356","0.739","18.406","26.291","36.482","6.475","3.526","111.176"
"8","PC","Renger Van Der Zande","1","2:45.162","2:45.162","Green","Pit","158.875","11.666","16.948","4.623","0.656","17.757","24.830","36.589","9.687","17.399","125.243"
"912","GTLM","Frederic Makowiecki","1","2:45.882","2:45.882","Green","Pit","0.000","10.650","14.939","4.437","0.688","17.142","24.418","35.011","8.527","16.218","119.417"
"0","P","Sean Rayhall","1","2:48.348","2:48.348","Green","Track","16.387","11.098","16.124","4.614","0.714","16.661","24.562","35.860","6.435","3.504","115.069"
"20","PC","Johnny Mowlem","1","2:49.036","2:49.036","Green","Track","17.382","11.428","14.700","4.236","0.650","17.616","24.801","34.357","6.163","3.325","126.399"
"911","GTLM","Nick Tandy","1","2:49.127","2:49.127","Green","Pit","0.000","11.597","14.767","4.403","0.690","17.469","24.304","36.408","8.462","15.896","119.071"
"97","GTD","Markus Palttala","1","2:50.584","2:50.584","Green","Track","16.984","11.342","15.522","4.260","0.651","17.897","25.332","34.694","6.881","3.491","126.204"
"6","GTD","Andrew Davis","1","2:54.853","2:54.853","Green","Track","15.728","12.547","17.879","5.313","0.760","18.767","26.446","36.551","6.444","3.512","108.104"
"9","GTD","Matt Bell","1","2:55.260","2:55.260","Green","Track","15.641","12.473","18.120","5.061","0.772","19.242","25.813","36.822","6.227","3.486","106.424"
"25","GTLM","Dirk Werner","1","2:57.518","2:57.518","Green","Track","14.897","10.255","14.306","4.159","0.641","17.164","23.766","33.333","6.041","3.381","128.173"
"540","GTD","Andy Pilgrim","1","3:01.346","3:01.346","Green","Track","14.666","11.815","17.069","4.518","0.647","17.665","25.285","35.229","6.653","3.611","126.985"
"96","GTD","Jens Klingmann","1","3:07.334","3:07.334","Green","Pit","669.772","12.385","18.592","5.685","0.734","17.724","25.050","35.069","7.686","49.525","111.933"
"62","GTLM","Toni Vilander","1","3:12.800","3:12.800","Green","Track","627.494","11.089","15.620","4.272","0.554","16.810","23.756","33.478","6.097","3.459","148.302"
"66","GTLM","Joey Hand","1","3:19.610","3:19.610","Green","Track","496.944","10.958","16.129","4.460","0.600","17.295","24.900","34.876","6.387","3.493","136.932"
"100","GTLM","Lucas Luhr","1","3:28.878","3:28.878","Green","Pit","14.705","11.897","17.044","4.569","0.639","18.068","26.355","36.188","11.238","37.997","128.574"
"5","P","Christian Fittipaldi","2","1:42.267","3:40.704","Green","Track","3.144","8.926","11.757","3.662","0.474","13.781","21.358","30.496","5.492","3.177","173.331"
"31","P","Dane Cameron","2","1:41.516","3:41.356","Green","Track","3.124","8.656","11.687","3.676","0.498","13.800","21.252","30.114","5.530","3.179","164.978"
"55","P","Jonathan Bomarito","1","3:41.255","3:41.255","Green","Pit","1021.565","11.512","15.782","4.464","0.693","17.280","24.512","35.210","7.438","15.753","118.556"
"48","GTD","Madison Snow","1","3:49.154","3:49.154","Green","Pit","16.611","11.818","16.956","4.797","0.671","18.840","25.067","34.555","7.344","59.676","122.443"
