"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","SP1","SP4"
"5","P","Christian Fittipaldi","1","1:40.468","1:40.468","Green","Track","840.527","15.867","0.668","15.923","11.503","9.352","0.664","15.080","10.963","10.727","2.280","4.216","118.400","122.193"
"31","P","Eric Curran","1","1:45.214","1:45.214","Green","Track","834.164","15.209","0.729","16.845","12.237","9.679","0.732","15.995","11.336","11.134","2.286","4.219","108.492","110.842"
"55","P","Tristan Nunez","1","1:46.548","1:46.548","Green","Track","819.987","15.724","0.692","16.476","12.067","9.477","0.705","15.746","11.096","10.993","2.250","4.276","114.293","115.087"
"96","GTD","Jens Klingmann","1","1:48.879","1:48.879","Green","Track","743.795","16.164","0.609","15.865","11.663","9.937","0.682","15.399","11.216","10.845","2.435","4.497","129.870","118.968"
"60","P","Oswaldo Negri Jr.","1","1:50.533","1:50.533","Green","Track","425.315","14.949","0.592","15.850","11.959","9.413","0.620","15.241","11.094","10.622","2.301","4.198","133.600","130.865"
"90","P","Marc Goossens","1","1:55.295","1:55.295","Green","Track","504.159","16.955","0.721","17.170","12.222","9.969","0.708","15.708","11.662","10.967","2.340","4.491","109.696","114.599"
"44","GTD","Andy Lally","1","1:58.536","1:58.536","Green","Track","733.074","16.490","0.711","18.161","12.833","10.663","0.771","16.563","11.936","12.135","2.580","4.941","111.239","105.235"
"85","PC","Misha Goikhberg","1","1:59.828","1:59.828","Green","Track","835.191","16.037","0.703","16.290","11.924","10.032","0.694","15.625","11.203","10.664","2.343","4.521","112.505","116.911"
"10","P","Jordan Taylor","1","2:05.096","2:05.096","Green","Track","721.032","15.941","0.701","16.253","11.547","9.594","0.612","15.077","11.697","10.497","2.300","4.287","112.826","132.576"
"23","GTD","Mario Farnbacher","1","2:06.724","2:06.724","Green","Track","741.687","17.409","0.704","16.998","12.569","10.247","0.710","16.107","11.913","11.591","2.470","4.676","112.345","114.277"
"33","GTD","Jeroen Bleekemolen","1","2:10.179","2:10.179","Green","Track","847.674","15.811","0.673","16.806","11.767","10.017","0.627","15.040","12.590","12.677","2.455","4.463","117.520","129.404"
"16","GTD","Spencer Pumpelly","1","2:10.621","2:10.621","Green","Track","9.829","15.525","0.635","15.749","11.399","10.311","0.683","14.683","11.009","11.891","2.470","4.540","124.553","118.794"
"6","GTD","Robin Liddell","1","2:12.322","2:12.322","Green","Track","10.331","15.486","0.642","16.440","11.940","10.155","0.618","14.899","12.830","13.916","2.504","4.578","123.195","131.289"
"97","GTD","Markus Palttala","1","2:18.608","2:18.608","Green","Pit","771.214","16.129","0.646","16.675","12.197","10.342","0.694","15.630","11.521","11.841","6.249","11.616","122.432","116.911"
"48","GTD","Bryan Sellers","1","2:18.619","2:18.619","Green","Track","9.431","15.212","0.658","16.576","12.632","12.869","0.856","17.899","11.828","13.359","2.512","4.572","120.199","94.785"
"8","PC","Alex Popow","1","2:24.987","2:24.987","Green","Track","10.483","16.102","0.760","16.726","13.172","14.434","0.843","18.564","13.752","13.077","2.392","4.447","104.067","96.247"
"20","PC","Johnny Mowlem","1","2:28.011","2:28.011","Green","Track","9.619","16.981","0.753","18.136","12.653","10.192","0.718","17.271","12.936","11.976","2.431","4.703","105.034","113.003"
"70","P","Tom Long","1","2:29.142","2:29.142","Green","Track","9.713","17.288","0.789","18.128","12.780","9.944","0.711","16.775","12.828","12.944","2.374","4.403","100.242","114.116"
"22","GTD","Cooper MacNeil","1","2:30.678","2:30.678","Green","Track","651.577","14.822","0.627","16.879","12.042","10.012","0.645","15.350","11.293","11.525","2.499","4.714","126.142","125.793"
"73","GTD","Patrick Lindsey","1","2:38.664","2:38.664","Green","Track","9.600","15.693","0.648","16.068","11.710","10.395","0.711","15.316","11.542","10.805","2.420","4.461","122.054","114.116"
"52","PC","Robert Alon","1","2:48.432","2:48.432","Green","Track","888.193","17.107","0.769","17.645","12.800","10.179","0.750","16.586","12.057","11.723","2.378","4.437","102.849","108.182"
"38","PC","James French","1","3:08.270","3:08.270","Green","Track","9.689","16.152","0.660","16.497","11.894","9.640","0.605","14.957","11.083","10.930","2.342","4.299","119.835","134.110"
"5","P","Christian Fittipaldi","2","1:30.842","3:11.310","Green","Track","3.487","12.213","0.548","14.162","10.536","8.989","0.596","14.021","10.140","9.897","2.185","4.068","144.326","136.135"
"88","PC","Mark Kvamme","1","3:16.234","3:16.234","Green","Pit","10.218","18.741","0.716","18.568","13.392","10.444","0.755","17.812","12.954","13.718","8.273","45.671","110.462","107.465"
"31","P","Eric Curran","2","1:32.924","3:18.138","Green","Track","3.547","12.361","0.587","14.978","10.847","9.058","0.592","14.123","10.341","10.174","2.221","4.095","134.737","137.055"
"55","P","Tristan Nunez","2","1:32.858","3:19.406","Green","Track","3.568","12.296","0.562","14.906","10.874","9.012","0.579","14.030","10.334","10.356","2.202","4.139","140.731","140.132"
"60","P","Oswaldo Negri Jr.","2","1:32.681","3:23.214","Green","Track","3.447","12.741","0.541","14.418","11.014","9.123","0.562","14.095","10.426","9.938","2.235","4.141","146.194","144.371"
"96","GTD","Jens Klingmann","2","1:36.654","3:25.533","Green","Track","3.568","13.364","0.567","14.587","11.025","9.753","0.642","14.963","10.884","10.473","2.397","4.431","139.490","126.381"
"9","GTD","Matt Bell","1","3:27.620","3:27.620","Green","Track","9.563","15.414","0.593","15.288","11.176","10.073","0.589","14.519","10.872","10.695","2.465","4.525","133.374","137.753"
"85","PC","Misha Goikhberg","2","1:35.147","3:34.975","Green","Track","3.733","13.310","0.561","14.907","10.973","9.392","0.586","14.194","10.647","10.254","2.295","4.295","140.982","138.458"
"10","P","Jordan Taylor","2","1:29.948","3:35.044","Green","Track","3.257","12.289","0.549","14.189","10.419","9.189","0.537","13.354","10.101","9.769","2.208","4.087","144.064","151.092"
"44","GTD","Andy Lally","2","1:42.066","3:40.602","Green","Track","4.160","13.753","0.594","15.735","12.084","10.462","0.671","15.004","11.042","11.423","2.526","4.612","133.150","120.919"
"90","P","Marc Goossens","2","1:46.215","3:41.510","Green","Pit","3.509","12.739","0.574","14.952","10.885","9.263","0.600","14.451","11.040","10.572","6.074","11.556","137.789","135.227"
"23","GTD","Mario Farnbacher","2","1:36.213","3:42.937","Green","Track","3.857","13.546","0.577","14.526","11.036","9.794","0.580","14.266","10.682","10.482","2.417","4.450","137.073","139.890"
"33","GTD","Jeroen Bleekemolen","2","1:34.125","3:44.304","Green","Track","3.534","13.335","0.569","14.383","10.818","9.650","0.561","13.731","10.525","10.250","2.383","4.386","139.000","144.628"
"16","GTD","Spencer Pumpelly","2","1:35.159","3:45.780","Green","Track","3.537","13.473","0.578","14.233","10.952","9.851","0.572","14.030","10.527","10.492","2.432","4.482","136.835","141.847"
"6","GTD","Robin Liddell","2","1:35.222","3:47.544","Green","Track","3.546","13.444","0.579","14.085","11.033","9.980","0.581","13.794","10.613","10.604","2.450","4.513","136.599","139.650"
"48","GTD","Bryan Sellers","2","1:36.500","3:55.119","Green","Track","3.781","13.578","0.582","14.575","11.158","9.933","0.578","13.957","10.655","10.739","2.457","4.507","135.895","140.374"
"8","PC","Alex Popow","2","1:36.903","4:01.890","Green","Track","3.734","13.225","0.551","14.884","11.454","9.422","0.588","14.571","10.794","11.082","2.326","4.272","143.541","137.987"
"97","GTD","Markus Palttala","2","1:44.237","4:02.845","Green","Track","9.618","14.843","0.573","14.868","11.346","9.820","0.571","14.303","10.793","10.710","2.397","4.395","138.030","142.095"
"70","P","Tom Long","2","1:33.831","4:02.973","Green","Track","3.790","12.433","0.533","14.668","11.101","9.078","0.564","14.242","10.602","10.481","2.228","4.111","148.388","143.859"
"20","PC","Johnny Mowlem","2","1:37.716","4:05.727","Green","Track","3.877","13.276","0.569","15.491","11.327","9.431","0.590","14.825","11.014","10.703","2.327","4.286","139.000","137.519"
"22","GTD","Cooper MacNeil","2","1:36.748","4:07.426","Green","Track","3.852","13.349","0.570","14.725","10.892","9.741","0.602","14.243","10.746","10.841","2.421","4.766","138.756","134.778"
"73","GTD","Patrick Lindsey","2","1:34.229","4:12.893","Green","Track","3.646","12.996","0.565","14.145","10.842","9.725","0.568","13.933","10.545","10.460","2.390","4.414","139.984","142.846"
"52","PC","Robert Alon","2","1:37.323","4:25.755","Green","Track","3.652","13.328","0.614","15.414","11.333","9.399","0.608","14.773","10.905","10.708","2.319","4.270","128.813","133.448"
"5","P","Christian Fittipaldi","3","1:29.836","4:41.146","Green","Track","3.267","11.796","0.522","13.560","10.407","8.951","0.580","13.831","10.466","10.161","2.193","4.102","151.515","139.890"
"38","PC","James French","2","1:33.881","4:42.151","Green","Track","3.486","12.523","0.548","14.128","10.958","9.357","0.565","14.049","10.593","11.192","2.276","4.206","144.326","143.604"
"31","P","Eric Curran","3","1:28.788","4:46.926","Green","Track","3.257","11.873","0.545","13.942","10.262","8.936","0.541","13.374","10.058","9.759","2.186","4.055","145.121","149.975"
"55","P","Tristan Nunez","3","1:29.296","4:48.702","Green","Track","3.439","11.828","0.520","13.949","10.405","8.856","0.540","13.597","10.042","9.889","2.167","4.064","152.098","150.253"
"60","P","Oswaldo Negri Jr.","3","1:28.995","4:52.209","Green","Track","3.303","12.098","0.530","13.492","10.441","9.061","0.529","13.407","10.153","9.665","2.206","4.110","149.228","153.377"
"96","GTD","Jens Klingmann","3","1:33.225","4:58.758","Green","Track","3.457","13.157","0.565","13.831","10.656","9.666","0.565","13.911","10.510","10.145","2.368","4.394","139.984","143.604"
"9","GTD","Matt Bell","2","1:34.982","5:02.602","Green","Track","3.471","13.185","0.574","14.453","10.789","9.918","0.580","13.837","10.561","10.664","2.449","4.501","137.789","139.890"
"10","P","Jordan Taylor","3","1:27.645","5:02.689","Green","Track","3.266","11.789","0.525","13.248","10.309","9.079","0.531","12.929","9.892","9.532","2.246","4.299","150.649","152.799"
"85","PC","Misha Goikhberg","3","1:34.156","5:09.131","Green","Track","3.811","12.755","0.550","14.124","10.491","9.203","0.584","15.405","10.895","9.901","2.250","4.187","143.802","138.932"
"88","PC","Mark Kvamme","2","1:58.025","5:14.259","Green","Track","9.822","17.741","0.669","16.735","12.806","10.615","0.676","16.879","12.389","12.014","2.524","5.155","118.223","120.024"
"23","GTD","Mario Farnbacher","3","1:33.590","5:16.527","Green","Track","3.571","12.853","0.568","13.903","10.924","9.775","0.570","13.778","10.482","10.319","2.403","4.444","139.245","142.344"
"33","GTD","Jeroen Bleekemolen","3","1:32.660","5:16.964","Green","Track","3.406","12.926","0.561","13.882","10.754","9.606","0.560","13.438","10.445","10.299","2.394","4.389","140.982","144.886"
"16","GTD","Spencer Pumpelly","3","1:34.395","5:20.175","Green","Track","3.454","12.981","0.570","13.940","10.897","9.871","0.575","14.274","10.632","10.317","2.409","4.475","138.756","141.107"
"6","GTD","Robin Liddell","3","1:33.428","5:20.972","Green","Track","3.369","13.082","0.574","13.792","10.698","9.836","0.575","13.605","10.598","10.392","2.427","4.480","137.789","141.107"
"44","GTD","Andy Lally","3","1:48.208","5:28.810","Green","Pit","3.808","13.368","0.587","14.842","11.057","11.449","0.705","14.270","10.765","10.704","5.329","11.324","134.737","115.087"
"48","GTD","Bryan Sellers","3","1:33.940","5:29.059","Green","Track","3.611","13.106","0.573","13.988","10.730","9.852","0.575","13.695","10.555","10.382","2.416","4.457","138.030","141.107"
"70","P","Tom Long","3","1:31.440","5:34.413","Green","Track","3.376","12.261","0.528","14.140","10.940","9.064","0.576","13.848","10.258","10.192","2.181","4.076","149.793","140.862"
"8","PC","Alex Popow","3","1:34.667","5:36.557","Green","Track","3.502","12.585","0.548","14.379","10.893","9.315","0.582","14.769","10.661","10.673","2.333","4.427","144.326","139.410"
"97","GTD","Markus Palttala","3","1:34.660","5:37.505","Green","Track","3.770","12.950","0.564","14.051","10.777","9.813","0.561","14.286","10.735","10.411","2.362","4.380","140.232","144.628"
"20","PC","Johnny Mowlem","3","1:33.862","5:39.589","Green","Track","3.733","12.596","0.555","14.561","10.744","9.338","0.563","14.100","10.501","10.593","2.320","4.258","142.506","144.114"
"22","GTD","Cooper MacNeil","3","1:34.157","5:41.583","Green","Track","3.834","12.991","0.563","14.023","10.832","9.695","0.569","13.898","10.480","10.481","2.379","4.412","140.481","142.595"
"73","GTD","Patrick Lindsey","3","1:32.870","5:45.763","Green","Track","3.506","12.867","0.563","13.932","10.669","9.639","0.564","13.561","10.313","10.431","2.405","4.420","140.481","143.859"
"52","PC","Robert Alon","3","1:32.743","5:58.498","Green","Track","3.399","12.465","0.550","14.569","10.801","9.293","0.579","14.060","10.294","10.231","2.277","4.225","143.802","140.132"
"5","P","Christian Fittipaldi","4","1:26.510","6:07.656","Green","Track","3.207","11.602","0.520","13.106","9.927","8.858","0.537","13.156","9.911","9.483","2.164","4.039","152.098","151.092"
"38","PC","James French","3","1:30.186","6:12.337","Green","Track","3.336","12.297","0.544","13.599","10.536","9.203","0.548","13.383","10.297","9.971","2.266","4.206","145.388","148.059"
"31","P","Eric Curran","4","1:27.847","6:14.773","Green","Track","3.242","11.733","0.522","13.376","10.079","8.864","0.528","13.354","9.974","9.853","2.234","4.088","151.515","153.667"
"55","P","Tristan Nunez","4","1:27.919","6:16.621","Green","Track","3.235","11.636","0.518","13.538","10.246","8.844","0.525","13.298","10.070","9.813","2.155","4.041","152.685","154.545"
"60","P","Oswaldo Negri Jr.","4","1:27.631","6:19.840","Green","Track","3.185","11.749","0.529","13.159","10.201","9.039","0.531","13.262","10.165","9.517","2.197","4.097","149.510","152.799"
"10","P","Jordan Taylor","4","1:27.237","6:29.926","Green","Track","3.210","11.522","0.522","13.024","9.954","9.011","0.534","13.369","10.205","9.605","2.188","4.093","151.515","151.941"
"96","GTD","Jens Klingmann","4","1:32.410","6:31.168","Green","Track","3.359","12.760","0.563","13.706","10.512","9.674","0.564","13.669","10.395","10.427","2.384","4.397","140.481","143.859"
"9","GTD","Matt Bell","3","1:33.541","6:36.143","Green","Track","3.642","12.950","0.572","13.779","10.532","9.883","0.579","13.760","10.572","10.357","2.431","4.484","138.271","140.132"
"85","PC","Misha Goikhberg","4","1:30.428","6:39.559","Green","Track","3.323","12.302","0.547","14.261","10.090","9.187","0.545","13.468","10.281","10.004","2.244","4.176","144.590","148.874"
