POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
1;31;Whelen Engineering Racing;Dane Cameron;Eric Curran;Michael Conway;Seb Morris;Cadillac DPi;C;P;;DPi;Classified;63;2:00'51.460;;;11;1'37.145;212.3;
2;5;Mustang Sampling Racing;Joao Barbosa;Christian Fittipaldi;Filipe Albuquerque;;Cadillac DPi;C;P;;DPi;Classified;63;2:00'54.669;3.209;3.209;10;1'37.150;212.3;
3;10;Konica Minolta Cadillac DPi-V.R;Ricky Taylor;Jordan Taylor;Max Angelelli;Jeff Gordon;Cadillac DPi;C;P;;DPi;Classified;63;2:00'57.201;5.741;2.532;20;1'36.909;212.8;
4;2;Tequila Patron ESM;Scott Sharp;Ryan Dalziel;Luis Felipe Derani;;Nissan DPi;C;P;;DPi;Classified;63;2:01'08.561;17.101;11.360;38;1'39.290;207.7;
5;55;Mazda Motorsports;Tristan Nunez;Jonathan Bomarito;Spencer Pigot;;Mazda DPi;C;P;;DPi;Classified;63;2:01'09.500;18.040;0.939;15;1'39.457;207.4;
6;81;DragonSpeed;Henrik Hedman;Nicolas Lapierre;Ben Hanley;Loic Duval;ORECA;C;P;;;Classified;63;2:01'18.017;26.557;8.517;33;1'37.907;210.7;
7;22;Tequila Patron ESM;Ed Brown;Johannes van Overbeek;Bruno Senna Lalli;Brendon Hartley;Nissan DPi;C;P;;DPi;Classified;63;2:01'23.093;31.633;5.076;36;1'37.832;210.8;
8;90;VisitFlorida Racing;Marc Goossens;Renger Van Der Zande;Rene Rast;;Multimatic/Riley;C;P;;;Classified;63;2:01'52.544;1'01.084;29.451;31;1'39.737;206.8;
9;85;JDC-Miller Motorsports;Chris Miller;Stephen Simpson;Misha Goikhberg;Mathias Beche;ORECA;C;P;;;Classified;62;2:00'57.053;1 Laps;1 Laps;14;1'38.542;209.3;
10;70;Mazda Motorsports;Tom Long;Joel Miller;James Hinchcliffe;;Mazda DPi;C;P;;DPi;Classified;62;2:01'14.918;1 Laps;17.865;32;1'39.646;207.0;
11;38;Performance Tech Motorsports;James French;Patricio O'Ward;Kyle Masson;Nicholas Boulle;ORECA FLM09;C;PC;;;Classified;61;2:00'54.807;2 Laps;1 Laps;52;1'42.898;200.4;
12;88;Starworks Motorsport;Scott Mayer;James Dayson;Alex Popow;Sean Rayhall;ORECA FLM09;C;PC;;;Classified;61;2:00'57.353;2 Laps;2.546;18;1'43.767;198.8;
13;66;Ford Chip Ganassi Racing;Dirk Mueller;Joey Hand;Sebastien Bourdais;;Ford GT;M;GTLM;;;Classified;61;2:01'01.133;2 Laps;3.780;12;1'43.922;198.5;
14;3;Corvette Racing;Antonio Garcia;Jan Magnussen;Mike Rockenfeller;;Chevrolet Corvette C7.R;M;GTLM;;;Classified;61;2:01'01.560;2 Laps;0.427;41;1'44.211;197.9;
15;62;Risi Competizione;Giancarlo Fisichella;James Calado;Toni Vilander;;Ferrari 488 GTE;M;GTLM;;;Classified;61;2:01'02.585;2 Laps;1.025;51;1'43.844;198.6;
16;8;Starworks Motorsport;Ben Keating;Robert Wickens;Chris Cumming;John Falb;ORECA FLM09;C;PC;;;Classified;61;2:01'03.299;2 Laps;0.714;22;1'44.298;197.7;
17;67;Ford Chip Ganassi Racing;Ryan Briscoe;Richard Westbrook;Scott Dixon;;Ford GT;M;GTLM;;;Classified;61;2:01'03.977;2 Laps;0.678;53;1'43.385;199.5;
18;69;Ford Chip Ganassi Team UK;Harry Tincknell;Andy Priaulx;Tony Kanaan;;Ford GT;M;GTLM;;;Classified;61;2:01'04.287;2 Laps;0.310;53;1'43.724;198.8;
19;68;Ford Chip Ganassi Team UK;Stefan Mucke;Olivier Pla;Billy Johnson;;Ford GT;M;GTLM;;;Classified;61;2:01'04.395;2 Laps;0.108;44;1'43.930;198.4;
20;912;Porsche GT Team;Kevin Estre;Laurens Vanthoor;Richard Lietz;;Porsche 911 RSR;M;GTLM;;;Classified;61;2:01'05.961;2 Laps;1.566;52;1'43.979;198.4;
21;4;Corvette Racing;Oliver Gavin;Tommy Milner;Marcel Fassler;;Chevrolet Corvette C7.R;M;GTLM;;;Classified;61;2:01'08.380;2 Laps;2.419;36;1'44.040;198.2;
22;19;BMW Team RLL;Bill Auberlen;Alexander Sims;Augusto Farfus;Bruno Spengler;BMW M6 GTLM;M;GTLM;;;Classified;61;2:01'09.551;2 Laps;1.171;47;1'44.247;197.8;
23;911;Porsche GT Team;Patrick Pilet;Dirk Werner;Frederic Makowiecki;;Porsche 911 RSR;M;GTLM;;;Classified;61;2:01'11.491;2 Laps;1.940;13;1'43.971;198.4;
24;26;BAR1 Motorsports;Tom Papadopoulos;Johnny Mowlem;Adam Merzon;Trent Hindman;ORECA FLM09;C;PC;;;Classified;60;2:01'02.690;3 Laps;1 Laps;22;1'43.588;199.1;
25;20;BAR1 Motorsports;Don Yount;Buddy Rice;Mark Kvamme;Chapman Ducote;ORECA FLM09;C;PC;;;Classified;60;2:01'03.458;3 Laps;0.768;13;1'43.322;199.6;
26;29;Montaplast by Land-Motorsport;Connor De Phillippi;Christopher Mies;Jules Gounon;Jeffrey Schmidt;Audi R8 LMS GT3;C;GTD;;;Classified;59;2:01'01.364;4 Laps;1 Laps;4;1'47.607;191.7;
27;73;Park Place Motorsports;Patrick Lindsey;Jorg Bergmeister;Matthew McMurry;Norbert Siedler;Porsche 911 GT3 R;C;GTD;;;Classified;59;2:01'05.736;4 Laps;4.372;47;1'47.390;192.1;
28;63;Scuderia Corsa;Christina Nielsen;Alessandro Balzan;Matteo Cressoni;Sam Bird;Ferrari 488 GT3;C;GTD;;;Classified;59;2:01'05.770;4 Laps;0.034;10;1'47.079;192.6;
29;96;Turner Motorsport;Justin Marks;Jens Klingmann;Maxime Martin;Jesse Krohn;BMW M6 GT3;C;GTD;;;Classified;59;2:01'06.045;4 Laps;0.275;45;1'48.260;190.5;
30;93;Michael Shank Racing w/ Curb-Agajanian;Andy Lally;Katherine Legge;Mark Wilkins;Graham Rahal;Acura NSX GT3;C;GTD;;;Classified;59;2:01'07.463;4 Laps;1.418;15;1'47.760;191.4;
31;57;Stevenson Motorsports;Lawson Aschenbach;Andrew Davis;Matt Bell;Robin Liddell;Audi R8 LMS GT3;C;GTD;;;Classified;59;2:01'07.525;4 Laps;0.062;43;1'48.078;190.8;
32;98;Aston Martin Racing;Paul Dalla Lana;Pedro Lamy;Mathias Lauda;Marco Sorensen;Aston Martin Vantage;C;GTD;;;Classified;59;2:01'07.810;4 Laps;0.285;12;1'47.245;192.3;
33;50;Riley Motorsports - WeatherTech Racing;Cooper MacNeil;Gunnar Jeannette;Shane Van Gisbergen;Thomas Jaeger;Mercedes  - AMG GT3;C;GTD;;;Classified;59;2:01'08.561;4 Laps;0.751;24;1'48.288;190.5;
34;86;Michael Shank Racing w/ Curb-Agajanian;Jeff Segal;Oswaldo Negri Jr.;Tom Dyer;Ryan Hunter-Reay;Acura NSX GT3;C;GTD;;;Classified;59;2:01'09.004;4 Laps;0.443;52;1'47.796;191.3;
35;15;3GT Racing;Jack Hawksworth;Robert Alon;Austin Cindric;Dominik Farnbacher;Lexus RCF GT3;C;GTD;;;Classified;59;2:01'09.134;4 Laps;0.130;41;1'48.554;190.0;
36;33;Riley Motorsports - Team AMG;Ben Keating;Jeroen Bleekemolen;Mario Farnbacher;Adam Christodoulou;Mercedes  - AMG GT3;C;GTD;;;Classified;59;2:01'11.026;4 Laps;1.892;39;1'48.497;190.1;
37;991;TRG;Santiago Creel;Mike Hedlund;Wolf Henzler;Jan Heylen;Porsche 911 GT3 R;C;GTD;;;Classified;59;2:01'11.042;4 Laps;0.016;34;1'47.753;191.4;
38;11;GRT Grasser Racing Team;Christian Engelhart;Rolf Ineichen;Ezequiel Perez Companc;Mirko Bortolotti;Lamborghini Huracan GT3;C;GTD;;;Classified;59;2:01'11.102;4 Laps;0.060;22;1'47.095;192.6;
39;23;Alex Job Racing;Bill Sweedler;Townsend Bell;Frank Montecalvo;Pierre Kaffer;Audi R8 LMS GT3;C;GTD;;;Classified;59;2:01'12.980;4 Laps;1.878;19;1'47.550;191.8;
40;75;SunEnergy1 Racing;Kenny Habul;Boris Said;Tristan Vautier;Maro Engel;Mercedes  - AMG GT3;C;GTD;;;Classified;59;2:01'13.168;4 Laps;0.188;36;1'48.036;190.9;
41;48;Paul Miller Racing;Bryan Sellers;Madison Snow;Bryce Miller;Andrea Caldarelli;Lamborghini Huracan GT3;C;GTD;;;Classified;59;2:01'13.560;4 Laps;0.392;48;1'48.814;189.5;
42;46;EBIMOTORS;Emanuele Busnelli;Fabio Babini;Emmanuel Collard;Francois Perrodo;Lamborghini Huracan GT3;C;GTD;;;Classified;59;2:01'16.067;4 Laps;2.507;33;1'47.577;191.7;
43;59;Manthey Racing;Steve Smith;Matteo Cairoli;Reinhold Renger;Harald Proczyk;Porsche 911 GT3 R;C;GTD;;;Classified;59;2:01'16.337;4 Laps;0.270;26;1'47.037;192.7;
44;54;CORE autosport;Jonathan Bennett;Colin Braun;Patrick Long;Nic Jonsson;Porsche 911 GT3 R;C;GTD;;;Classified;59;2:01'36.401;4 Laps;20.064;47;1'49.391;188.5;
45;51;Spirit of Race;Peter Mann;Maurizio Mediani;Alessandro Pier Guidi;Davide Rigon;Ferrari 488 GT3;C;GTD;;;Classified;59;2:02'01.077;4 Laps;24.676;10;1'46.972;192.8;
46;13;Rebellion Racing;Sebastien Buemi;Nick Heidfeld;Neel Jani;Stephane Sarrazin;ORECA;C;P;;;Classified;58;1:44'48.028;5 Laps;1 Laps;20;1'37.440;211.7;
47;28;Alegra Motorsports;Carlos de Quesada;Daniel Morad;Jesse Lazare;Michael de Quesada;Porsche 911 GT3 R;C;GTD;;;Classified;58;2:01'11.805;5 Laps;16'23.777;12;1'48.098;190.8;
48;18;DAC Motorsports;Emmanuel Anassis;Brandon Gdovic;Zach Claman;Anthony Massari;Lamborghini Huracan GT3;C;GTD;;;Classified;58;2:01'13.728;5 Laps;1.923;17;1'49.664;188.1;
49;61;GRT Grasser Racing Team;Christian Engelhart;Rolf Ineichen;Roberto Pampanini;Michele Beretta;Lamborghini Huracan GT3;C;GTD;;;Classified;57;1:58'40.692;6 Laps;1 Laps;10;1'47.912;191.1;
50;27;Dream Racing Motorsport;Lawrence DeGeorge;Cedric Sbirrazzuoli;Paolo Ruberti;Luca Persiani;Lamborghini Huracan GT3;C;GTD;;;Classified;56;1:59'33.264;7 Laps;1 Laps;42;1'47.863;191.2;
51;14;3GT Racing;Scott Pruett;Sage Karam;Ian James;Gustavo Menezes;Lexus RCF GT3;C;GTD;;;Classified;52;1:38'45.983;11 Laps;4 Laps;37;1'48.298;190.4;
52;21;Konrad Motorsport;Marco Mapelli;Marc Basseng;Luca Stolz;Lance Willsey;Lamborghini Huracan GT3;C;GTD;;;Classified;43;2:01'09.904;20 Laps;9 Laps;33;1'50.918;185.9;
53;52;PR1/Mathiasen Motorsports;Michael Guasch;Jose Gutierrez;RC Enerson;Tom Kimber-Smith;Ligier;C;P;;;Classified;26;2:01'59.836;37 Laps;17 Laps;16;1'39.391;207.5;
54;24;BMW Team RLL;John Edwards;Martin Tomczyk;Nicky Catsburg;Kuno Wittmer;BMW M6 GTLM;M;GTLM;;;Classified;15;1:14'14.208;48 Laps;11 Laps;13;1'44.694;197.0;
55;16;Change Racing;Corey Lewis;Jeroen Mul;Kaz Grala;Brett Sandberg;Lamborghini Huracan GT3;C;GTD;;;Classified;3;5'41.855;60 Laps;12 Laps;3;1'49.765;187.9;
