POSITION;NUMBER;TEAM;DRIVER_1;DRIVER_2;DRIVER_3;DRIVER_4;VEHICLE;TYRES;CLASS;GROUP;DIVISION;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;
1;31;Whelen Engineering Racing;Dane Cameron;Eric Curran;Michael Conway;Seb Morris;Cadillac DPi;C;P;;DPi;Classified;34;1:00'46.973;;;11;1'37.145;212.3;
2;10;Konica Minolta Cadillac DPi-V.R;Ricky Taylor;Jordan Taylor;Max Angelelli;Jeff Gordon;Cadillac DPi;C;P;;DPi;Classified;34;1:00'48.028;1.055;1.055;20;1'36.909;212.8;
3;5;Mustang Sampling Racing;Joao Barbosa;Christian Fittipaldi;Filipe Albuquerque;;Cadillac DPi;C;P;;DPi;Classified;34;1:00'50.617;3.644;2.589;10;1'37.150;212.3;
4;13;Rebellion Racing;Sebastien Buemi;Nick Heidfeld;Neel Jani;Stephane Sarrazin;ORECA;C;P;;;Classified;34;1:00'59.839;12.866;9.222;20;1'37.440;211.7;
5;22;Tequila Patron ESM;Ed Brown;Johannes van Overbeek;Bruno Senna Lalli;Brendon Hartley;Nissan DPi;C;P;;DPi;Classified;34;1:01'25.313;38.340;25.474;14;1'37.901;210.7;
6;85;JDC-Miller Motorsports;Chris Miller;Stephen Simpson;Misha Goikhberg;Mathias Beche;ORECA;C;P;;;Classified;34;1:01'40.385;53.412;15.072;14;1'38.542;209.3;
7;2;Tequila Patron ESM;Scott Sharp;Ryan Dalziel;Luis Felipe Derani;;Nissan DPi;C;P;;DPi;Classified;34;1:01'52.233;1'05.260;11.848;11;1'39.561;207.2;
8;55;Mazda Motorsports;Tristan Nunez;Jonathan Bomarito;Spencer Pigot;;Mazda DPi;C;P;;DPi;Classified;34;1:02'05.122;1'18.149;12.889;15;1'39.457;207.4;
9;90;VisitFlorida Racing;Marc Goossens;Renger Van Der Zande;Rene Rast;;Multimatic/Riley;C;P;;;Classified;34;1:02'15.171;1'28.198;10.049;31;1'39.737;206.8;
10;70;Mazda Motorsports;Tom Long;Joel Miller;James Hinchcliffe;;Mazda DPi;C;P;;DPi;Classified;34;1:02'25.538;1'38.565;10.367;32;1'39.646;207.0;
